,RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID
,1,64,22,48,46,116,0
,2,237,22,46,47,115,0
,3,65,22,42,49,113,0
,4,224,22,42,47,111,0
,5,96,22,48,40,110,0
,6,178,22,44,44,110,0
,7,148,22,43,45,110,0
,8,20,22,42,46,110,0
,9,113,22,44,43,109,0
,10,58,22,41,46,109,0
,11,236,22,44,42,108,0
,12,36,22,42,44,108,0
,13,46,22,42,44,108,0
,14,99,22,40,46,108,0
,15,41,22,42,43,107,0
,16,60,22,40,45,107,0
,17,57,22,46,38,106,0
,18,294,22,46,38,106,0
,19,252,22,41,43,106,0
,20,285,22,39,45,106,0
,21,66,22,37,47,106,0
,22,42,22,48,35,105,0
,23,180,21,43,41,105,0
,24,177,22,40,43,105,0
,25,185,22,44,38,104,0
,26,37,22,42,40,104,0
,27,82,22,40,42,104,0
,28,39,22,38,44,104,0
,29,68,22,38,44,104,0
,30,83,22,38,44,104,0
,31,109,22,42,39,103,0
,32,159,22,46,34,102,0
,33,53,22,39,41,102,0
,34,262,22,39,41,102,0
,35,197,22,36,44,102,0
,36,293,22,35,45,102,0
,37,234,22,34,46,102,0
,38,143,22,42,37,101,0
,39,28,22,43,35,100,0
,40,267,22,42,36,100,0
,41,257,22,41,37,100,0
,42,182,22,40,38,100,0
,43,219,21,48,30,99,0
,44,67,22,35,42,99,0
,45,160,22,41,35,98,0
,46,85,22,34,42,98,0
,47,146,22,33,43,98,0
,48,84,22,44,31,97,0
,49,21,22,39,36,97,0
,50,22,22,39,36,97,0
,51,223,22,37,38,97,0
,52,230,21,37,39,97,0
,53,111,22,36,39,97,0
,54,188,22,31,44,97,0
,55,201,22,40,34,96,0
,56,291,22,40,34,96,0
,57,75,22,38,36,96,0
,58,70,22,37,36,95,0
,59,168,20,37,37,94,0
,60,184,22,26,46,94,0
,61,258,22,41,30,93,0
,62,282,22,40,31,93,0
,63,271,22,39,32,93,0
,64,228,22,38,33,93,0
,65,141,22,36,35,93,0
,66,152,21,33,39,93,0
,67,43,21,41,30,92,0
,68,117,22,34,36,92,0
,69,95,22,33,37,92,0
,70,199,22,31,39,92,0
,71,138,21,39,31,91,0
,72,303,20,35,36,91,0
,73,301,22,33,36,91,0
,74,260,22,28,41,91,0
,75,268,22,38,30,90,0
,76,194,22,36,32,90,0
,77,254,22,36,32,90,0
,78,200,22,28,40,90,0
,79,264,21,39,29,89,0
,80,142,22,37,30,89,0
,81,44,22,34,33,89,0
,82,93,22,33,34,89,0
,83,49,21,28,40,89,0
,84,227,22,28,39,89,0
,85,226,18,36,34,88,0
,86,212,20,33,35,88,0
,87,192,22,33,33,88,0
,88,34,22,31,35,88,0
,89,242,22,28,38,88,0
,90,198,22,32,33,87,0
,91,179,22,28,37,87,0
,92,202,22,25,40,87,0
,93,270,18,40,28,86,0
,94,45,22,28,36,86,0
,95,214,21,41,23,85,0
,96,155,21,40,24,85,0
,97,102,22,33,30,85,0
,98,115,22,32,31,85,0
,99,302,21,29,35,85,0
,100,56,22,29,34,85,0
,101,105,22,27,36,85,0
,102,225,22,36,26,84,0
,103,137,21,35,28,84,0
,104,299,20,31,33,84,0
,105,35,22,35,26,83,0
,106,145,22,33,28,83,0
,107,289,22,30,31,83,0
,108,17,22,30,31,83,0
,109,245,22,29,32,83,0
,110,196,22,28,33,83,0
,111,16,22,27,34,83,0
,112,316,21,26,36,83,0
,113,112,22,35,25,82,0
,114,305,21,31,30,82,0
,115,110,20,33,28,81,0
,116,295,22,24,35,81,0
,117,217,19,34,27,80,0
,118,265,21,29,30,80,0
,119,98,22,28,30,80,0
,120,221,22,26,32,80,0
,121,73,20,34,25,79,0
,122,259,21,28,30,79,0
,123,304,21,32,25,78,0
,124,154,20,27,31,78,0
,125,149,22,23,33,78,0
,126,311,20,32,25,77,0
,127,195,22,31,24,77,0
,128,103,22,28,27,77,0
,129,220,16,21,40,77,0
,130,298,22,30,24,76,0
,131,251,22,28,26,76,0
,132,283,22,26,28,76,0
,133,213,22,24,30,76,0
,134,40,22,30,23,75,0
,135,187,22,26,27,75,0
,136,215,22,25,28,75,0
,137,292,19,30,25,74,0
,138,253,19,29,26,74,0
,139,191,22,29,23,74,0
,140,222,22,29,23,74,0
,141,216,22,24,28,74,0
,142,79,22,23,29,74,0
,143,232,19,29,25,73,0
,144,62,20,24,29,73,0
,145,101,21,22,30,73,0
,146,286,21,33,18,72,0
,147,248,16,27,29,72,0
,148,190,18,26,28,72,0
,149,150,22,25,25,72,0
,150,104,21,30,20,71,0
,151,308,17,28,26,71,0
,152,263,22,24,25,71,0
,153,300,22,20,29,71,0
,154,261,22,29,19,70,0
,155,290,21,26,23,70,0
,156,100,22,22,26,70,0
,157,81,22,21,27,70,0
,158,107,22,19,29,70,0
,159,116,20,24,25,69,0
,160,69,22,21,25,68,0
,161,218,21,27,19,67,0
,162,211,22,22,23,67,0
,163,229,22,22,23,67,0
,164,72,22,21,24,67,0
,165,71,22,17,28,67,0
,166,140,19,25,22,66,0
,167,288,17,30,18,65,0
,168,136,16,29,20,65,0
,169,280,19,23,23,65,0
,170,209,21,22,22,65,0
,171,314,19,20,26,65,0
,172,114,21,18,26,65,0
,173,231,20,18,27,65,0
,174,47,22,17,26,65,0
,175,94,21,25,18,64,0
,176,244,19,24,21,64,0
,177,74,21,23,20,64,0
,178,147,21,22,21,64,0
,179,255,22,22,20,64,0
,180,135,22,21,21,64,0
,181,108,20,17,27,64,0
,182,153,22,15,27,64,0
,183,48,22,22,19,63,0
,184,312,17,21,25,63,0
,185,50,22,19,22,63,0
,186,97,20,16,27,63,0
,187,193,22,13,27,62,0
,188,157,21,16,24,61,0
,189,310,22,14,25,61,0
,190,118,21,20,19,60,0
,191,235,10,30,19,59,0
,192,233,17,23,19,59,0
,193,181,21,19,19,59,0
,194,189,20,18,21,59,0
,195,296,22,17,20,59,0
,196,284,18,16,24,58,0
,197,243,18,16,24,58,0
,198,250,18,18,21,57,0
,199,86,22,16,19,57,0
,200,186,17,14,25,56,0
,201,210,14,20,21,55,0
,202,269,17,18,20,55,0
,203,315,17,16,22,55,0
,204,266,22,11,22,55,0
,205,59,20,20,14,54,0
,206,139,19,18,16,53,0
,207,256,11,21,20,52,0
,208,144,19,15,18,52,0
,209,313,21,14,16,51,0
,210,281,18,16,13,47,0
,211,38,20,16,11,47,0
,212,80,19,15,13,47,0
,213,156,20,13,13,46,0
,214,249,11,14,20,45,0
,215,287,6,20,18,44,0
,216,246,18,7,19,44,0
,217,297,20,9,12,41,0
,218,106,18,8,13,39,0
,219,183,18,3,11,32,0
,220,151,-2,13,10,21,0
,221,61,-2,12,9,19,0
,1,64,22,48,46,116,1
V Praze dne 28. 4. 2017,2,237,22,46,47,115,1
,3,65,22,42,49,113,1
"RNDr. Jo of Herout, reditel §koly",4,224,22,42,47,111,1
,5,96,22,48,40,110,1
GYMNAZIUM,6,178,22,44,44,110,1
Pisnicka 760,7,148,22,43,45,110,1
142 00 Praha 4,8,20,22,42,46,110,1
tel./fax:,9,113,22,44,43,109,1
,10,58,22,41,46,109,1
,11,236,22,44,42,108,1
,12,36,22,42,44,108,1
,13,46,22,42,44,108,1
,14,99,22,40,46,108,1
,15,41,22,42,43,107,1
,16,60,22,40,45,107,1
,17,57,22,46,38,106,1
,18,294,22,46,38,106,1
,19,252,22,41,43,106,1
,20,285,22,39,45,106,1
,21,66,22,37,47,106,1
,22,42,22,48,35,105,1
,23,180,21,43,41,105,1
,24,177,22,40,43,105,1
,25,185,22,44,38,104,1
,26,37,22,42,40,104,1
,27,82,22,40,42,104,1
,28,39,22,38,44,104,1
