TODROP,RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,27,75,22,39,32,93,0,2018,381
1,28,138,22,36,35,93,0,2018,381
2,29,17,22,33,38,93,0,2018,381
3,30,275,22,32,39,93,0,2018,381
4,31,191,22,32,39,93,0,2018,381
5,32,262,22,30,41,93,0,2018,381
6,33,205,22,27,44,93,0,2018,381
7,34,41,22,37,33,92,0,2018,381
8,35,234,21,37,33,91,0,2018,381
9,36,287,22,35,34,91,0,2018,381
10,37,31,22,30,39,91,0,2018,381
11,38,135,22,27,42,91,0,2018,381
12,39,97,22,26,43,91,0,2018,381
13,40,26,22,36,32,90,0,2018,381
14,41,45,22,28,40,90,0,2018,381
15,42,37,22,33,34,89,0,2018,381
16,43,172,21,29,39,89,0,2018,381
17,44,139,22,24,43,89,0,2018,381
18,45,24,22,35,31,88,0,2018,381
19,46,118,18,34,36,88,0,2018,381
20,47,78,22,34,32,88,0,2018,381
21,48,107,21,33,34,88,0,2018,381
22,49,127,22,33,33,88,0,2018,381
23,50,201,22,29,37,88,0,2018,381
24,51,64,22,28,38,88,0,2018,381
25,52,25,22,27,39,88,0,2018,381
26,53,85,22,24,42,88,0,2018,381
27,54,57,20,32,35,87,0,2018,381
28,55,216,22,32,33,87,0,2018,381
29,56,263,22,28,37,87,0,2018,381
30,57,58,22,23,42,87,0,2018,381
31,58,27,22,32,32,86,0,2018,381
32,59,267,22,32,32,86,0,2018,381
33,60,120,22,32,32,86,0,2018,381
34,61,290,22,29,35,86,0,2018,381
35,62,174,22,32,31,85,0,2018,381
36,63,218,22,29,34,85,0,2018,381
37,64,241,22,31,31,84,0,2018,381
38,65,131,21,29,33,83,0,2018,381
39,66,103,21,28,34,83,0,2018,381
40,67,261,22,28,33,83,0,2018,381
41,68,175,22,27,34,83,0,2018,381
42,69,86,22,25,35,82,0,2018,381
43,70,192,22,23,37,82,0,2018,381
44,71,202,20,21,41,82,0,2018,381
45,72,185,18,35,28,81,0,2018,381
46,73,16,22,34,25,81,0,2018,381
47,74,128,22,29,30,81,0,2018,381
48,75,162,22,28,31,81,0,2018,381
49,76,98,22,22,37,81,0,2018,381
50,77,65,22,19,40,81,0,2018,381
51,78,246,22,32,26,80,0,2018,381
52,79,298,19,29,32,80,0,2018,381
53,80,193,22,29,29,80,0,2018,381
54,81,73,20,27,33,80,0,2018,381
55,82,156,21,27,32,80,0,2018,381
56,83,258,22,20,38,80,0,2018,381
57,84,165,22,31,26,79,0,2018,381
58,85,164,21,28,30,79,0,2018,381
59,86,212,21,26,32,79,0,2018,381
60,87,208,21,33,24,78,0,2018,381
61,88,222,21,28,29,78,0,2018,381
62,89,140,22,26,30,78,0,2018,381
63,90,76,22,20,36,78,0,2018,381
64,91,264,17,30,30,77,0,2018,381
65,92,104,22,24,31,77,0,2018,381
66,93,87,22,23,32,77,0,2018,381
67,94,245,22,29,25,76,0,2018,381
68,95,302,18,28,30,76,0,2018,381
69,96,251,21,27,28,76,0,2018,381
70,97,173,21,22,33,76,0,2018,381
71,98,161,21,17,38,76,0,2018,381
72,99,273,21,30,24,75,0,2018,381
73,100,282,21,27,27,75,0,2018,381
74,101,53,21,23,31,75,0,2018,381
75,102,266,22,22,31,75,0,2018,381
76,103,206,22,21,32,75,0,2018,381
77,104,32,22,19,34,75,0,2018,381
78,105,133,22,19,34,75,0,2018,381
79,106,272,20,25,29,74,0,2018,381
80,107,278,22,23,29,74,0,2018,381
81,108,125,22,23,29,74,0,2018,381
82,109,111,22,22,30,74,0,2018,381
83,110,54,21,20,33,74,0,2018,381
84,111,255,22,20,31,73,0,2018,381
85,112,215,20,23,29,72,0,2018,381
86,113,137,22,22,28,72,0,2018,381
87,114,265,20,19,33,72,0,2018,381
88,115,190,22,19,31,72,0,2018,381
89,116,113,20,24,27,71,0,2018,381
90,117,248,20,22,29,71,0,2018,381
91,118,66,22,19,30,71,0,2018,381
92,119,214,21,38,11,70,0,2018,381
93,120,109,19,24,27,70,0,2018,381
94,121,210,21,24,25,70,0,2018,381
95,122,184,20,22,28,70,0,2018,381
96,123,70,21,22,27,70,0,2018,381
