"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Pfijati izici,,"B°”'.""..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
811011,10,0,48,46,43.5,147.5,1
811040,10,0,46,48,40,144,2
812073,10,0,47,46,36.5,139.5,3
822010,10,0,46,46,34.5,136.5,4
821016,10,0,42,46,37,135,5
812026,10,0,42,47,35.5,134.5,6
822079,10,0,46,42,36,134,7
822022,10,0,44,46,33.5,133.5,8
822092,10,0,40,42,41,133,9
821053,10,0,46,44,33,133,10
822013,10,0,44,40,38.5,132.5,11
822082,10,0,47,40,35.5,132.5,12
821022,10,0,44,44,34.5,132.5,13
822096,10,0,44,46,32.5,132.5,14
812092,10,0,45,39,38,132,15
811024,10,0,42,44,36,132,16
811104,10,0,38,41,41,130,17
821025,10,0,41,42,37,130,18
811039,10,0,49,42,29,130,19
811001,16,6,42,46,26,130,20
822003,10,0,43,37,39.5,129.5,21
811065,10,0,42,42,35.5,129.5,22
811083,10,0,45,44,30.5,129.5,23
811023,10,0,39,48,32,129,24
812013,10,0,41,48,30,129,25
822061,10,0,43,38,37.5,128.5,26
811050,10,0,43,46,29,128,27
821014,10,0,38,46,33,127,28
812027,10,0,43,48,26,127,29
821007,10,0,40,48,28.5,126.5,30
822031,10,0,44,38,33.5,125.5,31
811054,10,0,31,50,34,125,32
822088,10,0,35,37,42.5,124.5,33
822085,10,0,43,41,30.5,124.5,34
822095,10,0,46,29,39,124,35
811096,10,0,36,46,32,124,36
812066,10,0,38,42,33.5,123.5,37
821023,10,0,34,46,33.5,123.5,38
821046,10,0,40,43,30.5,123.5,39
821081,10,0,39,35,39,123,40
812106,10,0,40,40,33,123,41
811034,10,0,41,46,26,123,42
811021,10,0,36,44,32.5,122.5,43
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
,,Bodové hodnoceni,,,,,
Body,,,"Pi""ij imaci zk0u‘s'ka",,,,
za ZS,bonus,éJ,M,,VPAJ,,
811066,10,0,39,42,31.5,122.5,44
821063,10,0,38,44,30.5,122.5,45
812003,10,0,40,41,31,122,46
811085,10,0,38,43,31,122,47
812041,10,0,46,36,30,122,48
821070,10,0,38,44,30,122,49
822036,10,0,39,39,33.5,121.5,50
811008,10,0,36,46,29.5,121.5,51
822043,10,0,35,42,33.5,120.5,52
812006,10,0,39,40,31.5,120.5,53
812084,10,0,34,48,28.5,120.5,54
812051,10,0,38,37,35,120,55
812009,10,0,42,40,28,120,56
822027,10,0,39,44,26.5,119.5,57
822030,10,0,39,36,34,119,58
822019,10,0,38,38,32.5,118.5,59
822015,10,0,42,31,35,118,60
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Nepfijati izici,,"B°”'f’..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
812091,9,0,40,37,32,118,61
812088,10,0,41,41,26,118,62
812015,10,0,40,33,34.5,117.5,63
812004,10,0,36,39,32.5,117.5,64
821099,10,0,38,38,31.5,117.5,65
821027,10,0,38,40,29.5,117.5,66
822093,10,0,43,38,26.5,117.5,67
821058,10,0,42,36,29,117,68
811004,10,0,38,41,28,117,69
812099,10,0,35,45,27,117,70
821096,8,0,41,40,27.5,116.5,71
822087,10,0,36,39,31,116,72
822080,10,0,37,41,28,116,73
811088,10,0,42,29,34.5,115.5,74
812089,10,0,44,31,30.5,115.5,75
811055,10,0,39,36,30,115,76
811053,12,2,32,41,30,115,77
822020,10,0,40,38,27,115,78
811003,10,0,39,30,35,114,79
822038,10,0,38,32,34,114,80
822032,10,0,36,38,30,114,81
821094,10,0,39,36,29,114,82
812008,10,0,36,39,29,114,83
812042,10,0,42,34,28,114,84
821034,8,0,39,39,27.5,113.5,85
821010,10,0,34,41,28,113,86
822056,10,0,38,41,24,113,87
822011,10,0,41,39,23,113,88
812075,10,0,38,30,33.5,111.5,89
811071,10,0,34,37,30.5,111.5,90
811064,10,0,31,41,29.5,111.5,91
822052,10,0,38,38,25.5,111.5,92
811048,10,0,37,29,35,111,93
811072,10,0,36,33,32,111,94
822073,10,0,41,31,29,111,95
812097,9,0,43,34,25,111,96
822004,10,0,35,37,28.5,110.5,97
821062,10,0,38,39,23.5,110.5,98
822098,10,0,42,27,31,110,99
811047,10,0,34,35,31,110,100
811086,10,0,36,36,28,110,101
821032,7,0,35,41,27,110,102
822005,10,0,31,40,28.5,109.5,103
821098,10,0,31,42,26.5,109.5,104
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Nepfijati izici,,"B°”'f’..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
822069,10,0,37,31,31,109,105
