TODROP,ID,GRADES_SOUTEZE,CONTESTS,CZECH,MATH,VPAJ,SUM,RANK,ADMIITTED_ID,GRADES ,YEAR,SCHOOLCOURSE_ID
0,821055,11,1,47,49,38.0,145.0,1,1,10,2018,581
1,821006,16,6,42,49,34.5,141.5,2,1,10,2018,581
2,821025,10,0,42,45,44.0,141.0,3,1,10,2018,581
3,821010,10,0,50,42,36.0,138.0,4,1,10,2018,581
4,821005,13,3,45,36,43.0,137.0,5,1,10,2018,581
5,822082,10,0,48,41,35.5,134.5,6,1,10,2018,581
6,811026,10,0,48,42,34.0,134.0,7,1,10,2018,581
7,811018,9,0,45,49,29.0,132.0,8,1,9,2018,581
8,812015,10,0,47,40,34.0,131.0,9,1,10,2018,581
9,822051,10,0,48,35,37.0,130.0,10,1,10,2018,581
10,822073,10,0,47,37,36.0,130.0,11,1,10,2018,581
11,811049,16,6,41,45,27.0,129.0,12,1,10,2018,581
12,822067,10,0,44,39,34.5,127.5,13,1,10,2018,581
13,821027,10,0,42,48,25.5,125.5,14,1,10,2018,581
14,821034,10,0,38,42,34.5,124.5,15,1,10,2018,581
15,822075,10,0,43,42,28.5,123.5,16,1,10,2018,581
16,821032,15,6,46,38,23.0,122.0,17,1,9,2018,581
17,821031,10,0,37,42,32.0,121.0,18,1,10,2018,581
18,821050,10,0,35,32,42.5,119.5,19,1,10,2018,581
19,822021,10,0,39,43,27.5,119.5,20,1,10,2018,581
20,821029,10,0,36,33,39.5,118.5,21,1,10,2018,581
21,822071,10,0,45,41,21.5,117.5,22,1,10,2018,581
22,822004,13,3,42,32,29.0,116.0,23,1,10,2018,581
23,822017,10,0,34,43,29.0,116.0,24,1,10,2018,581
24,812029,10,0,46,35,25.0,116.0,25,1,10,2018,581
25,812069,10,0,39,42,25.0,116.0,26,1,10,2018,581
26,811031,10,0,47,22,36.0,115.0,27,1,10,2018,581
27,812054,10,0,40,32,33.0,115.0,28,1,10,2018,581
28,821013,10,0,34,40,31.0,115.0,29,1,10,2018,581
