ID,GRADES_SOUTEZE,SOUTEZE,CZECH,MATH,VPAJ,SUM,RANK,GRADES
821006,16,6,0,49,34.5,99.5,1,10
821025,10,0,0,45,44.0,99.0,2,10
821055,11,1,0,49,38.0,98.0,3,10
821005,13,3,0,36,43.0,92.0,4,10
821010,10,0,0,42,36.0,88.0,5,10
811049,16,6,0,45,27.0,88.0,6,10
811018,9,0,0,49,29.0,87.0,7,9
822082,10,0,0,41,35.5,86.5,8,10
821034,10,0,0,42,34.5,86.5,9,10
811026,10,0,0,42,34.0,86.0,10,10
821050,10,0,0,32,42.5,84.5,11,10
812015,10,0,0,40,34.0,84.0,12,10
821031,10,0,0,42,32.0,84.0,13,10
822067,10,0,0,39,34.5,83.5,14,10
821027,10,0,0,48,25.5,83.5,15,10
821030,10,0,0,36,37.0,83.0,16,10
822073,10,0,0,37,36.0,83.0,17,10
821029,10,0,0,33,39.5,82.5,18,10
822051,10,0,0,35,37.0,82.0,19,10
822017,10,0,0,43,29.0,82.0,20,10
821013,10,0,0,40,31.0,81.0,21,10
822075,10,0,0,42,28.5,80.5,22,10
822021,10,0,0,43,27.5,80.5,23,10
811024,9,0,0,39,30.5,78.5,24,9
821008,10,0,0,47,21.5,78.5,25,10
821021,10,0,0,38,29.0,77.0,26,10
812069,10,0,0,42,25.0,77.0,27,10
822052,10,0,0,33,33.5,76.5,28,10
821032,15,6,0,38,23.0,76.0,29,9
812054,10,0,0,32,33.0,75.0,30,10
822046,10,0,0,35,30.0,75.0,31,10
821048,10,0,0,42,23.0,75.0,32,10
811048,10,0,0,40,24.5,74.5,33,10
821061,10,0,0,41,23.5,74.5,34,10
822064,10,0,0,28,36.0,74.0,35,10
822004,13,3,0,32,29.0,74.0,36,10
812014,10,0,0,31,32.5,73.5,37,10
822015,10,0,0,33,30.5,73.5,38,10
811051,10,0,0,38,24.5,72.5,39,10
822071,10,0,0,41,21.5,72.5,40,10
821022,8,0,0,29,35.0,72.0,41,8
822001,10,0,0,32,30.0,72.0,42,10
811007,10,0,0,42,20.0,72.0,43,10
822012,10,0,0,35,26.5,71.5,44,10
812082,10,0,0,42,19.5,71.5,45,10
822048,10,0,0,29,32.0,71.0,46,10
822025,10,0,0,32,29.0,71.0,47,10
822087,10,0,0,44,17.0,71.0,48,10
821001,10,0,0,34,26.5,70.5,49,10
822049,10,0,0,35,25.5,70.5,50,10
821073,7,0,0,41,22.5,70.5,51,7
