TODROP,ID,GRADES,CONTESTS,CZECH,MATH,VPAJ,SUM,RANK,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,811031,10,0,49,48,47.0,154.0,1.0,1,2020,581
1,811018,10,0,49,47,42.0,148.0,2.0,1,2020,581
2,811050,10,0,48,44,41.5,143.5,3.0,1,2020,581
3,821069,9,0,44,50,38.0,141.0,4.0,1,2020,581
4,822007,10,0,42,47,41.5,140.5,5.0,1,2020,581
5,812035,10,0,47,50,33.0,140.0,6.0,1,2020,581
6,812090,10,0,47,42,39.0,138.0,7.0,1,2020,581
7,821038,10,0,47,44,37.0,138.0,8.0,1,2020,581
8,811064,10,0,42,40,45.5,137.5,9.0,1,2020,581
9,811005,10,0,41,43,43.5,137.5,10.0,1,2020,581
10,811033,10,0,46,47,34.5,137.5,11.0,1,2020,581
11,821074,10,0,46,40,40.0,136.0,12.0,1,2020,581
12,821010,10,0,48,41,37.0,136.0,13.0,1,2020,581
13,822018,10,0,46,43,36.5,135.5,14.0,1,2020,581
14,812018,10,0,49,35,41.0,135.0,15.0,1,2020,581
15,812029,10,0,47,41,36.0,134.0,16.0,1,2020,581
16,811054,10,0,46,42,36.0,134.0,17.0,1,2020,581
17,812077,10,0,45,44,35.0,134.0,18.0,1,2020,581
18,821009,10,0,42,40,41.5,133.5,19.0,1,2020,581
19,812034,10,0,45,42,36.5,133.5,20.0,1,2020,581
20,821013,10,0,34,40,48.0,132.0,21.0,1,2020,581
21,811015,10,0,41,48,33.0,132.0,22.0,1,2020,581
22,812031,10,0,47,43,32.0,132.0,23.0,1,2020,581
23,822057,10,0,44,46,32.0,132.0,24.0,1,2020,581
24,822082,10,0,44,46,31.0,131.0,25.0,1,2020,581
25,812022,10,0,41,49,30.5,130.5,26.0,1,2020,581
26,812051,10,0,44,43,33.0,130.0,27.0,1,2020,581
27,822079,10,0,45,42,32.5,129.5,28.0,1,2020,581
28,811051,10,0,45,37,36.5,128.5,29.0,1,2020,581
29,821005,10,0,45,48,25.5,128.5,30.0,1,2020,581
30,812032,10,0,45,37,36.0,128.0,31.0,1,2020,581
31,821025,10,0,38,45,35.0,128.0,32.0,1,2020,581
32,812014,10,0,45,38,34.5,127.5,33.0,1,2020,581
33,811046,9,0,41,43,34.5,127.5,34.0,1,2020,581
34,812003,10,0,43,41,33.5,127.5,35.0,1,2020,581
35,821043,10,0,46,50,21.0,127.0,36.0,1,2020,581
36,821066,9,0,49,32,36.5,126.5,37.0,1,2020,581
37,811010,10,0,39,42,35.5,126.5,38.0,1,2020,581
38,811044,10,0,34,46,36.0,126.0,39.0,1,2020,581
39,811021,10,0,43,39,33.0,125.0,40.0,1,2020,581
40,812010,10,0,45,34,35.5,124.5,41.0,1,2020,581
41,812039,6,0,44,45,29.5,124.5,42.0,1,2020,581
42,821030,10,0,41,47,26.5,124.5,43.0,1,2020,581
43,822056,10,0,38,32,43.5,123.5,44.0,1,2020,581
44,821011,10,0,40,34,39.5,123.5,45.0,1,2020,581
45,812073,10,0,36,42,35.5,123.5,46.0,1,2020,581
46,822070,10,0,42,41,30.5,123.5,47.0,1,2020,581
47,812083,10,0,46,42,25.5,123.5,48.0,1,2020,581
48,811049,10,0,37,41,35.0,123.0,49.0,1,2020,581
49,812106,10,0,46,33,33.5,122.5,50.0,1,2020,581
50,812016,10,0,46,38,27.5,121.5,51.0,1,2020,581
51,812080,10,0,45,39,27.5,121.5,52.0,1,2020,581
52,822010,10,0,44,38,29.0,121.0,53.0,1,2020,581
53,821080,9,0,43,43,26.0,121.0,54.0,1,2020,581
54,811056,10,0,38,37,35.5,120.5,55.0,1,2020,581
55,822015,10,0,42,40,28.5,120.5,56.0,1,2020,581
56,822041,10,0,40,42,28.5,120.5,57.0,1,2020,581
57,812042,10,0,43,38,29.0,120.0,58.0,1,2020,581
58,811026,10,0,41,36,32.5,119.5,59.0,1,2020,581
59,821006,10,0,38,41,30.5,119.5,60.0,1,2020,581
60,811084,10,0,42,40,27.5,119.5,61.0,1,2020,581
61,822013,10,0,44,40,25.5,119.5,62.0,1,2020,581
62,821064,10,0,38,35,35.5,118.5,63.0,0,2020,581
63,812059,10,0,43,32,33.5,118.5,64.0,0,2020,581
64,822022,10,0,43,41,24.5,118.5,65.0,0,2020,581
65,812098,10,0,43,41,24.0,118.0,66.0,0,2020,581
66,811016,10,0,43,34,30.0,117.0,67.0,0,2020,581
67,821039,10,0,38,31,37.5,116.5,68.0,0,2020,581
68,822009,10,0,43,42,21.5,116.5,69.0,0,2020,581
69,821050,10,0,40,30,36.0,116.0,70.0,0,2020,581
70,822016,10,0,47,27,31.5,115.5,71.0,0,2020,581
71,821056,10,0,40,29,36.0,115.0,72.0,0,2020,581
72,821068,10,0,38,36,30.5,114.5,73.0,0,2020,581
73,821078,10,0,39,29,36.0,114.0,74.0,0,2020,581
74,811014,10,0,34,40,30.0,114.0,75.0,0,2020,581
75,821026,10,0,41,39,23.5,113.5,76.0,0,2020,581
76,821018,9,0,39,43,22.5,113.5,77.0,0,2020,581
77,812038,10,0,37,45,21.5,113.5,78.0,0,2020,581
78,812121,9,0,33,48,23.0,113.0,79.0,0,2020,581
79,821021,10,0,43,39,21.0,113.0,80.0,0,2020,581
80,822062,10,0,33,34,35.5,112.5,81.0,0,2020,581
81,811038,10,0,34,34,34.5,112.5,82.0,0,2020,581
82,812033,10,0,41,42,19.5,112.5,83.0,0,2020,581
83,811030,8,0,36,39,29.0,112.0,84.0,0,2020,581
84,821077,10,0,37,41,24.0,112.0,85.0,0,2020,581
85,822046,10,0,43,36,23.0,112.0,86.0,0,2020,581
86,812047,10,0,34,35,32.5,111.5,87.0,0,2020,581
87,811001,10,0,43,33,25.5,111.5,88.0,0,2020,581
88,822053,10,0,40,36,25.5,111.5,89.0,0,2020,581
89,811080,10,0,35,42,24.5,111.5,90.0,0,2020,581
90,822037,10,0,29,40,32.0,111.0,91.0,0,2020,581
91,822068,9,0,38,36,28.0,111.0,92.0,0,2020,581
92,821055,10,0,39,36,26.0,111.0,93.0,0,2020,581
93,812100,9,0,34,45,23.0,111.0,94.0,0,2020,581
94,812005,10,0,37,31,32.5,110.5,95.0,0,2020,581
95,821047,9,0,33,40,28.5,110.5,96.0,0,2020,581
96,821033,10,0,31,37,32.0,110.0,97.0,0,2020,581
97,821044,10,0,34,36,30.0,110.0,98.0,0,2020,581
98,811009,9,0,35,36,29.5,109.5,99.0,0,2020,581
99,811034,10,0,32,39,28.5,109.5,100.0,0,2020,581
100,821032,8,0,30,45,26.0,109.0,101.0,0,2020,581
101,821024,10,0,42,32,25.0,109.0,102.0,0,2020,581
102,812065,10,0,33,43,23.0,109.0,103.0,0,2020,581
103,821007,10,0,41,35,22.5,108.5,104.0,0,2020,581
104,821049,9,0,38,44,17.5,108.5,105.0,0,2020,581
105,811077,10,0,34,31,33.0,108.0,106.0,0,2020,581
106,821082,9,0,34,42,23.0,108.0,107.0,0,2020,581
107,821014,9,0,36,43,20.0,108.0,108.0,0,2020,581
108,821022,9,0,40,41,18.0,108.0,109.0,0,2020,581
109,812095,10,0,38,28,31.5,107.5,110.0,0,2020,581
110,822071,10,0,36,28,33.0,107.0,111.0,0,2020,581
111,812009,10,0,33,37,27.0,107.0,112.0,0,2020,581
112,822019,10,0,36,25,35.5,106.5,113.0,0,2020,581
113,812019,10,0,41,25,30.5,106.5,114.0,0,2020,581
114,811043,10,0,37,33,26.5,106.5,115.0,0,2020,581
115,821002,10,0,34,39,23.5,106.5,116.0,0,2020,581
116,812108,10,0,39,27,30.0,106.0,117.0,0,2020,581
117,811073,10,0,32,35,29.0,106.0,118.0,0,2020,581
118,822038,10,0,44,25,27.0,106.0,119.0,0,2020,581
119,821058,10,0,32,37,27.0,106.0,120.0,0,2020,581
120,822069,10,0,43,29,24.0,106.0,121.0,0,2020,581
121,822006,10,0,39,36,21.0,106.0,122.0,0,2020,581
122,811061,10,0,28,41,26.5,105.5,123.0,0,2020,581
123,812120,10,0,33,32,30.0,105.0,124.0,0,2020,581
124,821008,8,0,31,38,28.0,105.0,125.0,0,2020,581
125,821016,8,0,38,34,25.0,105.0,126.0,0,2020,581
126,821051,10,0,37,34,24.0,105.0,127.0,0,2020,581
127,822025,9,0,32,33,30.5,104.5,128.0,0,2020,581
128,812049,9,0,38,38,19.5,104.5,129.0,0,2020,581
129,812092,10,0,38,30,25.5,103.5,130.0,0,2020,581
130,821012,4,0,41,37,21.5,103.5,131.0,0,2020,581
131,812006,10,0,42,21,30.0,103.0,132.0,0,2020,581
132,812023,10,0,33,33,27.0,103.0,133.0,0,2020,581
133,811078,8,0,36,35,24.0,103.0,134.0,0,2020,581
134,811072,10,0,31,38,24.0,103.0,135.0,0,2020,581
135,812045,9,0,34,41,19.0,103.0,136.0,0,2020,581
136,822065,10,0,38,37,18.0,103.0,137.0,0,2020,581
137,811002,10,0,35,40,18.0,103.0,138.0,0,2020,581
138,812013,10,0,42,35,16.0,103.0,139.0,0,2020,581
139,811039,10,0,31,36,25.5,102.5,140.0,0,2020,581
140,812017,9,0,28,34,31.0,102.0,141.0,0,2020,581
141,812087,10,0,35,32,25.0,102.0,142.0,0,2020,581
142,812053,10,0,33,33,25.0,101.0,143.0,0,2020,581
143,822033,10,0,32,35,24.0,101.0,144.0,0,2020,581
144,821059,10,0,39,31,21.0,101.0,145.0,0,2020,581
145,811029,10,0,30,29,31.5,100.5,146.0,0,2020,581
146,811008,10,0,42,23,25.5,100.5,147.0,0,2020,581
147,811069,8,0,32,35,25.0,100.0,148.0,0,2020,581
148,822004,10,0,35,29,25.5,99.5,149.0,0,2020,581
149,821054,8,0,31,36,24.5,99.5,150.0,0,2020,581
150,822027,10,0,39,28,22.5,99.5,151.0,0,2020,581
151,822005,10,0,40,33,16.5,99.5,152.0,0,2020,581
152,812007,10,0,29,25,35.0,99.0,153.0,0,2020,581
153,822017,9,0,35,27,28.0,99.0,154.0,0,2020,581
154,812040,10,0,28,36,25.0,99.0,155.0,0,2020,581
155,822080,9,0,29,33,27.5,98.5,156.0,0,2020,581
156,811027,10,0,30,35,23.5,98.5,157.0,0,2020,581
157,811036,10,0,31,35,22.5,98.5,158.0,0,2020,581
158,822012,10,0,30,26,32.0,98.0,159.0,0,2020,581
159,812111,10,0,31,26,31.0,98.0,160.0,0,2020,581
160,812004,10,0,33,33,22.0,98.0,161.0,0,2020,581
161,822059,10,0,43,26,19.0,98.0,162.0,0,2020,581
162,822035,10,0,33,28,26.5,97.5,163.0,0,2020,581
163,811017,10,0,31,27,29.0,97.0,164.0,0,2020,581
164,812028,10,0,32,29,26.0,97.0,165.0,0,2020,581
165,822083,9,0,25,40,23.0,97.0,166.0,0,2020,581
166,822052,10,0,34,33,20.0,97.0,167.0,0,2020,581
167,811041,10,0,33,37,16.5,96.5,168.0,0,2020,581
168,811066,10,0,24,39,23.0,96.0,169.0,0,2020,581
