TODROP,RANK,ID,4,5,GRADES,CONTESTS,CZECH,MATH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,1,205,1.0,1.0,20,10,72.0,88.2,190.2,1,2017,1081
1,2,408,1.0,1.0,20,0,82.8,86.4,189.2,1,2017,1081
2,2,352,1.0,1.0,20,0,86.4,82.8,189.2,1,2017,1081
3,4,151,1.0,1.0,20,0,77.4,90.0,187.4,1,2017,1081
4,4,216,1.0,1.0,20,0,84.6,82.8,187.4,1,2017,1081
5,6,124,1.0,1.0,20,0,82.8,82.8,185.6,1,2017,1081
6,7,369,1.0,1.0,20,3,82.8,79.2,185.0,1,2017,1081
7,8,155,1.0,1.0,20,0,77.4,86.4,183.8,1,2017,1081
8,8,180,1.0,1.0,20,0,73.8,90.0,183.8,1,2017,1081
9,8,331,1.0,1.0,20,0,81.0,82.8,183.8,1,2017,1081
10,11,356,1.0,1.2,18,0,75.6,90.0,183.6,1,2017,1081
11,12,239,1.0,1.0,20,3,73.8,86.4,183.2,1,2017,1081
12,13,136,1.0,1.0,20,0,82.8,79.2,182.0,1,2017,1081
13,13,159,1.0,1.0,20,0,75.6,86.4,182.0,1,2017,1081
14,13,244,1.0,1.0,20,0,79.2,82.8,182.0,1,2017,1081
15,16,437,1.0,1.0,20,3,72.0,86.4,181.4,1,2017,1081
16,17,137,1.0,1.0,20,0,77.4,82.8,180.2,1,2017,1081
17,17,227,1.0,1.0,20,0,82.8,77.4,180.2,1,2017,1081
18,17,376,1.0,1.0,20,0,84.6,75.6,180.2,1,2017,1081
19,17,363,1.0,1.0,20,0,88.2,72.0,180.2,1,2017,1081
20,17,360,1.0,1.0,20,0,82.8,77.4,180.2,1,2017,1081
21,22,115,1.0,1.0,20,0,82.8,75.6,178.4,1,2017,1081
22,22,225,1.0,1.0,20,0,82.8,75.6,178.4,1,2017,1081
23,22,276,1.0,1.0,20,0,79.2,79.2,178.4,1,2017,1081
24,22,456,1.0,1.0,20,0,81.0,77.4,178.4,1,2017,1081
25,26,240,1.0,1.0,20,0,79.2,77.4,176.6,1,2017,1081
26,27,170,1.0,1.0,20,5,70.2,81.0,176.2,1,2017,1081
27,28,111,1.0,1.0,20,0,81.0,73.8,174.8,0,2017,1081
28,28,242,1.0,1.0,20,0,75.6,79.2,174.8,0,2017,1081
29,28,249,1.0,1.0,20,0,70.2,84.6,174.8,0,2017,1081
30,31,222,1.0,1.0,20,0,88.2,64.8,173.0,0,2017,1081
31,31,186,1.0,1.0,20,0,70.2,82.8,173.0,0,2017,1081
32,31,224,1.0,1.0,20,0,79.2,73.8,173.0,0,2017,1081
33,31,261,1.0,1.0,20,0,81.0,72.0,173.0,0,2017,1081
34,35,125,1.0,1.0,20,0,79.2,72.0,171.2,0,2017,1081
35,35,143,1.0,1.0,20,0,70.2,81.0,171.2,0,2017,1081
36,35,177,1.0,1.0,20,0,68.4,82.8,171.2,0,2017,1081
37,35,217,1.0,1.0,20,0,84.6,66.6,171.2,0,2017,1081
38,35,272,1.0,1.0,20,0,75.6,75.6,171.2,0,2017,1081
39,35,365,1.0,1.0,20,0,72.0,79.2,171.2,0,2017,1081
40,35,339,1.0,1.0,20,0,82.8,68.4,171.2,0,2017,1081
41,42,116,1.0,1.0,20,0,77.4,72.0,169.4,0,2017,1081
42,42,236,1.0,1.0,20,0,77.4,72.0,169.4,0,2017,1081
43,42,282,1.0,1.0,20,0,77.4,72.0,169.4,0,2017,1081
44,42,296,1.0,1.0,20,0,70.2,79.2,169.4,0,2017,1081
45,42,387,1.0,1.0,20,0,66.6,82.8,169.4,0,2017,1081
46,42,373,1.0,1.0,20,0,72.0,77.4,169.4,0,2017,1081
47,48,371,1.0,1.0,20,3,63.0,82.8,168.8,0,2017,1081
48,49,148,1.0,1.0,20,0,81.0,66.6,167.6,0,2017,1081
49,49,165,1.0,1.0,20,0,75.6,72.0,167.6,0,2017,1081
50,49,179,1.0,1.0,20,0,73.8,73.8,167.6,0,2017,1081
51,49,193,1.0,1.0,20,0,75.6,72.0,167.6,0,2017,1081
52,49,294,1.0,1.0,20,0,82.8,64.8,167.6,0,2017,1081
53,49,300,1.0,1.0,20,0,77.4,70.2,167.6,0,2017,1081
54,49,393,1.0,1.0,20,0,72.0,75.6,167.6,0,2017,1081
55,56,288,1.0,1.0,20,0,73.8,72.0,165.8,0,2017,1081
56,56,338,1.0,1.0,20,0,77.4,68.4,165.8,0,2017,1081
57,56,443,1.0,1.0,20,0,70.2,75.6,165.8,0,2017,1081
58,59,133,1.0,1.0,20,0,75.6,68.4,164.0,0,2017,1081
59,60,112,1.0,1.0,20,0,66.6,75.6,162.2,0,2017,1081
60,60,197,1.0,1.0,20,0,66.6,75.6,162.2,0,2017,1081
61,60,230,1.0,1.0,20,0,72.0,70.2,162.2,0,2017,1081
62,63,318,1.0,1.0,20,0,73.8,66.6,160.4,0,2017,1081
63,63,326,1.0,1.0,20,0,75.6,64.8,160.4,0,2017,1081
64,63,452,1.0,1.0,20,0,66.6,73.8,160.4,0,2017,1081
65,66,215,1.0,1.0,20,0,66.6,72.0,158.6,0,2017,1081
66,66,441,1.0,1.0,20,0,70.2,68.4,158.6,0,2017,1081
67,68,153,1.0,1.0,20,0,66.6,70.2,156.8,0,2017,1081
68,69,199,1.0,1.2,18,0,59.4,79.2,156.6,0,2017,1081
69,70,228,1.0,1.0,20,0,59.4,75.6,155.0,0,2017,1081
70,70,234,1.0,1.0,20,0,72.0,63.0,155.0,0,2017,1081
71,70,270,1.0,1.0,20,0,70.2,64.8,155.0,0,2017,1081
72,70,416,1.0,1.0,20,0,55.8,79.2,155.0,0,2017,1081
73,70,461,1.0,1.0,20,0,64.8,70.2,155.0,0,2017,1081
74,75,334,1.6,1.0,14,0,57.6,82.8,154.4,0,2017,1081
75,76,451,1.0,1.8,12,0,70.2,72.0,154.2,0,2017,1081
76,77,178,1.0,1.0,20,0,59.4,73.8,153.2,0,2017,1081
77,77,212,1.0,1.0,20,0,54.0,79.2,153.2,0,2017,1081
78,77,247,1.0,1.0,20,0,54.0,79.2,153.2,0,2017,1081
79,77,275,1.0,1.0,20,0,61.2,72.0,153.2,0,2017,1081
80,77,280,1.0,1.0,20,0,57.6,75.6,153.2,0,2017,1081
81,77,426,1.0,1.0,20,0,70.2,63.0,153.2,0,2017,1081
82,77,392,1.0,1.0,20,0,64.8,68.4,153.2,0,2017,1081
83,84,302,1.0,1.0,20,0,66.6,64.8,151.4,0,2017,1081
84,84,312,1.0,1.0,20,0,68.4,63.0,151.4,0,2017,1081
85,84,433,1.0,1.0,20,0,63.0,68.4,151.4,0,2017,1081
86,84,349,1.0,1.0,20,0,64.8,66.6,151.4,0,2017,1081
87,84,446,1.0,1.0,20,0,55.8,75.6,151.4,0,2017,1081
88,89,372,1.2,2.0,8,0,57.6,84.6,150.2,0,2017,1081
89,90,194,1.0,1.0,20,0,72.0,57.6,149.6,0,2017,1081
90,90,208,1.0,1.0,20,0,66.6,63.0,149.6,0,2017,1081
91,90,248,1.0,1.0,20,0,68.4,61.2,149.6,0,2017,1081
92,90,335,1.0,1.0,20,0,77.4,52.2,149.6,0,2017,1081
93,90,432,1.0,1.0,20,0,72.0,57.6,149.6,0,2017,1081
94,95,145,1.0,1.2,18,0,70.2,61.2,149.4,0,2017,1081
95,95,210,1.2,1.0,18,0,66.6,64.8,149.4,0,2017,1081
96,95,281,1.0,1.2,18,0,75.6,55.8,149.4,0,2017,1081
97,98,198,1.0,1.0,20,0,64.8,63.0,147.8,0,2017,1081
98,98,265,1.0,1.0,20,0,59.4,68.4,147.8,0,2017,1081
99,98,328,1.0,1.0,20,0,70.2,57.6,147.8,0,2017,1081
100,98,400,1.0,1.0,20,0,54.0,73.8,147.8,0,2017,1081
101,102,283,1.2,1.2,16,0,55.8,75.6,147.4,0,2017,1081
102,103,142,1.0,1.0,20,0,72.0,54.0,146.0,0,2017,1081
103,103,252,1.0,1.0,20,0,64.8,61.2,146.0,0,2017,1081
104,103,319,1.0,1.0,20,0,64.8,61.2,146.0,0,2017,1081
105,103,440,1.0,1.0,20,0,73.8,52.2,146.0,0,2017,1081
106,107,164,1.0,1.0,20,0,59.4,64.8,144.2,0,2017,1081
107,107,421,1.0,1.0,20,0,63.0,61.2,144.2,0,2017,1081
108,107,398,1.0,1.0,20,0,66.6,57.6,144.2,0,2017,1081
109,107,350,1.0,1.0,20,0,66.6,57.6,144.2,0,2017,1081
110,111,123,1.0,1.0,20,0,55.8,66.6,142.4,0,2017,1081
111,111,152,1.0,1.0,20,0,55.8,66.6,142.4,0,2017,1081
112,111,201,1.0,1.0,20,0,66.6,55.8,142.4,0,2017,1081
113,111,233,1.0,1.0,20,0,73.8,48.6,142.4,0,2017,1081
114,115,344,1.0,1.2,18,0,54.0,70.2,142.2,0,2017,1081
115,116,156,1.4,1.2,14,0,66.6,61.2,141.8,0,2017,1081
116,117,263,1.0,1.0,20,0,57.6,63.0,140.6,0,2017,1081
117,117,337,1.0,1.0,20,0,52.2,68.4,140.6,0,2017,1081
118,117,348,1.0,1.0,20,0,59.4,61.2,140.6,0,2017,1081
119,120,317,1.0,1.6,14,0,54.0,72.0,140.0,0,2017,1081
120,121,241,1.0,1.0,20,0,61.2,57.6,138.8,0,2017,1081
121,121,379,1.0,1.0,20,0,79.2,39.6,138.8,0,2017,1081
122,123,273,1.0,1.0,20,0,52.2,64.8,137.0,0,2017,1081
123,123,407,1.0,1.0,20,0,68.4,48.6,137.0,0,2017,1081
124,125,399,1.0,1.2,18,0,57.6,61.2,136.8,0,2017,1081
125,126,439,1.2,1.2,16,0,52.2,68.4,136.6,0,2017,1081
126,127,117,1.0,1.0,20,0,59.4,55.8,135.2,0,2017,1081
127,127,203,1.0,1.0,20,0,64.8,50.4,135.2,0,2017,1081
128,127,267,1.0,1.0,20,0,45.0,70.2,135.2,0,2017,1081
129,127,279,1.0,1.0,20,0,57.6,57.6,135.2,0,2017,1081
130,127,412,1.0,1.0,20,0,54.0,61.2,135.2,0,2017,1081
131,132,171,1.0,1.0,20,0,59.4,54.0,133.4,0,2017,1081
132,132,211,1.0,1.0,20,0,57.6,55.8,133.4,0,2017,1081
133,132,325,1.0,1.0,20,0,61.2,52.2,133.4,0,2017,1081
134,132,355,1.0,1.0,20,0,64.8,48.6,133.4,0,2017,1081
135,136,238,1.4,1.2,14,0,64.8,54.0,132.8,0,2017,1081
136,137,454,1.6,1.4,10,0,52.2,70.2,132.4,0,2017,1081
137,138,246,1.0,1.0,20,0,46.8,64.8,131.6,0,2017,1081
138,139,214,1.0,1.2,18,0,50.4,63.0,131.4,0,2017,1081
139,139,303,1.0,1.2,18,0,55.8,57.6,131.4,0,2017,1081
140,141,259,1.0,1.0,20,0,54.0,55.8,129.8,0,2017,1081
141,142,277,1.0,1.4,16,0,34.2,79.2,129.4,0,2017,1081
142,143,332,1.0,1.6,14,0,63.0,52.2,129.2,0,2017,1081
143,144,343,1.0,1.0,20,0,64.8,43.2,128.0,0,2017,1081
144,145,175,1.0,1.0,20,0,64.8,41.4,126.2,0,2017,1081
145,145,327,1.0,1.0,20,0,59.4,46.8,126.2,0,2017,1081
146,145,361,1.0,1.0,20,0,52.2,54.0,126.2,0,2017,1081
147,148,378,1.0,1.2,18,0,63.0,45.0,126.0,0,2017,1081
148,149,185,1.2,1.2,16,0,57.6,52.2,125.8,0,2017,1081
149,150,200,1.0,1.0,20,0,59.4,45.0,124.4,0,2017,1081
150,150,209,1.0,1.0,20,0,46.8,57.6,124.4,0,2017,1081
151,150,274,1.0,1.0,20,0,59.4,45.0,124.4,0,2017,1081
152,150,284,1.0,1.0,20,0,55.8,48.6,124.4,0,2017,1081
153,154,285,1.0,1.2,18,0,52.2,54.0,124.2,0,2017,1081
154,155,396,1.0,1.4,16,0,59.4,48.6,124.0,0,2017,1081
155,156,213,1.0,1.0,20,0,59.4,43.2,122.6,0,2017,1081
156,157,226,1.2,1.0,18,0,45.0,59.4,122.4,0,2017,1081
157,158,422,1.0,1.6,14,0,57.6,50.4,122.0,0,2017,1081
158,159,323,1.4,1.6,10,0,34.2,75.6,119.8,0,2017,1081
159,160,172,1.0,1.0,20,0,52.2,45.0,117.2,0,2017,1081
160,161,204,1.2,1.0,18,0,57.6,41.4,117.0,0,2017,1081
161,162,310,1.2,1.4,14,0,48.6,54.0,116.6,0,2017,1081
162,163,419,1.0,1.0,20,0,55.8,39.6,115.4,0,2017,1081
163,164,141,1.2,1.4,14,0,41.4,59.4,114.8,0,2017,1081
164,165,188,1.0,1.0,20,0,52.2,41.4,113.6,0,2017,1081
165,166,397,1.0,1.0,20,0,54.0,37.8,111.8,0,2017,1081
166,166,370,1.0,1.0,20,0,46.8,45.0,111.8,0,2017,1081
167,168,385,1.2,1.4,14,0,45.0,52.2,111.2,0,2017,1081
168,169,427,1.0,1.0,20,0,50.4,39.6,110.0,0,2017,1081
169,169,383,1.0,1.0,20,0,48.6,41.4,110.0,0,2017,1081
170,169,351,1.0,1.0,20,0,55.8,34.2,110.0,0,2017,1081
171,172,132,1.0,1.2,18,0,43.2,48.6,109.8,0,2017,1081
172,173,163,1.0,1.0,20,0,48.6,39.6,108.2,0,2017,1081
173,173,438,1.0,1.0,20,0,52.2,36.0,108.2,0,2017,1081
174,175,453,1.4,1.0,16,0,52.2,39.6,107.8,0,2017,1081
175,176,320,1.8,1.4,8,0,45.0,54.0,107.0,0,2017,1081
176,177,313,1.0,1.0,20,0,43.2,43.2,106.4,0,2017,1081
177,178,347,1.6,1.4,10,0,32.4,63.0,105.4,0,2017,1081
178,179,135,1.0,1.0,20,0,41.4,43.2,104.6,0,2017,1081
179,179,150,1.0,1.0,20,0,34.2,50.4,104.6,0,2017,1081
180,179,424,1.0,1.0,20,0,45.0,39.6,104.6,0,2017,1081
181,179,394,1.0,1.0,20,0,37.8,46.8,104.6,0,2017,1081
182,183,375,1.6,1.4,10,0,46.8,46.8,103.6,0,2017,1081
183,184,423,1.0,1.0,20,0,37.8,45.0,102.8,0,2017,1081
184,185,362,1.6,1.2,12,0,46.8,43.2,102.0,0,2017,1081
185,186,202,1.8,2.0,2,0,52.2,46.8,101.0,0,2017,1081
186,187,377,1.2,1.8,10,0,39.6,50.4,100.0,0,2017,1081
187,188,154,1.0,1.0,20,0,50.4,28.8,99.2,0,2017,1081
188,188,250,1.0,1.0,20,0,46.8,32.4,99.2,0,2017,1081
189,188,425,1.0,1.0,20,0,37.8,41.4,99.2,0,2017,1081
190,191,220,1.2,1.4,14,0,25.2,59.4,98.6,0,2017,1081
191,192,353,1.4,1.6,10,0,50.4,37.8,98.2,0,2017,1081
192,193,278,1.0,1.0,20,0,36.0,41.4,97.4,0,2017,1081
193,194,428,1.4,1.4,12,0,45.0,39.6,96.6,0,2017,1081
194,195,448,1.8,1.6,6,0,30.6,59.4,96.0,0,2017,1081
195,196,431,1.6,2.2,4,0,39.6,52.2,95.8,0,2017,1081
196,197,374,1.0,1.0,20,0,41.4,34.2,95.6,0,2017,1081
197,197,445,1.0,1.0,20,0,45.0,30.6,95.6,0,2017,1081
198,199,460,1.0,1.2,18,0,37.8,39.6,95.4,0,2017,1081
199,200,253,1.2,1.6,12,0,54.0,28.8,94.8,0,2017,1081
200,200,295,1.4,1.4,12,0,45.0,37.8,94.8,0,2017,1081
201,202,287,1.0,1.0,20,0,34.2,39.6,93.8,0,2017,1081
202,203,264,1.0,1.2,18,0,41.4,34.2,93.6,0,2017,1081
203,204,390,1.2,1.6,12,0,50.4,28.8,91.2,0,2017,1081
204,205,406,1.4,1.2,14,0,34.2,41.4,89.6,0,2017,1081
205,206,409,1.6,1.6,8,0,43.2,37.8,89.0,0,2017,1081
206,206,359,1.6,1.6,8,0,55.8,25.2,89.0,0,2017,1081
207,208,395,1.0,1.0,20,0,34.2,32.4,86.6,0,2017,1081
208,209,336,1.4,1.4,12,0,28.8,45.0,85.8,0,2017,1081
209,210,184,1.6,1.4,10,0,37.8,37.8,85.6,0,2017,1081
210,211,268,1.2,1.4,14,0,39.6,30.6,84.2,0,2017,1081
211,212,147,1.2,1.6,12,0,19.8,52.2,84.0,0,2017,1081
212,212,160,1.4,1.4,12,0,36.0,36.0,84.0,0,2017,1081
213,212,449,1.4,1.4,12,0,36.0,36.0,84.0,0,2017,1081
214,215,251,1.0,1.6,14,0,37.8,30.6,82.4,0,2017,1081
215,216,380,1.4,2.0,6,0,36.0,37.8,79.8,0,2017,1081
216,217,358,1.4,1.0,16,0,37.8,25.2,79.0,0,2017,1081
217,218,311,1.6,2.0,4,0,27.0,46.8,77.8,0,2017,1081
218,219,231,1.4,1.6,10,0,34.2,32.4,76.6,0,2017,1081
219,220,158,1.0,1.0,20,0,32.4,23.4,75.8,0,2017,1081
220,221,146,1.6,1.4,10,0,34.2,30.6,74.8,0,2017,1081
221,222,340,1.0,1.4,16,0,34.2,23.4,73.6,0,2017,1081
222,223,245,1.0,1.0,20,0,23.4,28.8,72.2,0,2017,1081
223,224,357,1.8,1.8,4,0,32.4,28.8,65.2,0,2017,1081
224,225,429,1.0,1.2,18,0,25.2,21.6,64.8,0,2017,1081
225,226,430,1.4,1.4,12,0,18.0,9.0,39.0,0,2017,1081
226,227,174,1.0,1.0,20,0,0.0,0.0,20.0,0,2017,1081
227,227,322,1.0,1.0,20,0,0.0,0.0,20.0,0,2017,1081
