RANK,ID,4,5,GRADES,CONTESTS,CZECH,MATH,SUM,ADMITTED_ID
1,205,1,1,20,10,72,88.2,190.2,1
2.-3.,408,1,1,20,0,82.8,86.4,189.2,1
2.-3.,352,1,1,20,0,86.4,82.8,189.2,1
4.-5.,151,1,1,20,0,77.4,90,187.4,1
4.-5.,216,1,1,20,0,84.6,82.8,187.4,1
6,124,1,1,20,0,82.8,82.8,185.6,1
7,369,1,1,20,3,82.8,79.2,185,1
8.-10.,155,1,1,20,0,77.4,86.4,183.8,1
8.-10.,180,1,1,20,0,73.8,90,183.8,1
8.-10.,331,1,1,20,0,81,82.8,183.8,1
11,356,1,1.2,18,0,75.6,90,183.6,1
12,239,1,1,20,3,73.8,86.4,183.2,1
13.-15.,136,1,1,20,0,82.8,79.2,182,1
13.-15.,159,1,1,20,0,75.6,86.4,182,1
13.-15.,244,1,1,20,0,79.2,82.8,182,1
16,437,1,1,20,3,72,86.4,181.4,1
17.-21.,137,1,1,20,0,77.4,82.8,180.2,1
17.-21.,227,1,1,20,0,82.8,77.4,180.2,1
17.-21.,376,1,1,20,0,84.6,75.6,180.2,1
17.-21.,363,1,1,20,0,88.2,72,180.2,1
17.-21.,360,1,1,20,0,82.8,77.4,180.2,1
22.-25.,115,1,1,20,0,82.8,75.6,178.4,1
22.-25.,225,1,1,20,0,82.8,75.6,178.4,1
22.-25.,276,1,1,20,0,79.2,79.2,178.4,1
22.-25.,456,1,1,20,0,81,77.4,178.4,1
26,240,1,1,20,0,79.2,77.4,176.6,1
27,170,1,1,20,5,70.2,81,176.2,1
28.-30.,111,1,1,20,0,81,73.8,174.8,0
28.-30.,242,1,1,20,0,75.6,79.2,174.8,0
28.-30.,249,1,1,20,0,70.2,84.6,174.8,0
31.-34.,222,1,1,20,0,88.2,64.8,173,0
31.-34.,186,1,1,20,0,70.2,82.8,173,0
31.-34.,224,1,1,20,0,79.2,73.8,173,0
31.-34.,261,1,1,20,0,81,72,173,0
35.-41.,125,1,1,20,0,79.2,72,171.2,0
35.-41.,143,1,1,20,0,70.2,81,171.2,0
35.-41.,177,1,1,20,0,68.4,82.8,171.2,0
35.-41.,217,1,1,20,0,84.6,66.6,171.2,0
35.-41.,272,1,1,20,0,75.6,75.6,171.2,0
35.-41.,365,1,1,20,0,72,79.2,171.2,0
35.-41.,339,1,1,20,0,82.8,68.4,171.2,0
42.-47.,116,1,1,20,0,77.4,72,169.4,0
42.-47.,236,1,1,20,0,77.4,72,169.4,0
42.-47.,282,1,1,20,0,77.4,72,169.4,0
42.-47.,296,1,1,20,0,70.2,79.2,169.4,0
42.-47.,387,1,1,20,0,66.6,82.8,169.4,0
42.-47.,373,1,1,20,0,72,77.4,169.4,0
48,371,1,1,20,3,63,82.8,168.8,0
49.-55.,148,1,1,20,0,81,66.6,167.6,0
49.-55.,165,1,1,20,0,75.6,72,167.6,0
49.-55.,179,1,1,20,0,73.8,73.8,167.6,0
49.-55.,193,1,1,20,0,75.6,72,167.6,0
49.-55.,294,1,1,20,0,82.8,64.8,167.6,0
49.-55.,300,1,1,20,0,77.4,70.2,167.6,0
49.-55.,393,1,1,20,0,72,75.6,167.6,0
56.-58.,288,1,1,20,0,73.8,72,165.8,0
56.-58.,338,1,1,20,0,77.4,68.4,165.8,0
56.-58.,443,1,1,20,0,70.2,75.6,165.8,0
59,133,1,1,20,0,75.6,68.4,164,0
60.-62.,112,1,1,20,0,66.6,75.6,162.2,0
60.-62.,197,1,1,20,0,66.6,75.6,162.2,0
60.-62.,230,1,1,20,0,72,70.2,162.2,0
63.-65.,318,1,1,20,0,73.8,66.6,160.4,0
63.-65.,326,1,1,20,0,75.6,64.8,160.4,0
63.-65.,452,1,1,20,0,66.6,73.8,160.4,0
66.-67.,215,1,1,20,0,66.6,72,158.6,0
66.-67.,441,1,1,20,0,70.2,68.4,158.6,0
68,153,1,1,20,0,66.6,70.2,156.8,0
69,199,1,1.2,18,0,59.4,79.2,156.6,0
70.-74.,228,1,1,20,0,59.4,75.6,155,0
70.-74.,234,1,1,20,0,72,63,155,0
70.-74.,270,1,1,20,0,70.2,64.8,155,0
70.-74.,416,1,1,20,0,55.8,79.2,155,0
70.-74.,461,1,1,20,0,64.8,70.2,155,0
75,334,1.6,1,14,0,57.6,82.8,154.4,0
76,451,1,1.8,12,0,70.2,72,154.2,0
77.-83.,178,1,1,20,0,59.4,73.8,153.2,0
77.-83.,212,1,1,20,0,54,79.2,153.2,0
