TODROP,RANK,ID,4,5,GRADES,CONTESTD,CZECH,MATH,SUM,CZECH1,SUM1,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,1,671,1.0,1.0,20,0,86.4,90.0,196.4,48,50,1,2018,1081
1,2,698,1.0,1.0,20,0,88.2,82.8,191.0,49,46,1,2018,1081
2,3,626,1.0,1.0,20,0,82.8,86.4,189.2,46,48,1,2018,1081
3,4,689,1.0,1.0,20,5,81.0,81.0,187.0,45,45,1,2018,1081
4,5,803,1.0,1.0,20,0,81.0,82.8,183.8,45,46,1,2018,1081
5,6,897,1.0,1.0,20,0,86.4,77.4,183.8,48,43,1,2018,1081
6,7,716,1.0,1.0,20,0,77.4,81.0,178.4,43,45,1,2018,1081
7,8,871,1.0,1.0,20,0,79.2,79.2,178.4,44,44,1,2018,1081
8,9,677,1.0,1.0,20,0,79.2,77.4,176.6,44,43,1,2018,1081
9,10,888,1.0,1.0,20,0,81.0,75.6,176.6,45,42,1,2018,1081
10,11,619,1.0,1.0,20,0,84.6,72.0,176.6,47,40,1,2018,1081
11,12,627,1.0,1.0,20,5,70.2,81.0,176.2,39,45,1,2018,1081
12,13,618,1.0,1.0,20,0,81.0,73.8,174.8,45,41,1,2018,1081
13,14,673,1.0,1.0,20,0,84.6,70.2,174.8,47,39,1,2018,1081
14,15,858,1.0,1.0,20,0,82.8,70.2,173.0,46,39,1,2018,1081
15,16,649,1.0,1.0,20,0,77.4,73.8,171.2,43,41,1,2018,1081
16,17,832,1.0,1.0,20,0,79.2,72.0,171.2,44,40,1,2018,1081
17,17,615,1.0,1.0,20,0,79.2,72.0,171.2,44,40,1,2018,1081
18,19,841,1.0,1.0,20,0,81.0,70.2,171.2,45,39,1,2018,1081
19,19,885,1.0,1.0,20,0,81.0,70.2,171.2,45,39,1,2018,1081
20,19,688,1.0,1.0,20,0,81.0,70.2,171.2,45,39,1,2018,1081
21,22,896,1.0,1.0,20,0,66.6,82.8,169.4,37,46,1,2018,1081
22,23,882,1.0,1.0,20,0,77.4,72.0,169.4,43,40,1,2018,1081
23,23,656,1.0,1.0,20,0,77.4,72.0,169.4,43,40,1,2018,1081
24,23,606,1.0,1.0,20,0,77.4,72.0,169.4,43,40,1,2018,1081
25,26,708,1.0,1.0,20,0,86.4,63.0,169.4,48,35,1,2018,1081
26,27,621,1.0,1.0,20,0,88.2,61.2,169.4,49,34,1,2018,1081
27,28,635,1.0,1.0,20,0,77.4,70.2,167.6,43,39,1,2018,1081
28,29,870,1.0,1.0,20,0,79.2,68.4,167.6,44,38,1,2018,1081
29,30,854,1.0,1.0,20,0,75.6,70.2,165.8,42,39,1,2018,1081
30,31,811,1.0,1.0,20,0,79.2,66.6,165.8,44,37,0,2018,1081
31,32,864,1.0,1.0,20,0,81.0,64.8,165.8,45,36,0,2018,1081
32,33,850,1.0,1.0,20,0,79.2,64.8,164.0,44,36,0,2018,1081
33,34,816,1.0,1.2,18,0,72.0,73.8,163.8,40,41,0,2018,1081
34,35,651,1.0,1.0,20,0,66.6,75.6,162.2,37,42,0,2018,1081
35,36,804,1.0,1.0,20,0,68.4,73.8,162.2,38,41,0,2018,1081
36,37,842,1.0,1.0,20,0,81.0,61.2,162.2,45,34,0,2018,1081
37,38,646,1.0,1.4,16,0,68.4,77.4,161.8,38,43,0,2018,1081
38,39,654,1.0,1.0,20,3,72.0,66.6,161.6,40,37,0,2018,1081
39,40,831,1.0,1.0,20,0,72.0,68.4,160.4,40,38,0,2018,1081
40,41,812,1.0,1.0,20,0,75.6,64.8,160.4,42,36,0,2018,1081
41,42,620,1.0,1.0,20,0,77.4,63.0,160.4,43,35,0,2018,1081
42,43,898,1.0,1.0,20,0,82.8,57.6,160.4,46,32,0,2018,1081
43,43,863,1.0,1.0,20,0,82.8,57.6,160.4,46,32,0,2018,1081
44,45,839,1.0,1.0,20,0,72.0,66.6,158.6,40,37,0,2018,1081
45,46,848,1.0,1.2,18,0,55.8,82.8,156.6,31,46,0,2018,1081
46,47,901,1.0,1.2,18,0,75.6,63.0,156.6,42,35,0,2018,1081
47,48,631,1.0,1.0,20,4,73.8,57.6,155.4,41,32,0,2018,1081
48,49,805,1.0,1.0,20,0,68.4,66.6,155.0,38,37,0,2018,1081
49,50,867,1.0,1.0,20,0,77.4,57.6,155.0,43,32,0,2018,1081
50,51,714,1.0,1.0,20,0,79.2,55.8,155.0,44,31,0,2018,1081
51,52,813,1.0,1.0,20,0,59.4,73.8,153.2,33,41,0,2018,1081
52,53,669,1.0,1.0,20,0,73.8,59.4,153.2,41,33,0,2018,1081
53,54,860,1.0,1.0,20,0,75.6,57.6,153.2,42,32,0,2018,1081
54,55,630,1.0,1.0,20,0,57.6,73.8,151.4,32,41,0,2018,1081
55,56,639,1.0,1.0,20,0,66.6,64.8,151.4,37,36,0,2018,1081
56,57,868,1.0,1.0,20,0,68.4,63.0,151.4,38,35,0,2018,1081
57,58,834,1.0,1.0,20,0,72.0,59.4,151.4,40,33,0,2018,1081
58,58,899,1.0,1.0,20,0,72.0,59.4,151.4,40,33,0,2018,1081
59,60,629,1.0,1.0,20,0,73.8,57.6,151.4,41,32,0,2018,1081
60,61,833,1.0,1.0,20,0,75.6,55.8,151.4,42,31,0,2018,1081
61,62,815,1.2,1.0,18,0,70.2,63.0,151.2,39,35,0,2018,1081
62,63,855,1.0,1.2,18,0,73.8,59.4,151.2,41,33,0,2018,1081
