RANK,ID,4,5,GRADES,CONTESTD,CZECH,MATH,SUM,CZECH1,SUM1,ADMITTED_ID
1,671,1,1,20,0,86.4,90,196.4,48,50,1
2,698,1,1,20,0,88.2,82.8,191,49,46,1
3,626,1,1,20,0,82.8,86.4,189.2,46,48,1
4,689,1,1,20,5,81,81,187,45,45,1
5,803,1,1,20,0,81,82.8,183.8,45,46,1
6,897,1,1,20,0,86.4,77.4,183.8,48,43,1
7,716,1,1,20,0,77.4,81,178.4,43,45,1
8,871,1,1,20,0,79.2,79.2,178.4,44,44,1
9,677,1,1,20,0,79.2,77.4,176.6,44,43,1
10,888,1,1,20,0,81,75.6,176.6,45,42,1
11,619,1,1,20,0,84.6,72,176.6,47,40,1
12,627,1,1,20,5,70.2,81,176.2,39,45,1
13,618,1,1,20,0,81,73.8,174.8,45,41,1
14,673,1,1,20,0,84.6,70.2,174.8,47,39,1
15,858,1,1,20,0,82.8,70.2,173,46,39,1
16,649,1,1,20,0,77.4,73.8,171.2,43,41,1
17.-18.,832,1,1,20,0,79.2,72,171.2,44,40,1
17.-18.,615,1,1,20,0,79.2,72,171.2,44,40,1
19.-21.,841,1,1,20,0,81,70.2,171.2,45,39,1
19.-21.,885,1,1,20,0,81,70.2,171.2,45,39,1
19.-21.,688,1,1,20,0,81,70.2,171.2,45,39,1
22,896,1,1,20,0,66.6,82.8,169.4,37,46,1
23.-25.,882,1,1,20,0,77.4,72,169.4,43,40,1
23.-25.,656,1,1,20,0,77.4,72,169.4,43,40,1
23.-25.,606,1,1,20,0,77.4,72,169.4,43,40,1
26,708,1,1,20,0,86.4,63,169.4,48,35,1
27,621,1,1,20,0,88.2,61.2,169.4,49,34,1
28,635,1,1,20,0,77.4,70.2,167.6,43,39,1
29,870,1,1,20,0,79.2,68.4,167.6,44,38,1
30,854,1,1,20,0,75.6,70.2,165.8,42,39,1
31,811,1,1,20,0,79.2,66.6,165.8,44,37,0
32,864,1,1,20,0,81,64.8,165.8,45,36,0
33,850,1,1,20,0,79.2,64.8,164,44,36,0
34,816,1,1.2,18,0,72,73.8,163.8,40,41,0
35,651,1,1,20,0,66.6,75.6,162.2,37,42,0
36,804,1,1,20,0,68.4,73.8,162.2,38,41,0
37,842,1,1,20,0,81,61.2,162.2,45,34,0
