RANK,ID,GRADES,MATH,CZECH,AJ,SUM,ADMITTED_ID
1,14990207,10,50,47,47,154,1
2,49979504,10,46,47,46,149,1
3,5994519,10,44,50,45,149,1
4,18989363,10,42,45,50,147,1
5,97986457,10,47,45,42,144,1
6,50000457,10,46,48,40,144,1
7,20993926,10,45,46,43,144,1
8,18999347,10,44,48,42,144,1
9,53986629,10,43,47,44,144,1
10,56990301,10,46,42,44,142,1
11,77987488,10,46,44,41,141,1
12,30998910,10,43,45,43,141,1
13,81999254,10,43,46,42,141,1
14,83982301,10,37,46,47,140,1
15,30992082,10,47,40,42,139,1
16,64988598,10,40,42,47,139,1
17,47994691,10,44,38,46,138,1
18,2975067,10,38,45,45,138,1
19,79978379,10,50,41,36,137,1
20,11986801,10,45,44,38,137,1
21,67991504,10,44,44,39,137,1
22,17997300,10,42,48,37,137,1
23,78978473,10,41,45,41,137,1
24,22996238,10,41,46,40,137,1
25,10983598,10,45,40,41,136,1
26,92976676,10,42,40,44,136,1
27,9992660,10,40,42,44,136,1
28,28979754,10,38,41,47,136,1
29,22979926,10,37,45,44,136,1
30,69978051,9.33,44,42,40,135.33,1
31,46976598,10,44,44,37,135,1
32,70986973,10,37,45,43,135,1
33,40992816,10,45,38,41,134,1
34,21985519,10,44,46,34,134,1
35,93993426,10,43,37,44,134,1
36,85998300,10,43,38,43,134,1
37,80979238,10,40,46,38,134,1
38,61986894,10,40,41,43,134,1
39,16974379,10,38,45,40,133,1
40,52985082,10,37,41,45,133,1
41,6981535,8.67,47,41,36,132.67,1
42,59991332,10,43,44,35,132,1
43,8989613,10,39,38,45,132,1
44,91976098,9.4,43,33,46,131.4,1
45,76987066,10,42,39,40,131,1
46,16980863,10,38,44,39,131,1
47,49998238,10,42,42,36,130,1
48,3990988,10,41,38,41,130,1
49,38979582,10,37,40,43,130,1
50,10984457,10,42,36,41,129,1
51,57976770,10,40,43,36,129,1
52,54978145,10,39,43,37,129,1
53,86986379,10,39,43,37,129,1
54,66982645,10,38,42,39,129,1
55,16985004,10,37,38,44,129,1
56,21994863,10,37,41,41,129,1
57,7996457,9.33,42,44,33,128.33,1
58,79980363,10,38,43,37,128,1
59,14988848,10,28,50,40,128,1
60,,10,40,42,35,127,0
61,53985598,10,39,40,38,127,0
62,51983676,10,41,39,36,126,0
63,11983504,10,35,39,42,126,0
64,93977192,10,34,44,38,126,0
65,92989863,10,34,38,44,126,0
66,6974129,10,29,39,48,126,0
67,54976176,10,42,42,31,125,0
68,8976942,10,42,36,37,125,0
69,72997894,10,41,43,31,125,0
70,41985254,10,38,43,34,125,0
71,5974817,10,37,46,32,125,0
72,25978816,10,33,35,47,125,0
73,12978645,10,29,42,44,125,0
74,60978895,9.4,40,37,38,124.4,0
75,40988769,10,40,36,38,124,0
76,44982223,10,38,36,40,124,0
77,45994269,10,36,44,34,124,0
