TODROP,RANK,ID,GRADES,MATH,CZECH,AJ,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,1,14990207.0,10.0,50,47,47,154.0,1,2020,1281
1,2,49979504.0,10.0,46,47,46,149.0,1,2020,1281
2,3,5994519.0,10.0,44,50,45,149.0,1,2020,1281
3,4,18989363.0,10.0,42,45,50,147.0,1,2020,1281
4,5,97986457.0,10.0,47,45,42,144.0,1,2020,1281
5,6,50000457.0,10.0,46,48,40,144.0,1,2020,1281
6,7,20993926.0,10.0,45,46,43,144.0,1,2020,1281
7,8,18999347.0,10.0,44,48,42,144.0,1,2020,1281
8,9,53986629.0,10.0,43,47,44,144.0,1,2020,1281
9,10,56990301.0,10.0,46,42,44,142.0,1,2020,1281
10,11,77987488.0,10.0,46,44,41,141.0,1,2020,1281
11,12,30998910.0,10.0,43,45,43,141.0,1,2020,1281
12,13,81999254.0,10.0,43,46,42,141.0,1,2020,1281
13,14,83982301.0,10.0,37,46,47,140.0,1,2020,1281
14,15,30992082.0,10.0,47,40,42,139.0,1,2020,1281
15,16,64988598.0,10.0,40,42,47,139.0,1,2020,1281
16,17,47994691.0,10.0,44,38,46,138.0,1,2020,1281
17,18,2975067.0,10.0,38,45,45,138.0,1,2020,1281
18,19,79978379.0,10.0,50,41,36,137.0,1,2020,1281
19,20,11986801.0,10.0,45,44,38,137.0,1,2020,1281
20,21,67991504.0,10.0,44,44,39,137.0,1,2020,1281
21,22,17997300.0,10.0,42,48,37,137.0,1,2020,1281
22,23,78978473.0,10.0,41,45,41,137.0,1,2020,1281
23,24,22996238.0,10.0,41,46,40,137.0,1,2020,1281
24,25,10983598.0,10.0,45,40,41,136.0,1,2020,1281
25,26,92976676.0,10.0,42,40,44,136.0,1,2020,1281
26,27,9992660.0,10.0,40,42,44,136.0,1,2020,1281
27,28,28979754.0,10.0,38,41,47,136.0,1,2020,1281
28,29,22979926.0,10.0,37,45,44,136.0,1,2020,1281
29,30,69978051.0,9.33,44,42,40,135.33,1,2020,1281
30,31,46976598.0,10.0,44,44,37,135.0,1,2020,1281
31,32,70986973.0,10.0,37,45,43,135.0,1,2020,1281
32,33,40992816.0,10.0,45,38,41,134.0,1,2020,1281
33,34,21985519.0,10.0,44,46,34,134.0,1,2020,1281
34,35,93993426.0,10.0,43,37,44,134.0,1,2020,1281
35,36,85998300.0,10.0,43,38,43,134.0,1,2020,1281
36,37,80979238.0,10.0,40,46,38,134.0,1,2020,1281
37,38,61986894.0,10.0,40,41,43,134.0,1,2020,1281
38,39,16974379.0,10.0,38,45,40,133.0,1,2020,1281
39,40,52985082.0,10.0,37,41,45,133.0,1,2020,1281
40,41,6981535.0,8.67,47,41,36,132.67,1,2020,1281
41,42,59991332.0,10.0,43,44,35,132.0,1,2020,1281
42,43,8989613.0,10.0,39,38,45,132.0,1,2020,1281
43,44,91976098.0,9.4,43,33,46,131.4,1,2020,1281
44,45,76987066.0,10.0,42,39,40,131.0,1,2020,1281
45,46,16980863.0,10.0,38,44,39,131.0,1,2020,1281
46,47,49998238.0,10.0,42,42,36,130.0,1,2020,1281
47,48,3990988.0,10.0,41,38,41,130.0,1,2020,1281
48,49,38979582.0,10.0,37,40,43,130.0,1,2020,1281
49,50,10984457.0,10.0,42,36,41,129.0,1,2020,1281
50,51,57976770.0,10.0,40,43,36,129.0,1,2020,1281
51,52,54978145.0,10.0,39,43,37,129.0,1,2020,1281
52,53,86986379.0,10.0,39,43,37,129.0,1,2020,1281
53,54,66982645.0,10.0,38,42,39,129.0,1,2020,1281
54,55,16985004.0,10.0,37,38,44,129.0,1,2020,1281
55,56,21994863.0,10.0,37,41,41,129.0,1,2020,1281
56,57,7996457.0,9.33,42,44,33,128.33,1,2020,1281
57,58,79980363.0,10.0,38,43,37,128.0,1,2020,1281
58,59,14988848.0,10.0,28,50,40,128.0,1,2020,1281
59,60,,10.0,40,42,35,127.0,0,2020,1281
60,61,53985598.0,10.0,39,40,38,127.0,0,2020,1281
61,62,51983676.0,10.0,41,39,36,126.0,0,2020,1281
62,63,11983504.0,10.0,35,39,42,126.0,0,2020,1281
63,64,93977192.0,10.0,34,44,38,126.0,0,2020,1281
64,65,92989863.0,10.0,34,38,44,126.0,0,2020,1281
65,66,6974129.0,10.0,29,39,48,126.0,0,2020,1281
66,67,54976176.0,10.0,42,42,31,125.0,0,2020,1281
67,68,8976942.0,10.0,42,36,37,125.0,0,2020,1281
68,69,72997894.0,10.0,41,43,31,125.0,0,2020,1281
69,70,41985254.0,10.0,38,43,34,125.0,0,2020,1281
70,71,5974817.0,10.0,37,46,32,125.0,0,2020,1281
