RANK,ID,GRADES,MATH,CZECH,AJ,,SUM,ADMITTED_ID
1,65571608,10,48,49,48,145,155,přijat
2,46566137,10,46,46,49,141,151,přijat
3,87575833,10,46,43,49,138,148,přijat
4,57565366,10,46,43,47,136,146,přijat
5,48570411,10,49,41,45,135,145,přijat
6,14570159,10,46,43,46,135,145,přijat
7,83576241,10,44,45,46,135,145,přijat
8,50578530,10,40,45,47,132,142,přijat
9,99568975,10,39,42,48,129,139,přijat
10,25572775,10,39,45,44,128,138,přijat
11,47573252,10,39,45,44,128,138,přijat
12,40582672,10,38,46,44,128,138,přijat
13,49578583,10,40,40,46,126,136,přijat
14,67580299,10,35,48,43,126,136,přijat
15,76567175,7.8,41,40,47,128,135.8,přijat
16,5564676,10,37,42,46,125,135,přijat
17,14582619,10,35,42,48,125,135,přijat
18,27565779,8.53,35,45,46,126,134.53,přijat
19,43571067,10,40,39,45,124,134,přijat
20,78576564,10,37,43,44,124,134,přijat
21,61579201,10,40,41,42,123,133,přijat
22,87573669,9.13,43,44,36,123,132.13,přijat
23,74582977,10,35,39,48,122,132,přijat
24,87580369,10,32,44,46,122,132,přijat
25,10568229,9.33,36,40,46,122,131.33,přijat
26,95576189,9.4,38,40,43,121,130.4,přijat
27,18583227,10,37,40,43,120,130,přijat
28,70574723,10,36,39,45,120,130,přijat
29,71565725,10,34,41,45,120,130,přijat
30,26566559,10,31,40,49,120,130,přijat
31,61573867,10,30,45,45,120,130,přijat
32,27571307,10,39,36,44,119,129,přijat
33,58581171,10,36,40,43,119,129,přijat
34,5570105,10,34,42,43,119,129,přijat
Obor: 79-41-K/81,,,,,,zpracováno: 2. 5. 2018,,
,,,,,,,,
,,,B o d o v é h o d n o c e n í,,,,,
,,Body,Test Celkem,,,,Celkem,
Registrační číslo uchazeče:,,za ZŠ,M ČJ AJ,,,,,
35,72580744,10,33,39,47,119,129,přijat
36,75571736,10,27,46,46,119,129,přijat
37,43569201,10,43,33,42,118,128,přijat
38,62577672,10,34,41,43,118,128,přijat
39,95572343,10,32,39,47,118,128,přijat
40,18569616,10,30,40,48,118,128,přijat
41,86572541,10,25,47,46,118,128,přijat
42,10566923,9.33,36,39,43,118,127.33,přijat
43,3567425,10,38,40,39,117,127,přijat
44,4577191,10,36,35,46,117,127,přijat
45,69567850,10,35,37,45,117,127,přijat
46,3577602,10,29,48,40,117,127,přijat
47,66571980,10,27,45,45,117,127,přijat
48,18569669,9.27,36,38,43,117,126.27,přijat
49,91581547,10,32,34,50,116,126,přijat
50,89568922,10,31,41,44,116,126,přijat
51,1569373,10,29,42,45,116,126,přijat
52,16576812,10,41,36,38,115,125,přijat
53,94569552,10,33,38,44,115,125,přijat
54,59583153,10,30,43,42,115,125,přijat
55,11567229,9.13,36,34,45,115,124.13,přijat
56,49581993,10,38,36,40,114,124,přijat
57,29579514,10,36,37,41,114,124,přijat
58,42583099,10,30,39,45,114,124,přijat
59,5578336,10,29,41,44,114,124,přijat
60,53576740,10,42,29,42,113,123,přijat
61,96579690,10,41,32,40,113,123,přijat
62,7576687,10,27,42,44,113,123,přijat
"Nepřijatí žáci
63. 85578830",,10,36,37,39,112,122,nepřijat
64,98566372,10,34,35,43,112,122,nepřijat
65,30568794,10,28,41,43,112,122,nepřijat
66,575388,10,26,45,41,112,122,nepřijat
67,57577246,10,25,40,47,112,122,nepřijat
68,1574277,9.33,34,34,44,112,121.33,nepřijat
69,31571485,10,34,35,42,111,121,nepřijat
70,52582861,10,38,35,37,110,120,nepřijat
71,82576990,10,33,34,43,110,120,nepřijat
72,74566730,10,28,39,43,110,120,nepřijat
73,20580495,10,27,41,42,110,120,nepřijat
Obor: 79-41-K/81,,,,,,zpracováno: 2. 5. 2018,,
,,,,,,,,
,,,B o d o v é h o d n o c e n í,,,,,
,,Body,Test Celkem,,,,Celkem,
Registrační číslo uchazeče:,,za ZŠ,M ČJ AJ,,,,,
74,28568175,10,34,32,43,109,119,nepřijat
75,46577474,10,33,34,42,109,119,nepřijat
76,77574473,10,32,38,39,109,119,nepřijat
77,2569092,10,25,37,47,109,119,nepřijat
78,56571003,10,25,40,44,109,119,nepřijat
79,22569149,10,24,40,45,109,119,nepřijat
80,79565655,10,34,33,41,108,118,nepřijat
81,91579567,10,33,35,40,108,118,nepřijat
82,50581797,10,30,37,41,108,118,nepřijat
83,76566800,10,29,30,49,108,118,nepřijat
84,3580548,10,27,35,45,107,117,nepřijat
85,8574037,8.67,38,33,37,108,116.67,nepřijat
86,23582246,10,25,32,49,106,116,nepřijat
87,46580422,8.67,37,41,29,107,115.67,nepřijat
88,7573005,10,27,36,42,105,115,nepřijat
89,92570475,8.53,37,30,39,106,114.53,nepřijat
90,71582745,10,32,34,38,104,114,nepřijat
91,24580674,10,25,36,43,104,114,nepřijat
92,90578102,10,26,39,38,103,113,nepřijat
93,39565483,10,25,44,34,103,113,nepřijat
94,6575334,8.67,33,27,44,104,112.67,nepřijat
95,63572413,9.33,28,33,42,103,112.33,nepřijat
96,43579031,10,33,29,40,102,112,nepřijat
97,70579440,10,29,28,45,102,112,nepřijat
98,99577796,10,26,32,44,102,112,nepřijat
99,31566495,8.53,29,36,38,103,111.53,nepřijat
100,85566442,10,34,30,37,101,111,nepřijat
101,73581870,10,22,36,43,101,111,nepřijat
102,30578406,8.67,36,29,37,102,110.67,nepřijat
103,34583353,10,33,23,44,100,110,nepřijat
104,39569425,10,32,28,40,100,110,nepřijat
105,45580995,10,27,35,38,100,110,nepřijat
106,6571121,10,24,32,44,100,110,nepřijat
107,83575092,10,18,38,44,100,110,nepřijat
108,53580175,10,16,40,44,100,110,nepřijat
109,13580245,9.4,33,26,41,100,109.4,nepřijat
110,56580798,10,26,35,38,99,109,nepřijat
111,50570283,10,25,36,38,99,109,nepřijat
112,17574526,10,16,40,43,99,109,nepřijat
113,69578460,10,27,32,39,98,108,nepřijat
Obor: 79-41-K/81,,,,,,zpracováno: 2. 5. 2018,,
,,,,,,,,
,,,B o d o v é h o d n o c e n í,,,,,
,,Body,Test Celkem,,,,Celkem,
Registrační číslo uchazeče:,,za ZŠ,M ČJ AJ,,,,,
114,63573305,10,26,35,37,98,108,nepřijat
115,19574101,10,21,37,40,98,108,nepřijat
116,67572711,8.67,33,33,33,99,107.67,nepřijat
117,24576617,10,36,37,24,97,107,nepřijat
118,54577117,10,22,37,38,97,107,nepřijat
119,3580868,10,31,34,31,96,106,nepřijat
120,86572216,10,27,39,30,96,106,nepřijat
121,16573187,10,27,30,39,96,106,nepřijat
122,35574224,10,27,28,41,96,106,nepřijat
123,57574653,10,21,29,46,96,106,nepřijat
124,12573422,10,22,29,44,95,105,nepřijat
125,37579387,9.33,34,32,29,95,104.33,nepřijat
126,35568724,9.33,21,30,44,95,104.33,nepřijat
127,53573492,10,31,28,35,94,104,nepřijat
128,95568101,10,28,29,37,94,104,nepřijat
129,55569310,10,24,28,42,94,104,nepřijat
130,9575146,8.67,25,38,32,95,103.67,nepřijat
131,8582798,8.53,29,27,39,95,103.53,nepřijat
132,20581674,9.4,22,29,43,94,103.4,nepřijat
133,68578219,7.33,27,27,42,96,103.33,nepřijat
134,30568848,9.33,24,31,39,94,103.33,nepřijat
135,33575950,10,27,32,34,93,103,nepřijat
136,52579764,10,25,32,36,93,103,nepřijat
137,94567299,10,14,31,48,93,103,nepřijat
138,88580058,10,12,35,46,93,103,nepřijat
139,59577726,8.33,33,35,26,94,102.33,nepřijat
140,73575582,9.33,11,38,44,93,102.33,nepřijat
141,93569258,10,20,29,43,92,102,nepřijat
142,28582496,10,17,28,47,92,102,nepřijat
143,51573369,8.67,31,25,37,93,101.67,nepřijat
144,29568422,8.53,30,30,33,93,101.53,nepřijat
145,20573059,8.2,31,27,35,93,101.2,nepřijat
146,25573133,10,33,23,35,91,101,nepřijat
147,1572093,8,29,33,31,93,101,nepřijat
148,33567920,10,19,31,41,91,101,nepřijat
149,9572467,10,19,37,35,91,101,nepřijat
150,77570880,10,17,34,40,91,101,nepřijat
151,80574600,10,15,29,47,91,101,nepřijat
152,22572594,9.13,19,39,33,91,100.13,nepřijat
153,88574903,10,32,33,25,90,100,nepřijat
Obor: 79-41-K/81,,,,,,zpracováno: 2. 5. 2018,,
,,,,,,,,
,,,B o d o v é h o d n o c e n í,,,,,
,,Body,Test Celkem,,,,Celkem,
Registrační číslo uchazeče:,,za ZŠ,M ČJ AJ,,,,,
154,49571181,10,26,27,37,90,100,nepřijat
155,4577850,10,33,25,31,89,99,nepřijat
156,42573920,10,25,26,38,89,99,nepřijat
157,13568546,10,24,32,33,89,99,nepřijat
158,44570762,8,18,35,38,91,99,nepřijat
159,67565115,10,15,31,43,89,99,nepřijat
160,84573743,8.67,28,23,39,90,98.67,nepřijat
161,36575030,10,23,25,40,88,98,nepřijat
162,92569982,9.33,22,23,43,88,97.33,nepřijat
163,38580621,9.07,22,27,39,88,97.07,nepřijat
164,28579888,10,27,27,33,87,97,nepřijat
165,40565295,10,26,31,30,87,97,nepřijat
166,75574400,10,25,29,33,87,97,nepřijat
167,72572829,10,17,31,39,87,97,nepřijat
168,21581368,10,13,34,40,87,97,nepřijat
169,21564790,9.33,29,28,30,87,96.33,nepřijat
170,80565967,10,31,31,24,86,96,nepřijat
171,81581245,10,22,34,30,86,96,nepřijat
172,96564864,8,20,23,45,88,96,nepřijat
173,68575512,10,20,32,34,86,96,nepřijat
174,70581744,9.33,20,30,36,86,95.33,nepřijat
175,48573545,9.27,22,25,39,86,95.27,nepřijat
176,83572945,10,21,32,32,85,95,nepřijat
177,9575763,10,19,29,37,85,95,nepřijat
178,41569858,10,17,27,41,85,95,nepřijat
179,77579941,10,17,30,38,85,95,nepřijat
180,65582300,8,16,24,47,87,95,nepřijat
181,89565601,8.67,16,24,46,86,94.67,nepřijat
182,60579264,10,35,25,24,84,94,nepřijat
183,68572289,10,21,31,32,84,94,nepřijat
184,7569499,10,19,27,38,84,94,nepřijat
185,60575458,10,14,28,42,84,94,nepřijat
186,93567352,10,10,27,47,84,94,nepřijat
187,19570826,8.67,24,23,38,85,93.67,nepřijat
188,2578777,8.53,23,25,37,85,93.53,nepřijat
189,52567603,9.33,16,22,46,84,93.33,nepřijat
190,11578957,10,16,34,33,83,93,nepřijat
191,47569732,7.33,26,22,37,85,92.33,nepřijat
192,17581048,9.33,22,30,31,83,92.33,nepřijat
193,93576864,8.2,17,21,46,84,92.2,nepřijat
Obor: 79-41-K/81,,,,,,zpracováno: 2. 5. 2018,,
,,,,,,,,
,,,B o d o v é h o d n o c e n í,,,,,
,,Body,Test Celkem,,,Celkem,,
Registrační číslo uchazeče:,,za ZŠ,M ČJ AJ,,,,,
194,99570035,10,26,26,29,81,91,nepřijat
195,29582046,9.33,17,29,35,81,90.33,nepřijat
196,38571361,9.33,18,25,37,80,89.33,nepřijat
197,82571431,10,14,32,33,79,89,nepřijat
198,13571682,10,14,21,44,79,89,nepřijat
199,64576438,8.67,31,22,27,80,88.67,nepřijat
200,10572658,8.33,23,38,19,80,88.33,nepřijat
201,6582370,9.33,23,23,33,79,88.33,nepřijat
202,64583280,10,22,28,28,78,88,nepřijat
203,79565897,8,13,25,42,80,88,nepřijat
204,55576119,10,17,27,33,77,87,nepřijat
205,75578048,8.67,12,23,43,78,86.67,nepřijat
206,97580005,8.53,19,24,35,78,86.53,nepřijat
207,92575709,9.33,24,21,32,77,86.33,nepřijat
208,24565241,9.33,21,32,24,77,86.33,nepřijat
209,16581620,9.27,23,21,33,77,86.27,nepřijat
210,47574347,10,23,26,27,76,86,nepřijat
