"Seznam přijatých a nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno: 2. května 2017",,,,,,,
,,B o d o v é h o d n o c e n í,,,,,
Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Pořadí,Rozhodnutí
,za ZŠ,MAT ČJ AJ,,,,,
8001,11,37,38,15,101,125.,Nepřijat
8002,14,40,40,18,112,64.,Nepřijat
8003,15,36,33,17,101,127.,Nepřijat
8004,15,25,25,16,81,235.,Nepřijat
8005,15,30,36,9,90,186.,Nepřijat
8006,13,36,30,24,103,115.,Nepřijat
8007,26,44,37,21,128,6.,Přijat
8008,15,36,40,22,113,61.,Nepřijat
8009,15,40,35,24,114,56.,Přijat
8010,15,46,43,18,122,19.,Přijat
8011,15,28,39,15,97,143.,Nepřijat
8012,15,34,36,23,108,88.,Nepřijat
8013,15,39,40,21,115,48.,Přijat
8014,12,36,42,24,114,55.,Přijat
8015,10,31,33,19,93,169.,Nepřijat
8016,15,40,42,17,114,52.–53.,Přijat
8017,15,42,34,18,109,82.,Nepřijat
8018,5,28,35,19,87,197.,Nepřijat
8019,15,31,40,18,104,109.,Nepřijat
8020,14,25,27,17,83,224.,Nepřijat
8021,15,33,36,15,99,136.,Nepřijat
8022,4,27,19,15,65,284.,Nepřijat
8024,15,33,33,13,94,162.,Nepřijat
8025,12,13,27,18,70,270.,Nepřijat
8026,4,14,21,11,50,317.,Nepřijat
8027,15,31,45,24,115,49.,Přijat
8028,15,19,25,17,76,250.,Nepřijat
8029,13,28,30,18,89,193.,Nepřijat
8030,15,41,33,17,106,97.,Nepřijat
8031,15,34,32,23,104,110.,Nepřijat
8032,9,35,29,25,98,140.,Nepřijat
8033,15,38,43,17,113,58.,Přijat
8034,8,21,25,15,69,273.,Nepřijat
8035,15,35,35,20,105,102.,Nepřijat
8036,15,36,44,17,112,65.,Nepřijat
8037,12,35,35,20,102,121.,Nepřijat
8038,15,34,27,21,97,147.,Nepřijat
8039,15,41,33,24,113,62.,Nepřijat
8040,12,34,41,14,101,126.,Nepřijat
8041,15,29,33,18,95,157.,Nepřijat
8042,9,28,27,12,76,248.,Nepřijat
8043,15,36,43,24,118,36.,Přijat
8044,15,39,38,17,109,81.,Nepřijat
8045,15,40,41,23,119,31.,Přijat
8046,10,29,23,14,76,249.,Nepřijat
8047,15,38,42,20,115,47.,Přijat
8048,15,39,41,18,113,59.,Přijat
8049,15,29,29,19,92,178.,Nepřijat
8050,15,39,38,19,111,71.,Nepřijat

"Seznam přijatých a nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno: 2. května 2017",,,,,,,
,,B o d o v é h o d n o c e n í,,,,,
Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Pořadí,Rozhodnutí
,za ZŠ,MAT ČJ AJ,,,,,
8051,12,35,33,19,99,137.,Nepřijat
8052,15,34,27,15,91,181.,Nepřijat
8053,3,21,20,17,61,296.,Nepřijat
8054,15,29,24,19,87,201.,Nepřijat
8055,15,36,39,21,111,72.,Nepřijat
8056,7,18,14,10,49,320.,Nepřijat
8057,15,37,47,23,122,24.,Přijat
8058,9,21,16,11,57,303.,Nepřijat
8059,13,21,31,22,87,203.,Nepřijat
8060,15,30,29,17,91,183.,Nepřijat
8061,15,46,42,22,125,12.,Přijat
8062,15,36,37,7,95,151.,Nepřijat
8063,14,44,38,22,118,35.,Přijat
8064,15,31,32,25,103,117.–118.,Nepřijat
8065,8,19,24,21,72,263.,Nepřijat
8066,15,42,40,17,114,51.,Přijat
8067,10,37,35,20,102,119.,Nepřijat
8068,10,28,28,16,82,229.,Nepřijat
8069,15,41,31,16,103,112.,Nepřijat
8070,16,48,44,23,131,1.,Přijat
8071,7,29,28,15,79,238.,Nepřijat
8072,15,26,27,12,80,236.,Nepřijat
8073,15,41,35,22,113,60.,Nepřijat
8074,15,40,34,16,105,101.,Nepřijat
8075,15,46,35,14,110,74.,Nepřijat
8076,15,34,27,17,93,170.,Nepřijat
8077,15,44,41,17,117,38.,Přijat
8078,15,31,32,25,103,117.–118.,Nepřijat
8079,15,32,29,14,90,188.,Nepřijat
8080,15,34,43,24,116,44.,Přijat
8081,15,46,33,13,107,89.,Nepřijat
8082,15,44,34,19,112,67.,Nepřijat
8083,14,30,17,12,73,258.,Nepřijat
8084,15,32,27,14,88,194.,Nepřijat
8085,15,42,39,12,108,84.,Nepřijat
8086,8,25,26,18,77,243.,Nepřijat
8087,10,32,18,9,69,272.,Nepřijat
8088,15,42,43,22,122,23.,Přijat
8089,14,38,35,17,104,106.,Nepřijat
8090,15,45,40,23,123,18.,Přijat
8091,15,20,36,10,81,234.,Nepřijat
8092,15,42,33,17,107,90.,Nepřijat
8093,15,12,30,18,75,254.,Nepřijat
8094,15,35,43,18,111,70.,Nepřijat
8095,15,30,36,20,101,128.,Nepřijat
8096,9,13,24,23,69,275.,Nepřijat
8097,14,40,37,15,106,95.,Nepřijat
8098,14,33,26,11,84,215.,Nepřijat
8099,8,28,26,21,83,223.,Nepřijat

"Seznam přijatých a nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno: 2. května 2017",,,,,,,
,,B o d o v é h o d n o c e n í,,,,,
Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Pořadí,Rozhodnutí
,za ZŠ,MAT ČJ AJ,,,,,
8100,10,26,34,13,83,221.,Nepřijat
8101,13,29,23,13,78,242.,Nepřijat
8102,17,48,38,16,119,28.,Přijat
8103,15,33,32,23,103,116.,Nepřijat
8104,15,32,44,14,105,99.,Nepřijat
8105,11,12,10,20,53,312.,Nepřijat
8106,12,36,37,19,104,107.,Nepřijat
8107,15,39,37,17,108,86.,Nepřijat
8108,15,37,36,15,103,111.,Nepřijat
8109,15,35,44,25,119,33.,Přijat
8110,11,38,22,13,84,214.,Nepřijat
8111,15,29,34,17,95,156.,Nepřijat
8112,15,36,26,13,90,187.,Nepřijat
8113,15,35,23,14,87,199.,Nepřijat
8114,15,35,36,13,99,134.,Nepřijat
8115,15,28,39,20,102,122.,Nepřijat
8116,0,10,12,6,28,334.,Nepřijat
8118,15,38,46,20,119,29.,Přijat
8119,2,16,23,11,52,313.,Nepřijat
8120,14,15,25,10,64,290.,Nepřijat
8121,6,16,18,9,49,319.,Nepřijat
8122,13,34,39,23,109,83.,Nepřijat
