,"Seznam přijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,Rozhodnutí,
,,za ZŠ,MAT ČJ VŠP,,,,
1.,8017,15,47,49,24,135,Přijat
2.,8148,15,47,47,25,134,Přijat
3.,8092,15,48,48,22,133,Přijat
4.,8168,15,48,46,23,132,Přijat
5.,8182,15,45,48,23,131,Přijat
6.,8306,15,47,49,19,130,Přijat
7.,8405,15,45,48,22,130,Přijat
8.,8140,15,43,50,21,129,Přijat
9.,8141,15,43,46,25,129,Přijat
10.,8361,15,50,42,21,128,Přijat
11.,8082,15,50,47,15,127,Přijat
12.,8270,14,47,46,20,127,Přijat
13.,8163,15,46,46,20,127,Přijat
14.,8142,15,48,44,19,126,Přijat
15.,8339,15,45,44,22,126,Přijat
16.,8070,15,46,42,23,126,Přijat
17.,8258,16,41,45,24,126,Přijat
18.,8351,15,46,42,22,125,Přijat
19.,8330,15,40,47,23,125,Přijat
20.,8271,14,50,42,18,124,Přijat
21.,8383,15,47,44,18,124,Přijat
22.,8127,15,50,40,19,124,Přijat
23.,8189,15,43,47,19,124,Přijat
24.,8035,15,42,47,20,124,Přijat
25.,8362,15,43,44,22,124,Přijat
26.,8260,16,43,42,23,124,Přijat
27.,8237,15,44,45,19,123,Přijat
28.,8334,15,48,39,21,123,Přijat
29.,8059,15,43,46,18,122,Přijat
30.,8170,15,46,42,19,122,Přijat
31.,8139,15,38,48,21,122,Přijat
32.,8305,15,43,40,24,122,Přijat
33.,8083,15,44,43,19,121,Přijat
34.,8267,15,41,46,19,121,Přijat
35.,8115,15,42,43,21,121,Přijat
36.,8177,15,41,44,21,121,Přijat
37.,8125,15,48,38,19,120,Přijat
38.,8256,15,45,40,20,120,Přijat
39.,8079,16,40,44,20,120,Přijat
40.,8134,16,39,44,21,120,Přijat
41.,8239,15,45,37,23,120,Přijat
42.,8008,15,42,40,23,120,Přijat
43.,8047,15,39,43,23,120,Přijat
44.,8338,15,38,46,20,119,Přijat
45.,8252,15,42,41,21,119,Přijat
46.,8175,15,42,40,22,119,Přijat
47.,8197,15,43,38,23,119,Přijat

,"Seznam přijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,Rozhodnutí,
,,za ZŠ,MAT ČJ VŠP,,,,
48.,8135,15,36,45,23,119,Přijat
49.,8119,14,43,45,16,118,Přijat
50.,8124,15,42,45,16,118,Přijat
51.,8352,14,44,42,18,118,Přijat
52.–53.,8031,15,42,43,18,118,Přijat
52.–53.,8424,15,42,43,18,118,Přijat
54.,8174,14,39,45,20,118,Přijat
55.,8064,15,37,47,19,118,Přijat
56.,8002,15,40,42,21,118,Přijat
57.,8058,15,40,41,22,118,Přijat
58.,8285,14,40,40,24,118,Přijat
59.,8063,15,49,37,16,117,Přijat
60.,8178,15,40,43,19,117,Přijat
61.,8188,15,48,34,20,117,Přijat
62.,8005,15,44,38,20,117,Přijat
63.–64.,8186,15,40,42,20,117,Přijat
63.–64.,8269,15,40,42,20,117,Přijat
65.,8098,15,42,39,21,117,Přijat
66.–67.,8009,15,39,42,21,117,Přijat
66.–67.,8226,15,39,42,21,117,Přijat
68.,8213,15,42,42,17,116,Přijat
69.,8053,15,43,38,20,116,Přijat
70.,8259,15,42,38,21,116,Přijat
71.,8022,12,41,45,17,115,Přijat
72.,8113,15,36,48,16,115,Přijat
73.,8215,14,44,39,18,115,Přijat
74.,8185,11,42,41,21,115,Přijat
