TODROP,RANK,ID,CZECH,MATH,GRADES,SUM,YEAR,SCHOOLCOURSE_ID
0,1,9041,387,450,100,937,2018,1481
1,2,8230,396,441,100,937,2018,1481
2,3,9063,414,423,100,937,2018,1481
3,4,8025,414,414,100,928,2018,1481
4,5,8265,450,378,100,928,2018,1481
5,6,8154,378,441,100,919,2018,1481
6,7,8100,441,369,100,910,2018,1481
7,8,9112,396,405,100,901,2018,1481
8,9,8214,414,387,100,901,2018,1481
9,10,9090,432,360,100,892,2018,1481
10,11,8204,387,396,100,883,2018,1481
11,12,8218,396,387,100,883,2018,1481
12,13,9181,423,360,100,883,2018,1481
13,14,8016,387,387,100,874,2018,1481
14,15,8067,405,369,100,874,2018,1481
15,16,9191,423,342,100,865,2018,1481
16,17,9159,405,369,89,863,2018,1481
17,18,9161,342,414,100,856,2018,1481
18,19,9170,378,378,100,856,2018,1481
19,20,8239,396,360,100,856,2018,1481
20,21,8241,423,333,100,856,2018,1481
21,22,8259,378,369,100,847,2018,1481
22,23,8189,387,360,100,847,2018,1481
23,24,9079,405,342,100,847,2018,1481
24,25,9122,441,306,100,847,2018,1481
25,26,9018,387,369,82,838,2018,1481
26,27,8262,351,387,100,838,2018,1481
27,28,8188,360,378,100,838,2018,1481
28,28,8257,360,378,100,838,2018,1481
29,30,8200,378,360,100,838,2018,1481
30,31,8082,369,369,91,829,2018,1481
31,32,9115,369,360,100,829,2018,1481
32,32,8030,369,360,100,829,2018,1481
33,34,9118,387,342,100,829,2018,1481
34,35,8167,405,324,100,829,2018,1481
35,36,8162,342,378,100,820,2018,1481
36,37,9136,405,315,100,820,2018,1481
37,38,8172,333,378,100,811,2018,1481
38,38,8004,333,378,100,811,2018,1481
39,40,9098,369,342,100,811,2018,1481
40,41,9103,387,324,100,811,2018,1481
41,42,9089,396,315,100,811,2018,1481
42,42,8111,396,315,100,811,2018,1481
43,44,8125,324,378,100,802,2018,1481
44,45,9105,333,369,100,802,2018,1481
45,46,9167,351,351,100,802,2018,1481
46,47,8053,378,324,100,802,2018,1481
47,48,8011,387,315,100,802,2018,1481
48,49,8273,306,387,100,793,2018,1481
49,50,9084,369,324,100,793,2018,1481
50,51,8078,387,306,100,793,2018,1481
51,52,8212,351,351,90,792,2018,1481
52,53,8009,342,360,89,791,2018,1481
53,54,8084,342,342,100,784,2018,1481
54,55,9162,351,333,100,784,2018,1481
55,56,9045,360,324,100,784,2018,1481
56,57,8221,369,315,100,784,2018,1481
57,57,8220,369,315,100,784,2018,1481
58,59,8156,378,306,100,784,2018,1481
59,60,8174,387,297,100,784,2018,1481
60,61,9196,396,288,91,775,2018,1481
61,62,8211,315,360,100,775,2018,1481
62,63,8271,333,342,100,775,2018,1481
63,64,8151,351,324,100,775,2018,1481
64,65,9154,369,306,100,775,2018,1481
65,66,8001,378,297,100,775,2018,1481
66,67,9180,315,351,100,766,2018,1481
67,68,9057,324,342,100,766,2018,1481
68,69,8268,360,306,100,766,2018,1481
69,70,8092,378,288,100,766,2018,1481
70,71,8216,387,279,100,766,2018,1481
71,71,9132,387,279,100,766,2018,1481
72,73,8087,423,243,100,766,2018,1481
73,74,9064,315,342,100,757,2018,1481
74,75,9002,342,315,100,757,2018,1481
75,75,9138,342,315,100,757,2018,1481
76,77,8026,360,297,100,757,2018,1481
77,78,8134,369,288,91,748,2018,1481
78,79,8224,288,360,100,748,2018,1481
79,80,9071,360,288,100,748,2018,1481
80,80,9163,360,288,100,748,2018,1481
81,82,8217,378,270,100,748,2018,1481
82,82,8123,378,270,100,748,2018,1481
83,84,8164,396,252,100,748,2018,1481
84,85,9014,342,306,91,739,2018,1481
85,86,9178,297,342,100,739,2018,1481
86,87,8144,324,315,100,739,2018,1481
87,88,9175,369,270,100,739,2018,1481
88,89,9151,288,351,91,730,2018,1481
89,90,8269,279,351,100,730,2018,1481
90,91,8069,360,270,100,730,2018,1481
91,92,8052,351,270,100,721,2018,1481
92,93,9088,360,261,100,721,2018,1481
93,94,8129,387,234,100,721,2018,1481
94,95,9101,423,198,100,721,2018,1481
95,96,8152,270,360,82,712,2018,1481
96,97,9029,288,324,100,712,2018,1481
97,98,8035,297,315,100,712,2018,1481
98,99,9055,333,279,100,712,2018,1481
99,100,8097,351,261,100,712,2018,1481
100,101,8258,315,297,91,703,2018,1481
101,102,8019,297,306,100,703,2018,1481
102,102,9011,297,306,100,703,2018,1481
103,102,9021,297,306,100,703,2018,1481
104,105,8143,306,297,100,703,2018,1481
105,105,9153,306,297,100,703,2018,1481
106,105,9182,306,297,100,703,2018,1481
107,105,8068,306,297,100,703,2018,1481
108,109,9093,315,288,100,703,2018,1481
109,109,8197,315,288,100,703,2018,1481
110,109,8177,315,288,100,703,2018,1481
111,112,8140,324,279,100,703,2018,1481
112,113,9176,369,234,100,703,2018,1481
113,114,8116,387,216,100,703,2018,1481
114,114,8192,387,216,100,703,2018,1481
115,116,9019,315,315,72,702,2018,1481
116,117,8165,306,306,90,702,2018,1481
117,117,8245,306,306,90,702,2018,1481
118,119,8131,342,270,90,702,2018,1481
119,120,8040,288,342,70,700,2018,1481
120,121,8190,351,261,87,699,2018,1481
121,122,8050,360,243,91,694,2018,1481
122,123,9109,243,351,100,694,2018,1481
123,124,9113,306,288,100,694,2018,1481
124,125,9147,315,279,100,694,2018,1481
125,126,8099,324,270,100,694,2018,1481
126,126,9092,324,270,100,694,2018,1481
