RANK,reg. číslo,čeština,matemat.,ZŠ,Celkem
1.,9041,387,450,100,937
2.,8230,396,441,100,937
3.,9063,414,423,100,937
4.,8025,414,414,100,928
5.,8265,450,378,100,928
6.,8154,378,441,100,919
7.,8100,441,369,100,910
8.,9112,396,405,100,901
9.,8214,414,387,100,901
10.,9090,432,360,100,892
11.,8204,387,396,100,883
12.,8218,396,387,100,883
13.,9181,423,360,100,883
14.,8016,387,387,100,874
15.,8067,405,369,100,874
16.,9191,423,342,100,865
17.,9159,405,369,89,863
18.,9161,342,414,100,856
19.,9170,378,378,100,856
20.,8239,396,360,100,856
21.,8241,423,333,100,856
22.,8259,378,369,100,847
23.,8189,387,360,100,847
24.,9079,405,342,100,847
25.,9122,441,306,100,847
26.,9018,387,369,82,838
27.,8262,351,387,100,838
28.-29.,8188,360,378,100,838
28.-29.,8257,360,378,100,838
30.,8200,378,360,100,838
31.,8082,369,369,91,829
32.-33.,9115,369,360,100,829
32.-33.,8030,369,360,100,829
34.,9118,387,342,100,829
35.,8167,405,324,100,829
36.,8162,342,378,100,820
37.,9136,405,315,100,820
38.-39.,8172,333,378,100,811
38.-39.,8004,333,378,100,811
40.,9098,369,342,100,811
41.,9103,387,324,100,811
42.-43.,9089,396,315,100,811
42.-43.,8111,396,315,100,811
44.,8125,324,378,100,802
45.,9105,333,369,100,802
46.,9167,351,351,100,802
47.,8053,378,324,100,802
48.,8011,387,315,100,802
49.,8273,306,387,100,793
50.,9084,369,324,100,793
51.,8078,387,306,100,793
52.,8212,351,351,90,792
53.,8009,342,360,89,791
54.,8084,342,342,100,784
55.,9162,351,333,100,784
56.,9045,360,324,100,784
57.-58.,8221,369,315,100,784
57.-58.,8220,369,315,100,784
59.,8156,378,306,100,784
60.,8174,387,297,100,784
61.,9196,396,288,91,775
62.,8211,315,360,100,775
63.,8271,333,342,100,775
64.,8151,351,324,100,775
65.,9154,369,306,100,775
66.,8001,378,297,100,775
67.,9180,315,351,100,766
68.,9057,324,342,100,766
69.,8268,360,306,100,766
70.,8092,378,288,100,766
71.-72.,8216,387,279,100,766
71.-72.,9132,387,279,100,766
73.,8087,423,243,100,766
74.,9064,315,342,100,757
75.-76.,9002,342,315,100,757
75.-76.,9138,342,315,100,757
77.,8026,360,297,100,757
78.,8134,369,288,91,748
79.,8224,288,360,100,748
80.-81.,9071,360,288,100,748
80.-81.,9163,360,288,100,748
