
RANK,reg. číslo,čeština,matemat.,ZŠ,Celkem
1.,9064,432,432,100,964
2.,9101,414,432,100,946
3.,8241,405,432,100,937
4.,8175,432,405,100,937
5.,9048,423,396,100,919
6.-7.,8215,378,432,100,910
6.-7.,9112,378,432,100,910
8.,9019,369,432,100,901
9.,9164,378,423,100,901
10.,9034,387,414,100,901
11.,9089,414,387,100,901
12.,9046,369,423,100,892
13.,8217,423,369,100,892
14.-15.,8169,396,387,100,883
14.-15.,9235,396,387,100,883
16.,9024,405,378,100,883
17.,8131,414,369,100,883
18.,8120,441,342,100,883
19.,9072,450,351,77,878
20.-21.,9127,387,387,100,874
20.-21.,8184,387,387,100,874
22.,8084,414,360,100,874
23.,8178,369,396,100,865
24.,8173,378,387,100,865
25.,8103,396,369,100,865
26.,9204,423,369,64,856
27.,9239,423,333,100,856
28.,9020,360,387,100,847
29.,8043,387,360,100,847
30.,9223,333,405,100,838
31.-33.,9246,360,378,100,838
31.-33.,9092,360,378,100,838
31.-33.,9177,360,378,100,838
34.,9011,387,351,100,838
35.-37.,8159,405,333,100,838
35.-37.,8253,405,333,100,838
35.-37.,9062,405,333,100,838
38.,8019,369,360,100,829
39.-40.,9068,387,342,100,829
39.-40.,8151,387,342,100,829
41.-42.,9039,405,324,100,829
41.-42.,8105,405,324,100,829
43.-44.,8251,351,369,100,820
43.-44.,9023,351,369,100,820
45.,8231,369,351,100,820
46.,8196,396,324,100,820
47.,9211,405,315,100,820
48.,9100,306,405,100,811
49.,9121,315,396,100,811
50.,8108,351,360,100,811
51.,8153,405,306,100,811
52.,9120,315,387,100,802
53.,9066,342,360,100,802
54.,8190,360,342,100,802
55.-56.,8107,378,324,100,802
55.-56.,9231,378,324,100,802
57.-58.,8205,396,306,100,802
57.-58.,9197,396,306,100,802
59.,9196,342,351,100,793
60.,9036,351,342,100,793
61.,8053,378,315,100,793
62.,8237,414,279,100,793
63.,9085,360,342,89,791
64.,8064,378,315,91,784
65.,8176,306,378,100,784
66.,9119,324,360,100,784
67.,9110,351,333,100,784
68.,9188,369,315,100,784
69.,9173,378,306,100,784
70.,8104,414,270,100,784
71.,9041,324,351,100,775
72.-74.,8111,333,342,100,775
72.-74.,9207,333,342,100,775
