TODROP,RANK, ID,CZECH,MATH,GRADES,SUM,YEAR,SCHOOLCOURSE_ID
0,1,5182,423,450,100.0,973,2020,1481
1,1,6177,423,450,100.0,973,2020,1481
2,3,6041,441,432,100.0,973,2020,1481
3,4,5193,414,450,100.0,964,2020,1481
4,4,6032,414,450,100.0,964,2020,1481
5,4,5276,414,450,100.0,964,2020,1481
6,7,6121,432,432,100.0,964,2020,1481
7,8,6122,441,423,100.0,964,2020,1481
8,8,5047,441,423,100.0,964,2020,1481
9,10,5013,450,414,100.0,964,2020,1481
10,11,5229,405,450,100.0,955,2020,1481
11,12,6068,423,432,100.0,955,2020,1481
12,12,5266,423,432,100.0,955,2020,1481
13,14,6140,441,414,100.0,955,2020,1481
14,15,5096,414,432,100.0,946,2020,1481
15,15,6100,414,432,100.0,946,2020,1481
16,17,6218,432,414,100.0,946,2020,1481
17,17,6231,432,414,100.0,946,2020,1481
18,19,5146,441,405,100.0,946,2020,1481
19,20,5108,405,432,100.0,937,2020,1481
20,21,6249,414,423,100.0,937,2020,1481
21,22,5149,423,414,100.0,937,2020,1481
22,23,5125,414,414,100.0,928,2020,1481
23,24,5092,423,396,100.0,919,2020,1481
24,25,6098,369,441,100.0,910,2020,1481
25,26,6094,378,432,100.0,910,2020,1481
26,27,5250,396,414,100.0,910,2020,1481
27,28,6015,432,378,100.0,910,2020,1481
28,28,6190,432,378,100.0,910,2020,1481
29,30,6012,369,432,100.0,901,2020,1481
30,31,5019,387,414,100.0,901,2020,1481
31,32,5179,396,405,100.0,901,2020,1481
32,33,6126,405,396,100.0,901,2020,1481
33,34,6105,423,378,100.0,901,2020,1481
34,35,5178,432,369,100.0,901,2020,1481
35,36,6087,360,432,100.0,892,2020,1481
36,37,5173,369,423,100.0,892,2020,1481
37,38,6018,378,414,100.0,892,2020,1481
38,38,6227,378,414,100.0,892,2020,1481
39,40,5248,387,405,100.0,892,2020,1481
40,40,6246,387,405,100.0,892,2020,1481
41,42,5183,396,396,100.0,892,2020,1481
42,42,5116,396,396,100.0,892,2020,1481
43,44,5036,405,387,100.0,892,2020,1481
44,45,6222,414,378,100.0,892,2020,1481
45,46,6217,423,369,100.0,892,2020,1481
46,47,5001,378,405,100.0,883,2020,1481
47,48,6179,387,396,100.0,883,2020,1481
48,48,5246,387,396,100.0,883,2020,1481
49,50,6219,405,378,100.0,883,2020,1481
50,51,5134,414,369,100.0,883,2020,1481
51,52,5147,423,360,100.0,883,2020,1481
52,53,5262,351,423,100.0,874,2020,1481
53,53,6181,351,423,100.0,874,2020,1481
54,55,5265,360,414,100.0,874,2020,1481
55,56,5118,414,360,100.0,874,2020,1481
56,57,5209,423,351,100.0,874,2020,1481
57,58,6265,432,342,100.0,874,2020,1481
58,59,5263,387,387,91.0,865,2020,1481
59,60,5067,369,396,100.0,865,2020,1481
60,61,5111,387,378,100.0,865,2020,1481
61,62,5254,405,360,100.0,865,2020,1481
62,63,5093,414,351,100.0,865,2020,1481
63,64,5053,342,414,100.0,856,2020,1481
64,65,5279,351,405,100.0,856,2020,1481
65,66,6184,369,387,100.0,856,2020,1481
66,67,6209,387,369,100.0,856,2020,1481
67,67,5189,387,369,100.0,856,2020,1481
68,69,5117,396,360,100.0,856,2020,1481
69,69,5236,396,360,100.0,856,2020,1481
70,71,6221,414,342,100.0,856,2020,1481
71,72,6167,441,315,100.0,856,2020,1481
72,73,5077,342,423,90.0,855,2020,1481
73,74,5082,342,405,100.0,847,2020,1481
74,74,5176,342,405,100.0,847,2020,1481
75,76,6009,369,378,100.0,847,2020,1481
76,77,5018,378,369,100.0,847,2020,1481
77,78,5051,387,360,100.0,847,2020,1481
78,79,6189,405,342,100.0,847,2020,1481
79,80,5194,414,333,100.0,847,2020,1481
80,81,6084,423,324,100.0,847,2020,1481
81,82,5258,306,432,100.0,838,2020,1481
82,83,5175,360,378,100.0,838,2020,1481
83,84,5009,369,369,100.0,838,2020,1481
84,85,6008,378,360,100.0,838,2020,1481
85,86,5184,387,351,100.0,838,2020,1481
86,87,6125,405,333,100.0,838,2020,1481
87,88,6242,369,360,100.0,829,2020,1481
88,89,5277,378,351,100.0,829,2020,1481
89,90,6212,387,342,100.0,829,2020,1481
90,91,6228,396,333,100.0,829,2020,1481
91,92,6210,423,306,100.0,829,2020,1481
92,93,5191,432,297,100.0,829,2020,1481
93,94,5231,369,351,100.0,820,2020,1481
94,95,6128,378,342,100.0,820,2020,1481
95,96,5203,441,288,90.0,819,2020,1481
96,97,5062,351,360,100.0,811,2020,1481
97,97,6095,351,360,100.0,811,2020,1481
98,99,6146,360,351,100.0,811,2020,1481
99,100,6196,396,315,100.0,811,2020,1481
100,101,6199,405,306,100.0,811,2020,1481
101,102,5040,351,351,100.0,802,2020,1481
102,103,6005,369,333,100.0,802,2020,1481
103,104,6030,387,315,100.0,802,2020,1481
104,105,6099,405,306,86.0,797,2020,1481
105,106,5244,333,360,100.0,793,2020,1481
106,107,5010,342,351,100.0,793,2020,1481
107,108,5232,351,342,100.0,793,2020,1481
108,109,5177,378,315,100.0,793,2020,1481
109,109,5066,378,315,100.0,793,2020,1481
110,111,6245,387,306,100.0,793,2020,1481
111,112,5260,405,288,100.0,793,2020,1481
112,113,5055,342,378,70.0,790,2020,1481
