RANK, reg. číslo,čeština,matemat.,ZŠ,Celkem
1.-2.,5182,423,450,100,973
1.-2.,6177,423,450,100,973
3.,6041,441,432,100,973
4.-6.,5193,414,450,100,964
4.-6.,6032,414,450,100,964
4.-6.,5276,414,450,100,964
7.,6121,432,432,100,964
8.-9.,6122,441,423,100,964
8.-9.,5047,441,423,100,964
10.,5013,450,414,100,964
11.,5229,405,450,100,955
12.-13.,6068,423,432,100,955
12.-13.,5266,423,432,100,955
14.,6140,441,414,100,955
15.-16.,5096,414,432,100,946
15.-16.,6100,414,432,100,946
17.-18.,6218,432,414,100,946
17.-18.,6231,432,414,100,946
19.,5146,441,405,100,946
20.,5108,405,432,100,937
21.,6249,414,423,100,937
22.,5149,423,414,100,937
23.,5125,414,414,100,928
24.,5092,423,396,100,919
25.,6098,369,441,100,910
26.,6094,378,432,100,910
27.,5250,396,414,100,910
28.-29.,6015,432,378,100,910
28.-29.,6190,432,378,100,910
30.,6012,369,432,100,901
31.,5019,387,414,100,901
32.,5179,396,405,100,901
33.,6126,405,396,100,901
34.,6105,423,378,100,901
35.,5178,432,369,100,901
36.,6087,360,432,100,892
37.,5173,369,423,100,892
38.-39.,6018,378,414,100,892
38.-39.,6227,378,414,100,892
40.-41.,5248,387,405,100,892
40.-41.,6246,387,405,100,892
42.-43.,5183,396,396,100,892
42.-43.,5116,396,396,100,892
44.,5036,405,387,100,892
45.,6222,414,378,100,892
46.,6217,423,369,100,892
47.,5001,378,405,100,883
48.-49.,6179,387,396,100,883
48.-49.,5246,387,396,100,883
50.,6219,405,378,100,883
51.,5134,414,369,100,883
52.,5147,423,360,100,883
53.-54.,5262,351,423,100,874
53.-54.,6181,351,423,100,874
55.,5265,360,414,100,874
56.,5118,414,360,100,874
57.,5209,423,351,100,874
58.,6265,432,342,100,874
59.,5263,387,387,91,865
60.,5067,369,396,100,865
61.,5111,387,378,100,865
62.,5254,405,360,100,865
63.,5093,414,351,100,865
64.,5053,342,414,100,856
65.,5279,351,405,100,856
66.,6184,369,387,100,856
67.-68.,6209,387,369,100,856
67.-68.,5189,387,369,100,856
69.-70.,5117,396,360,100,856
69.-70.,5236,396,360,100,856
71.,6221,414,342,100,856
72.,6167,441,315,100,856
73.,5077,342,423,90,855
74.-75.,5082,342,405,100,847
74.-75.,5176,342,405,100,847
76.,6009,369,378,100,847
77.,5018,378,369,100,847
78.,5051,387,360,100,847
79.,6189,405,342,100,847
80.,5194,414,333,100,847
81.,6084,423,324,100,847
82.,5258,306,432,100,838
83.,5175,360,378,100,838
84.,5009,369,369,100,838
85.,6008,378,360,100,838
86.,5184,387,351,100,838
87.,6125,405,333,100,838
88.,6242,369,360,100,829
89.,5277,378,351,100,829
90.,6212,387,342,100,829
91.,6228,396,333,100,829
92.,6210,423,306,100,829
93.,5191,432,297,100,829
94.,5231,369,351,100,820
95.,6128,378,342,100,820
96.,5203,441,288,90,819
97.-98.,5062,351,360,100,811
97.-98.,6095,351,360,100,811
99.,6146,360,351,100,811
100.,6196,396,315,100,811
101.,6199,405,306,100,811
102.,5040,351,351,100,802
103.,6005,369,333,100,802
104.,6030,387,315,100,802
105.,6099,405,306,86,797
106.,5244,333,360,100,793
107.,5010,342,351,100,793
108.,5232,351,342,100,793
109.-110.,5177,378,315,100,793
109.-110.,5066,378,315,100,793
111.,6245,387,306,100,793
112.,5260,405,288,100,793
113.,5055,342,378,70,790
114.,6046,333,360,91,784
115.,6234,297,387,100,784
116.-117.,5256,324,360,100,784
116.-117.,5056,324,360,100,784
118.,5283,351,333,100,784
119.,5107,360,324,100,784
120.-121.,6200,387,297,100,784
120.-121.,6168,387,297,100,784
122.,5061,396,288,100,784
123.,5052,342,351,90,783
124.,5100,369,333,80,782
125.,6129,315,360,100,775
126.,6135,342,333,100,775
127.,5280,351,324,100,775
128.,6074,360,315,100,775
129.,6119,387,288,100,775
130.,6025,279,387,100,766
131.,6175,297,369,100,766
132.,5099,306,360,100,766
133.-134.,5045,324,342,100,766
133.-134.,5138,324,342,100,766
135.,5167,342,324,100,766
136.,5170,360,306,100,766
137.,6007,369,297,100,766
138.-139.,5142,387,279,100,766
138.-139.,5270,387,279,100,766
140.,5192,423,243,100,766
141.,5268,288,369,100,757
142.-145.,5206,342,315,100,757
142.-145.,5216,342,315,100,757
142.-145.,6027,342,315,100,757
142.-145.,6108,342,315,100,757
146.,5180,387,270,100,757
147.,5129,342,324,90,756
148.,5025,306,396,50,752
