Unnamed: 0;Unnamed: 1;B o d o v é  h o d n o c e n í;Unnamed: 3
;reg. číslo;čeština matemat. ZŠ;Celkem
1.;8346;423 450 100;973
2.;8112;441 423 100;964
3.;8394;441 414 100;955
4.;8431;414 432 100;946
5.-6.;8505;423 414 100;937
5.-6.;8019;423 414 100;937
7.-8.;8251;414 414 100;928
7.-8.;8250;414 414 100;928
9.;8100;432 396 100;928
10.;8352;387 432 100;919
11.-12.;8188;423 396 100;919
11.-12.;8487;423 396 100;919
13.;8203;378 432 100;910
14.;8240;396 414 100;910
15.;8170;414 396 100;910
16.;8125;369 432 100;901
17.;8332;378 423 100;901
18.-19.;8310;387 414 100;901
18.-19.;8075;387 414 100;901
20.-21.;8411;405 396 100;901
20.-21.;8349;405 396 100;901
22.;8281;423 378 100;901
23.-24.;8471;378 414 100;892
23.-24.;8097;378 414 100;892
25.-26.;8221;414 378 100;892
25.-26.;8214;414 378 100;892
27.;8470;369 414 100;883
28.;8065;387 396 100;883
29.;8498;396 387 100;883
30.;8351;405 378 100;883
31.;8465;414 369 100;883
32.;8173;423 360 100;883
33.;8395;369 405 100;874
34.;8303;378 396 100;874
35.;8154;396 378 100;874
36.;8350;405 378 90;873
37.;8283;360 414 91;865
38.;8397;351 414 100;865
39.;8456;387 378 100;865
40.;8249;405 360 100;865
41.;8337;414 369 78;861
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
42.;8042;324 432 100;856
43.;8425;342 414 100;856
44.;8067;369 387 100;856
45.;8409;378 378 100;856
46.-47.;8329;387 369 100;856
46.-47.;8036;387 369 100;856
48.;8259;423 333 100;856
49.;8073;333 414 100;847
50.;8393;396 351 100;847
51.-52.;8459;324 414 100;838
51.-52.;8481;324 414 100;838
53.-54.;8078;360 378 100;838
53.-54.;8103;360 378 100;838
55.-57.;8504;378 360 100;838
55.-57.;8493;378 360 100;838
55.-57.;8052;378 360 100;838
58.;8306;387 351 100;838
59.;8308;396 342 100;838
60.;8360;342 387 100;829
61.;8231;351 378 100;829
62.;8488;360 369 100;829
63.-65.;8133;387 342 100;829
63.-65.;8090;387 342 100;829
63.-65.;8148;387 342 100;829
66.;8474;396 333 100;829
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
67.;8489;306 414 100;820
68.;8371;315 405 100;820
69.;8327;324 396 100;820
70.-71.;8094;360 360 100;820
70.-71.;8467;360 360 100;820
72.-73.;8396;369 351 100;820
72.-73.;8172;369 351 100;820
74.;8317;378 342 100;820
75.;8093;387 333 100;820
76.-77.;8324;396 324 100;820
76.-77.;8149;396 324 100;820
78.;8426;405 315 100;820
79.;8104;333 378 100;811
80.-81.;8424;342 369 100;811
80.-81.;8435;342 369 100;811
82.-84.;8289;351 360 100;811
82.-84.;8356;351 360 100;811
82.-84.;8213;351 360 100;811
85.-86.;8032;369 342 100;811
85.-86.;8373;369 342 100;811
87.;8480;387 324 100;811
88.;8436;396 315 100;811
89.-90.;8491;315 387 100;802
89.-90.;8043;315 387 100;802
91.;8389;324 378 100;802
92.;8342;333 369 100;802
93.;8243;342 360 100;802
94.;8414;279 414 100;793
95.;8196;315 378 100;793
96.;8028;333 360 100;793
97.;8325;360 333 100;793
98.-99.;8370;369 324 100;793
98.-99.;8111;369 324 100;793
100.;8165;378 324 89;791
101.;8478;387 306 91;784
102.;8076;315 369 100;784
103.-104.;8363;333 351 100;784
103.-104.;8039;333 351 100;784
105.-106.;8072;342 342 100;784
105.-106.;8506;342 342 100;784
107.;8132;369 315 100;784
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
108.;8496;378 306 100;784
109.;8062;387 297 100;784
110.;8276;405 279 100;784
111.;8254;288 405 89;782
112.;8153;396 297 82;775
113.;8273;342 342 91;775
114.;8469;261 414 100;775
115.;8399;297 378 100;775
116.-117.;8108;324 351 100;775
116.-117.;8267;324 351 100;775
118.-119.;8122;333 342 100;775
118.-119.;8301;333 342 100;775
120.;8247;351 324 100;775
121.;8429;360 315 100;775
122.;8442;369 306 100;775
123.;8229;414 261 100;775
124.;8392;306 360 100;766
125.;8264;315 351 100;766
126.;8114;324 342 100;766
127.;8182;333 333 100;766
128.;8390;342 324 100;766
129.;8237;360 306 100;766
130.;8378;369 297 100;766
131.;8030;315 360 86;761
132.;8361;324 342 91;757
133.;8502;306 351 100;757
134.;8483;315 342 100;757
135.;8413;324 333 100;757
136.;8164;333 324 100;757
137.;8096;342 315 100;757
138.;8140;351 306 100;757
139.;8444;360 297 100;757
140.-141.;8089;378 279 100;757
140.-141.;8380;378 279 100;757
142.;8295;333 324 91;748
143.-144.;8197;342 306 100;748
143.-144.;8448;342 306 100;748
145.;8297;351 297 100;748
146.;8191;297 360 90;747
147.;8388;387 261 91;739
148.-149.;8215;279 360 100;739
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
148.-149.;8377;279 360 100;739
150.;8415;315 324 100;739
151.;8421;324 315 100;739
152.-153.;8400;387 252 100;739
152.-153.;8402;387 252 100;739
154.;8338;279 351 100;730
155.;8457;288 342 100;730
156.;8074;297 333 100;730
157.-158.;8290;315 315 100;730
157.-158.;8102;315 315 100;730
159.-160.;8475;333 297 100;730
159.-160.;8447;333 297 100;730
161.;8334;261 360 100;721
162.;8462;279 342 100;721
163.;8246;288 333 100;721
164.-165.;8313;297 324 100;721
164.-165.;8012;297 324 100;721
166.-167.;8300;306 315 100;721
166.-167.;8345;306 315 100;721
168.;8497;351 270 100;721
169.;8217;369 252 100;721
170.;8200;234 378 100;712
171.;8212;261 351 100;712
172.-174.;8053;270 342 100;712
172.-174.;8320;270 342 100;712
172.-174.;8057;270 342 100;712
175.;8507;279 333 100;712
176.;8022;288 324 100;712
177.;8454;297 315 100;712
178.;8192;306 306 100;712
179.-181.;8412;333 279 100;712
179.-181.;8069;333 279 100;712
179.-181.;8261;333 279 100;712
182.;8087;342 270 100;712
183.;8477;360 252 100;712
184.;8428;252 369 89;710
185.;8270;315 306 89;710
186.;8503;261 360 82;703
187.;8183;288 315 100;703
188.;8339;306 297 100;703
