RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM
1,8279,20,4,47,50,121
2,8040,20,5,48,48,121
3,8013,20,3,47,46,116
4,8029,20,0,47,48,115
5,8120,20,0,48,47,115
6,8032,20,2,47,46,115
7,8060,20,3,46,46,115
8,8132,20,5,48,42,115
9,8115,20,0,46,48,114
10,8235,20,0,48,46,114
11,8239,20,2,46,46,114
12,8181,20,2,49,43,114
13,8223,20,0,47,46,113
14,8222,20,2,48,43,113
15,8076,19,0,44,49,112
16,8141,20,2,42,48,112
17,8073,20,0,44,47,111
18,8041,20,2,44,44,110
19,8050,20,5,44,41,110
20,8196,19,0,42,48,109
21,8183,20,2,43,44,109
22,8207,20,4,42,43,109
23,8023,20,0,48,41,109
24,8272,20,2,43,43,108
25,8090,20,0,46,42,108
26,8156,20,0,42,45,107
27,8038,20,0,44,43,107
28,8114,20,2,42,43,107
29,8119,20,0,45,42,107
30,8210,20,0,46,41,107
31,8080,20,0,38,48,106
32,8263,20,0,41,45,106
33,8051,20,0,43,43,106
34,8137,20,0,44,42,106
35,8140,20,2,43,41,106
36,8039,20,0,46,40,106
37,8065,20,2,46,38,106
38,8160,20,2,38,45,105
39,8296,20,0,46,39,105
40,8088,20,2,47,36,105
41,8004,20,0,40,44,104
42,8011,20,0,41,43,104
43,8005,20,0,44,40,104
44,8277,20,0,48,36,104
45,8055,20,2,47,35,104
46,8057,20,0,42,41,103
47,8019,20,0,43,40,103
48,8063,20,0,44,39,103
49,8109,20,2,45,36,103
50,8161,20,0,44,38,102
51,8215,20,0,46,36,102
52,8099,20,2,38,41,101
53,8087,20,0,46,35,101
54,8044,20,0,38,42,100
55,8048,18,0,41,41,100
56,8058,19,2,39,40,100
57,8174,20,2,38,40,100
58,8308,20,2,40,38,100
59,8166,20,0,43,37,100
60,8006,19,0,37,43,99
61,8297,20,0,38,41,99
62,8078,20,0,39,40,99
63,8246,19,0,42,38,99
64,8096,20,0,41,38,99
65,8046,20,2,42,35,99
66,8284,19,0,46,34,99
67,8027,20,0,34,44,98
68,8198,20,0,35,43,98
69,8028,18,0,40,40,98
70,8089,20,0,38,40,98
71,8110,20,0,39,39,98
72,8102,20,0,40,38,98
73,8154,20,2,38,38,98
74,8077,20,0,41,37,98
75,8155,20,0,42,36,98
76,8093,20,0,43,35,98
77,8220,19,0,37,41,97
78,8138,20,0,39,38,97
79,8159,20,0,40,37,97
80,8033,19,0,42,36,97
81,8108,20,0,44,33,97
82,8113,20,0,34,42,96
83,8047,20,0,35,41,96
84,8192,20,0,39,37,96
85,8075,20,0,43,33,96
86,8180,20,0,41,34,95
87,8101,20,2,41,32,95
88,8157,20,0,36,38,94
89,8195,20,0,37,37,94
90,8016,20,0,39,35,94
91,8165,20,0,39,35,94
92,8151,20,0,40,34,94
93,8118,20,0,43,31,94
94,8021,20,0,35,38,93
95,8008,20,4,32,37,93
96,8218,20,0,39,34,93
97,8261,20,2,30,40,92
98,8251,20,0,34,38,92
99,8007,20,0,34,38,92
100,8182,20,0,36,36,92
101,8208,20,2,34,36,92
102,8173,20,0,38,34,92
103,8278,20,0,39,33,92
104,8010,20,2,38,32,92
105,8091,20,0,43,29,92
106,8238,19,0,30,42,91
107,8237,20,0,29,42,91
108,8167,20,0,34,37,91
109,8273,19,0,36,36,91
110,8211,20,0,36,35,91
111,8124,20,2,35,34,91
112,8286,20,0,40,31,91
113,8252,19,0,43,29,91
114,8009,20,0,34,36,90
115,8197,20,0,35,35,90
116,8053,20,0,40,30,90
117,8067,20,0,41,29,90
118,8200,20,0,33,36,89
119,8214,20,0,35,34,89
120,8191,20,0,35,34,89
121,8162,20,0,36,33,89
122,8069,20,0,36,33,89
123,8022,20,0,37,32,89
124,8131,20,0,40,29,89
125,8307,20,0,35,33,88
126.-127.,8135,20,0,37,31,88
126.-127.,8262,20,0,37,31,88
128,8264,20,0,39,29,88
129,8015,20,0,27,40,87
130,8234,20,0,30,37,87
131,8139,20,0,35,32,87
132,8240,20,5,32,30,87
133,8036,19,0,39,29,87
134,8184,20,2,37,28,87
135,8128,19,0,30,37,86
