ToDROP,RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM,YEAR,SCHOOLCOURSE_ID
0,1,8023,20.0,3.0,49.0,49.0,121.0,2019,1581
1,2,8035,20.0,3.0,48.0,48.0,119.0,2019,1581
2,3,8096,20.0,5.0,49.0,45.0,119.0,2019,1581
3,4,8052,20.0,0.0,49.0,47.0,116.0,2019,1581
4,5,8011,20.0,0.0,50.0,45.0,115.0,2019,1581
5,6,8043,20.0,2.0,45.0,47.0,114.0,2019,1581
6,7,8155,20.0,0.0,49.0,43.0,112.0,2019,1581
7,8,8049,20.0,2.0,47.0,43.0,112.0,2019,1581
8,9,8106,20.0,2.0,45.0,44.0,111.0,2019,1581
9,10,8157,20.0,0.0,43.0,47.0,110.0,2019,1581
10,11,8026,20.0,0.0,46.0,44.0,110.0,2019,1581
11,12,8059,20.0,0.0,47.0,43.0,110.0,2019,1581
12,13,8047,20.0,0.0,45.0,44.0,109.0,2019,1581
13,14,8237,20.0,0.0,45.0,43.0,108.0,2019,1581
14,15,8194,20.0,2.0,43.0,43.0,108.0,2019,1581
15,16,8018,20.0,3.0,46.0,39.0,108.0,2019,1581
16,17,8022,20.0,2.0,44.0,41.0,107.0,2019,1581
17,18,8201,20.0,0.0,48.0,39.0,107.0,2019,1581
18,19,8244,20.0,2.0,47.0,38.0,107.0,2019,1581
19,20,8056,20.0,0.0,43.0,43.0,106.0,2019,1581
20,21,8081,20.0,4.0,40.0,42.0,106.0,2019,1581
21,22,8243,20.0,3.0,44.0,39.0,106.0,2019,1581
22,23,8206,20.0,2.0,42.0,41.0,105.0,2019,1581
23,24,8068,20.0,4.0,43.0,38.0,105.0,2019,1581
24,25,8129,20.0,2.0,47.0,36.0,105.0,2019,1581
25,26,8116,20.0,2.0,38.0,44.0,104.0,2019,1581
26,27,8007,20.0,3.0,39.0,42.0,104.0,2019,1581
27,28,8199,20.0,3.0,44.0,37.0,104.0,2019,1581
28,29,8214,20.0,0.0,48.0,36.0,104.0,2019,1581
29,30,8038,20.0,2.0,47.0,35.0,104.0,2019,1581
30,31,8072,20.0,0.0,44.0,39.0,103.0,2019,1581
31,32,8120,20.0,0.0,49.0,34.0,103.0,2019,1581
32,33,8087,20.0,0.0,36.0,46.0,102.0,2019,1581
33,34,8021,20.0,2.0,34.0,46.0,102.0,2019,1581
