TODROP,RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM,YEAR,SCHOOLCOURSE_ID
0,1,8279,20.0,4,47,50,121,2020,1581
1,2,8040,20.0,5,48,48,121,2020,1581
2,3,8013,20.0,3,47,46,116,2020,1581
3,4,8029,20.0,0,47,48,115,2020,1581
4,5,8120,20.0,0,48,47,115,2020,1581
5,6,8032,20.0,2,47,46,115,2020,1581
6,7,8060,20.0,3,46,46,115,2020,1581
7,8,8132,20.0,5,48,42,115,2020,1581
8,9,8115,20.0,0,46,48,114,2020,1581
9,10,8235,20.0,0,48,46,114,2020,1581
10,11,8239,20.0,2,46,46,114,2020,1581
11,12,8181,20.0,2,49,43,114,2020,1581
12,13,8223,20.0,0,47,46,113,2020,1581
13,14,8222,20.0,2,48,43,113,2020,1581
14,15,8076,19.0,0,44,49,112,2020,1581
15,16,8141,20.0,2,42,48,112,2020,1581
16,17,8073,20.0,0,44,47,111,2020,1581
17,18,8041,20.0,2,44,44,110,2020,1581
18,19,8050,20.0,5,44,41,110,2020,1581
19,20,8196,19.0,0,42,48,109,2020,1581
20,21,8183,20.0,2,43,44,109,2020,1581
21,22,8207,20.0,4,42,43,109,2020,1581
22,23,8023,20.0,0,48,41,109,2020,1581
23,24,8272,20.0,2,43,43,108,2020,1581
24,25,8090,20.0,0,46,42,108,2020,1581
25,26,8156,20.0,0,42,45,107,2020,1581
26,27,8038,20.0,0,44,43,107,2020,1581
27,28,8114,20.0,2,42,43,107,2020,1581
28,29,8119,20.0,0,45,42,107,2020,1581
29,30,8210,20.0,0,46,41,107,2020,1581
30,31,8080,20.0,0,38,48,106,2020,1581
31,32,8263,20.0,0,41,45,106,2020,1581
32,33,8051,20.0,0,43,43,106,2020,1581
33,34,8137,20.0,0,44,42,106,2020,1581
34,35,8140,20.0,2,43,41,106,2020,1581
35,36,8039,20.0,0,46,40,106,2020,1581
36,37,8065,20.0,2,46,38,106,2020,1581
37,38,8160,20.0,2,38,45,105,2020,1581
38,39,8296,20.0,0,46,39,105,2020,1581
39,40,8088,20.0,2,47,36,105,2020,1581
40,41,8004,20.0,0,40,44,104,2020,1581
41,42,8011,20.0,0,41,43,104,2020,1581
42,43,8005,20.0,0,44,40,104,2020,1581
43,44,8277,20.0,0,48,36,104,2020,1581
44,45,8055,20.0,2,47,35,104,2020,1581
45,46,8057,20.0,0,42,41,103,2020,1581
46,47,8019,20.0,0,43,40,103,2020,1581
47,48,8063,20.0,0,44,39,103,2020,1581
48,49,8109,20.0,2,45,36,103,2020,1581
49,50,8161,20.0,0,44,38,102,2020,1581
50,51,8215,20.0,0,46,36,102,2020,1581
51,52,8099,20.0,2,38,41,101,2020,1581
52,53,8087,20.0,0,46,35,101,2020,1581
53,54,8044,20.0,0,38,42,100,2020,1581
54,55,8048,18.0,0,41,41,100,2020,1581
55,56,8058,19.0,2,39,40,100,2020,1581
56,57,8174,20.0,2,38,40,100,2020,1581
57,58,8308,20.0,2,40,38,100,2020,1581
58,59,8166,20.0,0,43,37,100,2020,1581
59,60,8006,19.0,0,37,43,99,2020,1581
60,61,8297,20.0,0,38,41,99,2020,1581
61,62,8078,20.0,0,39,40,99,2020,1581
62,63,8246,19.0,0,42,38,99,2020,1581
63,64,8096,20.0,0,41,38,99,2020,1581
64,65,8046,20.0,2,42,35,99,2020,1581
65,66,8284,19.0,0,46,34,99,2020,1581
66,67,8027,20.0,0,34,44,98,2020,1581
67,68,8198,20.0,0,35,43,98,2020,1581
68,69,8028,18.0,0,40,40,98,2020,1581
69,70,8089,20.0,0,38,40,98,2020,1581
70,71,8110,20.0,0,39,39,98,2020,1581
71,72,8102,20.0,0,40,38,98,2020,1581
72,73,8154,20.0,2,38,38,98,2020,1581
73,74,8077,20.0,0,41,37,98,2020,1581
74,75,8155,20.0,0,42,36,98,2020,1581
75,76,8093,20.0,0,43,35,98,2020,1581
76,77,8220,19.0,0,37,41,97,2020,1581
77,78,8138,20.0,0,39,38,97,2020,1581
78,79,8159,20.0,0,40,37,97,2020,1581
79,80,8033,19.0,0,42,36,97,2020,1581
80,81,8108,20.0,0,44,33,97,2020,1581
81,82,8113,20.0,0,34,42,96,2020,1581
82,83,8047,20.0,0,35,41,96,2020,1581
83,84,8192,20.0,0,39,37,96,2020,1581
84,85,8075,20.0,0,43,33,96,2020,1581
85,86,8180,20.0,0,41,34,95,2020,1581
86,87,8101,20.0,2,41,32,95,2020,1581
87,88,8157,20.0,0,36,38,94,2020,1581
88,89,8195,20.0,0,37,37,94,2020,1581
89,90,8016,20.0,0,39,35,94,2020,1581
90,91,8165,20.0,0,39,35,94,2020,1581
91,92,8151,20.0,0,40,34,94,2020,1581
92,93,8118,20.0,0,43,31,94,2020,1581
93,94,8021,20.0,0,35,38,93,2020,1581
94,95,8008,20.0,4,32,37,93,2020,1581
95,96,8218,20.0,0,39,34,93,2020,1581
96,97,8261,20.0,2,30,40,92,2020,1581
97,98,8251,20.0,0,34,38,92,2020,1581
98,99,8007,20.0,0,34,38,92,2020,1581
99,100,8182,20.0,0,36,36,92,2020,1581
100,101,8208,20.0,2,34,36,92,2020,1581
101,102,8173,20.0,0,38,34,92,2020,1581
102,103,8278,20.0,0,39,33,92,2020,1581
103,104,8010,20.0,2,38,32,92,2020,1581
104,105,8091,20.0,0,43,29,92,2020,1581
105,106,8238,19.0,0,30,42,91,2020,1581
106,107,8237,20.0,0,29,42,91,2020,1581
107,108,8167,20.0,0,34,37,91,2020,1581
108,109,8273,19.0,0,36,36,91,2020,1581
109,110,8211,20.0,0,36,35,91,2020,1581
110,111,8124,20.0,2,35,34,91,2020,1581
111,112,8286,20.0,0,40,31,91,2020,1581
112,113,8252,19.0,0,43,29,91,2020,1581
113,114,8009,20.0,0,34,36,90,2020,1581
114,115,8197,20.0,0,35,35,90,2020,1581
115,116,8053,20.0,0,40,30,90,2020,1581
116,117,8067,20.0,0,41,29,90,2020,1581
117,118,8200,20.0,0,33,36,89,2020,1581
118,119,8214,20.0,0,35,34,89,2020,1581
119,120,8191,20.0,0,35,34,89,2020,1581
120,121,8162,20.0,0,36,33,89,2020,1581
121,122,8069,20.0,0,36,33,89,2020,1581
122,123,8022,20.0,0,37,32,89,2020,1581
123,124,8131,20.0,0,40,29,89,2020,1581
124,125,8307,20.0,0,35,33,88,2020,1581
125,126,8135,20.0,0,37,31,88,2020,1581
126,126,8262,20.0,0,37,31,88,2020,1581
127,128,8264,20.0,0,39,29,88,2020,1581
128,129,8015,20.0,0,27,40,87,2020,1581
129,130,8234,20.0,0,30,37,87,2020,1581
130,131,8139,20.0,0,35,32,87,2020,1581
131,132,8240,20.0,5,32,30,87,2020,1581
132,133,8036,19.0,0,39,29,87,2020,1581
133,134,8184,20.0,2,37,28,87,2020,1581
134,135,8128,19.0,0,30,37,86,2020,1581
135,136,8042,20.0,0,30,36,86,2020,1581
136,137,8130,19.0,0,35,32,86,2020,1581
137,138,8098,20.0,0,37,29,86,2020,1581
138,139,8291,20.0,0,38,28,86,2020,1581
139,140,8230,20.0,0,38,28,86,2020,1581
140,141,8275,20.0,0,34,31,85,2020,1581
141,142,8232,19.0,0,36,30,85,2020,1581
142,143,8204,20.0,2,33,30,85,2020,1581
