ID,SPECIALIZATION,GRADES4,GRADES5,CZECH,CZECH%,CZECHKREDITY,MATH,MATH%,MATHKREDITY,HT,HT%,HTKREDITY,TAL,TAL%,TALKREDITY,SUM
019172,housle,"24,00","24,00","46,00",92%,"276,00","48,00",96%,"288,00","27,00",96%,"50,14","8,67",87%,"260,10","922,24"
054171,klavir,"24,00","24,00","44,00",88%,"264,00","44,00",88%,"264,00","25,00",89%,"46,43","9,60",96%,"288,00","910,43"
064171,klavir,"24,00","24,00","48,00",96%,"288,00","45,00",90%,"270,00","24,00",86%,"44,57","8,40",84%,"252,00","902,57"
008171,housle,"24,00","24,00","45,00",90%,"270,00","38,00",76%,"228,00","26,00",93%,"48,29","9,87",99%,"296,10","890,39"
037172,priona fletna,"24,00","24,00","46,00",92%,"276,00","44,00",88%,"264,00","24,00",86%,"44,57","8,47",85%,"254,10","886,67"
007171,klavir,"24,00","24,00","43,00",86%,"258,00","39,00",78%,"234,00","11,00",39%,"20,43","9,53",95%,"285,90","846,33"
055172,trubka,"22,00","24,00","44,00",88%,"264,00","50,00",100%,"300,00","21,00",75%,"39,00","6,53",65%,"195,90","844,90"
018172,housle,"24,00","24,00","40,00",80%,"240,00","42,00",84%,"252,00","24,00",86%,"44,57","8,60",86%,"258,00","842,57"
048171,trubka,"24,00","24,00","41,00",82%,"246,00","46,00",92%,"276,00","23,00",82%,"42,71","7,57",76%,"227,10","839,81"
057171,klavir,"24,00","24,00","35,00",70%,"210,00","42,00",84%,"252,00","22,00",79%,"40,86","9,07",91%,"272,10","822,96"
050172,lesni roh,"24,00","24,00","43,00",86%,"258,00","37,00",74%,"222,00","22,00",79%,"40,86","8,40",84%,"252,00","820,86"
068172,viola,"24,00","24,00","43,00",86%,"258,00","37,00",74%,"222,00","22,00",79%,"40,86","8,07",81%,"242,10","810,96"
061171,housle,"24,00","24,00","40,00",80%,"240,00","40,00",80%,"240,00","22,00",79%,"40,86","7,73",77%,"231,90","800,76"
011171,violoncello,"24,00","24,00","31,00",62%,"186,00","38,00",76%,"228,00","23,00",82%,"42,71","9,64",96%,"289,20","793,91"
005171,zobcova fletna,"24,00","24,00","40,00",80%,"240,00","33,00",66%,"198,00","26,00",93%,"48,29","8,21",82%,"246,30","780,59"
051171,klarinet,"24,00","20,00","33,00",66%,"198,00","40,00",80%,"240,00","25,00",89%,"46,43","8,40",84%,"252,00","780,43"
060171,violoncello,"24,00","24,00","36,00",72%,"216,00","38,00",76%,"228,00","23,00",82%,"42,71","7,67",77%,"230,10","764,81"
066172,klavir,"24,00","24,00","31,00",62%,"186,00","34,00",68%,"204,00","13,00",46%,"24,14","9,80",98%,"294,00","756,14"
020171,viola,"24,00","22,00","28,00",56%,"168,00","37,00",74%,"222,00","19,00",68%,"35,29","9,33",93%,"279,90","751,19"
056172,klarinet,"20,00","24,00","32,00",64%,"192,00","36,00",72%,"216,00","16,00",57%,"29,71","8,93",89%,"267,90","749,61"
047171,kytara,"20,00","16,00","33,00",66%,"198,00","39,00",78%,"234,00","15,00",54%,"27,86","8,33",83%,"249,90","745,76"
002171,zobcova fletna,"24,00","24,00","35,00",70%,"210,00","33,00",66%,"198,00","16,00",57%,"29,71","8,57",86%,"257,10","742,81"
049172,zobcova fletna,"24,00","24,00","40,00",80%,"240,00","32,00",64%,"192,00","18,00",64%,"33,43","7,47",75%,"224,10","737,53"
040171,pflona fletna,"24,00","24,00","36,00",72%,"216,00","37,00",74%,"222,00","13,00",46%,"24,14","7,47",75%,"224,10","734,24"
024171,violoncello,"24,00","24,00","24,00",48%,"144,00","33,00",66%,"198,00","26,00",93%,"48,29","9,53",95%,"285,90","724,19"
020171,housle,"24,00","22,00","28,00",56%,"168,00","37,00",74%,"222,00","19,00",68%,"35,29","8,33",83%,"249,90","721,19"
071172,trubka,"24,00","24,00","27,00",54%,"162,00","35,00",70%,"210,00","16,00",57%,"29,71","8,79",88%,"263,70","713,41"
045171,sOlovy zpev,"24,00","24,00","38,00",76%,"228,00","41,00",82%,"246,00","21,00",75%,"39,00","5,07",51%,"152,10","713,10"
015172,kytara,"24,00","24,00","35,00",70%,"210,00","32,00",64%,"192,00","18,00",64%,"33,43","7,60",76%,"228,00","711,43"
005171,klavir,"24,00","24,00","40,00",80%,"240,00","33,00",66%,"198,00","26,00",93%,"48,29","5,87",59%,"176,10","710,39"
026172,lesni roh,"24,00","24,00","31,00",62%,"186,00","31,00",62%,"186,00","17,00",61%,"31,57","8,53",85%,"255,90","707,47"
014172,klavir,"22,00","22,00","33,00",66%,"198,00","33,00",66%,"198,00","17,00",61%,"31,57","7,80",78%,"234,00","705,57"
016172,kytara,"20,00","24,00","37,00",74%,"222,00","34,00",68%,"204,00","18,00",64%,"33,43","6,67",67%,"200,10","703,53"
023171,klavir,"24,00","24,00","41,00",82%,"246,00","42,00",84%,"252,00","23,00",82%,"42,71","3,20",32%,"96,00","684,71"
070172,pfiena fletna,"24,00","24,00","42,00",84%,"252,00","34,00",68%,"204,00","26,00",93%,"48,29","4,40",44%,"132,00","684,29"
004171,pfiena fletna,"24,00","24,00","43,00",86%,"258,00","37,00",74%,"222,00","17,00",61%,"31,57","3,87",39%,"116,10","675,67"
