ID,SPECIALIZATION,GRADES,CZECH,CZECH%,CZECHKREDITY,MATH,MATH%,MATHJREDITY,HT,HT%,HTKREDITY,TAL,TAL%,TALKREDITY,SUM
003/18/1,klavir,"48,00","46,00",92,"276,00","38,00",76,"228,00","22,00",96,"49,74","9,87",99,"296,10","897,84"
055/18/1,housle,"48,00","44,00",88,"264,00","35,00",70,"210,00","18,00",78,"40,70","8,53",85,"255,90","818,60"
001/18/1,zobcova fletna,"48,00","43,00",86,"258,00","39,00",78,"234,00","18,00",78,"40,70","7,67",77,"230,10","810,80"
034/18/1,klavir,"48,00","41,00",82,"246,00","41,00",82,"246,00","17,00",74,"38,43","7,6",76,"228,00","806,43"
014/18/1,hoboj,"48,00","43,00",86,"258,00","37,00",74,"222,00","22,00",96,"49,74","7,5",75,"225,00","802,74"
004/18/2,violoncello,"48,00","44,00",88,"264,00","42,00",84,"252,00","19,00",83,"42,96","6,4",64,"192,00","798,96"
032/18/2,zobcova fletna,"44,00","40,00",80,"240,00","38,00",76,"228,00","14,00",61,"31,65","8,33",83,"249,90","793,55"
023/18/2,trubka,"48,00","46,00",92,"276,00","35,00",70,"210,00","20,00",87,"45,22","6,27",63,"188,10","767,32"
006/18/1,housle,"48,00","37,00",74,"222,00","30,00",60,"180,00","22,00",96,"49,74","8,87",89,"266,10","765,84"
021/18/1,trubka,"48,00","38,00",76,"228,00","32,00",64,"192,00","21,00",91,"47,48","8,21",82,"246,30","761,78"
062/18/1,soloq zpev,"46,00","43,00",86,"258,00","29,00",58,"174,00","13,00",57,"29,39","8,13",81,"243,90","751,29"
064/18/2,housle,"42,00","34,00",68,"204,00","32,00",64,"192,00","19,00",83,"42,96",9.0,90,"270,00","750,96"
010/18/1,klavir,"48,00","35,00",70,"210,00","35,00",70,"210,00","14,00",61,"31,65","8,2",82,"246,00","745,65"
046/18/1,fagot,"48,00","37,00",74,"222,00","29,00",58,"174,00","9,00",39,"20,35","9,33",93,"279,90","744,25"
039/18/1,trubka,"48,00","44,00",88,"264,00","27,00",54,"162,00","15,00",65,"33,91","7,73",77,"231,90","739,81"
049/18/1,housle,"48,00","35,00",70,"210,00","39,00",78,"234,00","18,00",78,"40,70","6,47",65,"194,10","726,80"
030/18/1,zobcova fletna,"42,00","37,00",74,"222,00","33,00",66,"198,00","15,00",65,"33,91","7,57",76,"227,10","723,01"
052/18/2,priCna fletna,"48,00","41,00",82,"246,00","31,00",62,"186,00","14,00",61,"31,65","6,73",67,"201,90","713,55"
061/18/1,zpev,"48,00","39,00",78,"234,00","31,00",62,"186,00","18,00",78,"40,70","6,79",68,"203,70","712,40"
032/18/2,hoboj,"44,00","40,00",80,"240,00","38,00",76,"228,00","14,00",61,"31,65","5,27",53,"158,10","701,75"
029/18/2,zobcova fletna,"48,00","37,00",74,"222,00","28,00",56,"168,00","11,00",48,"24,87","7,73",77,"231,90","694,77"
015/18/1,klarinet,"48,00","30,00",60,"180,00","37,00",74,"222,00","14,00",61,"31,65","6,53",65,"195,90","677,55"
038/18/2,sOloq zpev,"48,00","37,00",74,"222,00","20,00",40,"120,00","9,00",39,"20,35","8,6",86,"258,00","668,35"
061/18/1,zobcova fletna,"48,00","39,00",78,"234,00","31,00",62,"186,00","18,00",78,"40,70","4,73",47,"141,90","650,60"
043/18/1,housle,"48,00","37,00",74,"222,00","20,00",40,"120,00","15,00",65,"33,91","7,53",75,"225,90","649,81"
024/18/1,horna,"48,00","38,00",76,"228,00","17,00",34,"102,00","14,00",61,"31,65",8.0,80,"240,00","649,65"
025/18/2,saxofon,"48,00","41,00",82,"246,00","21,00",42,"126,00","16,00",70,"36,17","5,87",59,"176,10","632,27"
028/18/2,housle,"48,00","36,00",72,"216,00","18,00",36,"108,00","19,00",83,"42,96","7,2",72,"216,00","630,96"
036/18/1,zobcova fletna,"42,00","34,00",68,"204,00","30,00",60,"180,00","10,00",43,"22,61","5,93",59,"177,90","626,51"
060/18/1,housle,"48,00","28,00",56,"168,00","27,00",54,"162,00","21,00",91,"47,48","6,27",63,"188,10","613,58"
020/18/1,solovy zpev,"48,00","29,00",58,"174,00","30,00",60,"180,00","13,00",57,"29,39","6,07",61,"182,10","613,49"
053/18/2,sOlovy zpev,"36,00","34,00",68,"204,00","25,00",50,"150,00","16,00",70,"36,17","6,07",61,"182,10","608,27"
022/18/1,violoncello,"48,00","25,00",50,"150,00","15,00",30,"90,00","7,00",30,"15,83","9,93",99,"297,90","601,73"
016/18/1,kytara,"44,00","28,00",56,"168,00","25,00",50,"150,00","10,00",43,"22,61",7.0,70,"210,00","594,61"
035/18/1,zpev,"48,00","43,00",86,"258,00","31,00",62,"186,00","17,00",74,"38,43","1,93",19,"57,90","588,33"
012/18/1,violoncello,"46,00","28,00",56,"168,00","20,00",40,"120,00","16,00",70,"36,17","7,07",71,"212,10","582,27"
017/18/1,klavir,"46,00","38,00",76,"228,00","20,00",40,"120,00","16,00",70,"36,17","4,87",49,"146,10","576,27"
005/18/1,fagot,"44,00","33,00",66,"198,00","17,00",34,"102,00","8,00",35,"18,09","7,07",71,"212,10","574,19"
050/18/1,solovy zpev,"46,00","34,00",68,"204,00","22,00",44,"132,00","15,00",65,"33,91","5,13",51,"153,90","569,81"
063/18/1,klavir,"42,00","29,00",58,"174,00","28,00",56,"168,00","9,00",39,"20,35","5,43",54,"162,90","567,25"
052/18/2,klavir,"48,00","41,00",82,"246,00","31,00",62,"186,00","14,00",61,"31,65","1,6",16,"48,00","559,65"
008/18/2,housle,"48,00","25,00",50,"150,00","19,00",38,"114,00","15,00",65,"33,91","7,07",71,"212,10","558,01"
033/18/1,housle,"48,00","37,00",74,"222,00","39,00",78,"234,00","13,00",57,"29,39","0,8",8,"24,00","557,39"
027/18/1,solovy zpev,"48,00","33,00",66,"198,00","25,00",50,"150,00","9,00",39,"20,35","4,53",45,"135,90","552,25"
067/18/2,fagot,"48,00","36,00",72,"216,00","30,00",60,"180,00","18,00",78,"40,70","2,2",22,"66,00","550,70"
051/18/1,kytara,"46,00","38,00",76,"228,00","30,00",60,"180,00","5,00",22,"11,30","2,6",26,"78,00","543,30"
057/18/2,housle,"48,00","24,00",48,"144,00","14,00",28,"84,00","17,00",74,"38,43","7,4",74,"222,00","536,43"
066/18/2,housle,"48,00","26,00",52,"156,00","26,00",52,"156,00","11,00",48,"24,87",5.0,50,"150,00","534,87"
019/18/2,solovy zpev,"44,00","25,00",50,"150,00","11,00",22,"66,00","14,00",61,"31,65","7,87",79,"236,10","527,75"
037/18/2,lesni roh,"38,00","23,00",46,"138,00","12,00",24,"72,00","14,00",61,"31,65","8,2",82,"246,00","525,65"
040/18/1,solovy zpev,"48,00","41,00",82,"246,00","27,00",54,"162,00","13,00",57,"29,39","1,27",13,"38,10","523,49"
013/18/2,housle,"48,00","29,00",58,"174,00","36,00",72,"216,00","13,00",57,"29,39","1,2",12,"36,00","503,39"
011/18/1,soloq zip&,"48,00","30,00",60,"180,00","26,00",52,"156,00","9,00",39,"20,35","3,27",33,"98,10","502,45"
053/18/2,viola,"36,00","34,00",68,"204,00","25,00",50,"150,00","16,00",70,"36,17","2,53",25,"75,90","502,07"
045/18/1,kytara,"38,00","27,00",54,"162,00","32,00",64,"192,00","10,00",43,"22,61","2,87",29,"86,10","500,71"
031/18/2,kytara,"46,00","22,00",44,"132,00","9,00",18,"54,00","11,00",48,"24,87",8.0,80,"240,00","496,87"
007/18/1,solovy zpev,"44,00","17,00",34,"102,00","10,00",20,"60,00","3,00",13,"6,78","8,47",85,"254,10","466,88"
054/18/1,housle,"36,00","20,00",40,"120,00","11,00",22,"66,00","2,00",9,"4,52","7,93",79,"237,90","464,42"
