ID,SPECIALIZATION,GRADES,MATH,MATH%,MATHKREDITY,CZECH,CZECH%,CZECHKREDITY,HT,HT%,HTKREDITY,TAL,TAL%,TALKREDITY,SUM
017/19/1,klavir,"48,00","46,00","92,0","276,00","48,00","96,0","288,00","28,00","100,0","52,00","10,00","100,0","300,00","964,00"
019/19/1,klavir,"48,00","47,00","94,0","282,00","49,00","98,0","294,00","19,50","69,6","36,21","9,22","92,2","276,60","936,81"
063/19/1,klavir,"48,00","44,00","88,0","264,00","44,00","88,0","264,00","28,00","100,0","52,00","9,33","93,3","279,90","907,90"
048/19/1,housle,"48,00","40,00","80,0","240,00","46,00","92,0","276,00","21,50","76,8","39,93","9,88","98,8","296,40","900,33"
079/19/2,hoboj,"48,00","46,00","92,0","276,00","45,00","90,0","270,00","24,00","85,7","44,57","8,67","86,7","260,10","898,67"
056/19/1,housle,"48,00","35,00","70,0","210,00","42,00","84,0","252,00","19,50","69,6","36,21","10,00","100,0","300,00","846,21"
075/19/1,trubka,"48,00","33,00","66,0","198,00","42,00","84,0","252,00","24,50","87,5","45,50","10,00","100,0","300,00","843,50"
073/19/1,klavir,"48,00","38,00","76,0","228,00","42,00","84,0","252,00","25,00","89,3","46,43","8,78","87,8","263,40","837,83"
088/19/1,lesniroh,"48,00","35,00","70,0","210,00","39,00","78,0","234,00","23,50","83,9","43,64","10,00","100,0","300,00","835,64"
008/19/1,klavir,"48,00","43,00","86,0","258,00","47,00","94,0","282,00","21,50","76,8","39,93","6,78","67,8","203,40","831,33"
015/19/1,harfa,"48,00","42,00","84,0","252,00","34,00","68,0","204,00","22,00","78,6","40,86","9,44","94,4","283,20","828,06"
038/19/1,klarinet,"48,00","37,00","74,0","222,00","36,00","72,0","216,00","24,00","85,7","44,57","9,89","98,9","296,70","827,27"
014/19/2,trubka,"48,00","41,00","82,0","246,00","32,00","64,0","192,00","24,00","85,7","44,57","9,88","98,8","296,40","826,97"
052/19/2,housle,"48,00","27,00","54,0","162,00","44,00","88,0","264,00","26,50","94,6","49,21","10,00","100,0","300,00","823,21"
005/19/1,sOlovY zpev,"48,00","38,00","76,0","228,00","39,00","78,0","234,00","17,00","60,7","31,57","8,78","87,8","263,40","804,97"
001/19/1,kytara,"48,00","34,00","68,0","204,00","42,00","84,0","252,00","15,50","55,4","28,79","8,89","88,9","266,70","799,49"
042/19/2,pi16nd fletna,"48,00","37,00","74,0","222,00","36,00","72,0","216,00","15,50","55,4","28,79","9,44","94,4","283,20","797,99"
066/19/1,klarinet,"48,00","29,00","58,0","174,00","42,00","84,0","252,00","19,00","67,9","35,29","9,33","93,3","279,90","789,19"
027/19/1,klavir,"48,00","31,00","62,0","186,00","39,00","78,0","234,00","15,50","55,4","28,79","9,33","93,3","279,90","776,69"
