ID,RANK,SPECIALIZATION,GRADES,MATH,MATH%,MATHKREDITS,CZECH,CZECH%,CZECHKREDITY,HT,HT%,HTKREDITY,TAL,TAL%,TALKREDITY,SUM,,,,
1201,44,klavir,"44,00","14,00","28,0","84,00","20,00","40,0","120,00","17,00","51,5","26,79","8,60","86,0","258,00","532,79",,,,
2201,57,zobcova liana,"38,00","2,00","4,0","12,00","9,00","18,0","54,00","0,50","1,52","0,79","1,60","16,0","48,00","152,79",,,,
3201,22,viola,"48,00","19,00","38,0","114,00","39,00","78,0","234,00","29,00","87,9","45,70","9,00","90,0","270,00","711,70",,,,
4201,34,violoncello,"46,00","23,00","46,0","138,00","24,00","48,0","144,00","19,00","57,6","29,94","7,60","76,0","228,00","585,94",,,,
5201,31,ptitna fletna,"48,00","37,00","74,0","222,00","43,00","86,0","258,00","28,00","84,8","44,12","2,00","20,0","60,00","632,12",,,,
6201,26,sOlovY zpev,"48,00","38,00","76,0","228,00","35,00","70,0","210,00","25,00","75,8","39,39","5,40","54,0","162,00","687,39",,,,
7201,33,Ole' na fletna,"48,00","11,00","22,0","66,00","27,00","54,0","162,00","23,00","69,7","36,24","9,60","96,0","288,00","600,24",,,,
8201,18,housle,"48,00","44,00","88,0","264,00","40,00","80,0","240,00","21,00","63,6","33,09","5,40","54,0","162,00","747,09",,,,
9201,51,housle,"48,00","21,00","42,0","126,00","35,00","70,0","210,00","15,50","47,0","24,42","1,80","18,0","54,00","462,42",,,,
10201,52,solovY zpev,"44,00","8,00","16,0","48,00","11,00","22,0","66,00","8,50","25,8","13,39","7,80","78,0","234,00","405,39",,,,
11201,14,fagot,"48,00","37,00","74,0","222,00","40,00","80,0","240,00","23,00","69,7","36,24","8,60","86,0","258,00","804,24",,,,
12201,16,klarinet,"42,00","43,00","86,0","258,00","41,00","82,0","246,00","24,00","72,7","37,82","6,00","60,0","180,00","763,82",,,,
13201,32,trubka,"36,00","29,00","58,0","174,00","28,00","56,0","168,00","14,50","43,9","22,85","7,60","76,0","228,00","628,85",,,,
14201,45,housle,"38,00","36,00","72,0","216,00","30,00","60,0","180,00","20,00","60,6","31,52","1,00","10,0","30,00","495,52",,,,
15201,13,housle,"48,00","33,00","66,0","198,00","42,00","84,0","252,00","27,00","81,8","42,55","8,80","88,0","264,00","804,55",,,,
16201,53,solovY zpev,"28,00","13,00","26,0","78,00","16,00","32,0","96,00","12,50","37,9","19,70","5,80","58,0","174,00","395,70",,,,
17201,47,housle,"48,00","18,00","36,0","108,00","15,00","30,0","90,00","13,50","40,9","21,27","6,80","68,0","204,00","471,27",,,,
18201,12,cembalo,"48,00","33,00","66,0","198,00","46,00","92,0","276,00","24,00","72,7","37,82","8,60","86,0","258,00","817,82",,,,
19202,11,saxofon,"48,00","39,00","78,0","234,00","44,00","88,0","264,00","25,00","75,8","39,39","7,80","78,0","234,00","819,39",,,,
20201,24,klavir,"38,00","33,00","66,0","198,00","30,00","60,0","180,00","26,00","78,8","40,97","8,40","84,0","252,00","708,97",,,,
21201,3,violoncello,"48,00","45,00","90,0","270,00","47,00","94,0","282,00","26,00","78,8","40,97","9,00","90,0","270,00","910,97",,,,
22201,37,so 1 ovy zpev,"44,00","10,00","20,0","60,00","31,00","62,0","186,00","11,00","33,3","17,33","9,00","90,0","270,00","577,33",,,,
23201,27,kytara,"48,00","26,00","52,0","156,00","43,00","86,0","258,00","16,50","50,0","26,00","5,60","56,0","168,00","656,00",,,,
24201,23,housle,"48,00","42,00","84,0","252,00","31,00","62,0","186,00","17,00","51,5","26,79","6,60","66,0","198,00","710,79",,,,
25201,40,housle,"48,00","39,00","78,0","234,00","36,00","72,0","216,00","16,50","50,0","26,00","1,00","10,0","30,00","554,00",,,,
26201,19,klarinet,"48,00","41,00","82,0","246,00","44,00","88,0","264,00","18,50","56,1","29,15","4,80","48,0","144,00","731,15",,,,
27201,21,klavir,"48,00","33,00","66,0","198,00","33,00","66,0","198,00","23,00","69,7","36,24","8,00","80,0","240,00","720,24",,,,
28201,5,violoncello,"48,00","42,00","84,0","252,00","38,00","76,0","228,00","29,00","87,9","45,70","9,40","94,0","282,00","855,70",,,,
29201,28,housle,"46,00","24,00","48,0","144,00","37,00","74,0","222,00","28,00","84,8","44,12","6,40","64,0","192,00","648,12",,,,
30201,10,trubka,"44,00","45,00","90,0","270,00","43,00","86,0","258,00","23,00","69,7","36,24","7,20","72,0","216,00","824,24",,,,
31201,30,solovy zpev,"48,00","26,00","52,0","156,00","37,00","74,0","222,00","25,00","75,8","39,39","5,60","56,0","168,00","633,39",,,,
32201,20,k lari net,"48,00","38,00","76,0","228,00","35,00","70,0","210,00","22,00","66,7","34,67","6,80","68,0","204,00","724,67",,,,
33201,56,s?: lov5/ zpev,"46,00","18,00","36,0","108,00","14,00","28,0","84,00","4,50","13,6","7,09","1,00","10,0","30,00","275,09",,,,
34201,8,kytara,"48,00","43,00","86,0","258,00","42,00","84,0","252,00","30,00","90,9","47,27","7,60","76,0","228,00","833,27",,,,
35201,50,sOlovji zpev,"46,00","22,00","44,0","132,00","14,00","28,0","84,00","17,00","51,5","26,79","5,80","58,0","174,00","462,79",,,,
36201,4,"pfie""na fletna","48,00","44,00","88,0","264,00","41,00","82,0","246,00","28,00","84,8","44,12","9,20","92,0","276,00","878,12",,,,
37201,1,klavir,"48,00","47,00","94,0","282,00","45,00","90,0","270,00","32,00","97,0","50,42","9,20","92,0","276,00","926,42",,,,
38201,38,violoncello,"44,00","21,00","42,0","126,00","38,00","76,0","228,00","14,00","42,4","22,06","5,00","50,0","150,00","570,06",,,,
39201,2,harfa,"48,00","47,00","94,0","282,00","41,00","82,0","246,00","30,00","90,9","47,27","9,60","96,0","288,00","911,27",,,,
40201,49,bici nastroje,"44,00","26,00","52,0","156,00","28,00","56,0","168,00","7,00","21,2","11,03","2,80","28,0","84,00","463,03",,,,
41201,35,kytara,"48,00","25,00","50,0","150,00","31,00","62,0","186,00","17,00","51,5","26,79","5,80","58,0","174,00","584,79",,,,
42201,39,trombon,"48,00","25,00","50,0","150,00","22,00","44,0","132,00","18,00","54,5","28,36","6,80","68,0","204,00","562,36",,,,
43201,41,housle,"46,00","43,00","86,0","258,00","25,00","50,0","150,00","25,00","75,8","39,39","2,00","20,0","60,00","553,39",,,,
44202,29,trombon,"48,00","43,00","86,0","258,00","39,00","78,0","234,00","24,00","72,7","37,82","2,20","22,0","66,00","643,82",,,,
45201,15,violoncello,"48,00","32,00","64,0","192,00","37,00","74,0","222,00","24,00","72,7","37,82","10,00","100,0","300,00","799,82",,,,
46201,25,fagot,"48,00","27,00","54,0","162,00","31,00","62,0","186,00","29,00","87,9","45,70","8,40","84,0","252,00","693,70",,,,
47201,36,kytara,"48,00","34,00","68,0","204,00","40,00","80,0","240,00","21,00","63,6","33,09","1,80","18,0","54,00","579,09",,,,
48201,46,sOlovji zpev,"48,00","25,00","50,0","150,00","37,00","74,0","222,00","2,00","6,1","3,15","2,00","20,0","60,00","483,15",,,,
49201,48,sOlovji zpev,"48,00","21,00","42,0","126,00","23,00","46,0","138,00","20,00","60,6","31,52","4,00","40,0","120,00","463,52",,,,
49201-2,42,zobcova fletna,"48,00","21,00","0,0","126,00","23,00","0,0","138,00","20,00","60,6","31,52","6,60","66,0","198,00","541,52",,,,
50202,9,bici nastroje,"48,00","42,00","84,0","252,00","38,00","76,0","228,00","25,00","75,8","39,39","8,60","86,0","258,00","825,39",,,,
51201,17,housle,"48,00","29,00","58,0","174,00","38,00","76,0","228,00","20,00","60,6","31,52","9,20","92,0","276,00","757,52",,,,
52201,54,solovji zpev,"48,00","16,00","32,0","96,00","33,00","66,0","198,00","11,00","33,3","17,33","1,00","10,0","30,00","389,33",,,,
53201,7,violoncello,"46,00","34,00","68,0","204,00","46,00","92,0","276,00","21,00","63,6","33,09","9,40","94,0","282,00","841,09",,,,
54201,55,violoncello,"44,00","20,00","40,0","120,00","26,00","52,0","156,00","13,00","39,4","20,48","1,20","12,0","36,00","376,48",,,,
55201,6,violoncello,"48,00","44,00","88,0","264,00","42,00","84,0","252,00","22,00","66,7","34,67","8,40","84,0","252,00","850,67",,,,
56201,43,klavir,"48,00","39,00","78,0","234,00","32,00","64,0","192,00","14,00","42,4","22,06","1,40","14,0","42,00","538,06",,,,
