TODROP,ID,SPECIALIZATION,GRADES4,GRADES5,CZECH,CZECH2,CZECHKREDITY,MATH,MATH2,MATHKREDITY,HT,HT2,HTKREDITY,TAL,TAL2,TALKREDITY,SUM,YEAR,SCHOOLCOURSE_ID
0,19172,housle,24,24,46,92%,276,48,96%,288,27,96%,50.14,8.67,87%,260.1,922.24,2017,1681
1,54171,klavir,24,24,44,88%,264,44,88%,264,25,89%,46.43,9.6,96%,288,910.43,2017,1681
2,64171,klavir,24,24,48,96%,288,45,90%,270,24,86%,44.57,8.4,84%,252,902.57,2017,1681
3,8171,housle,24,24,45,90%,270,38,76%,228,26,93%,48.29,9.87,99%,296.1,890.39,2017,1681
4,37172,priona fletna,24,24,46,92%,276,44,88%,264,24,86%,44.57,8.47,85%,254.1,886.67,2017,1681
5,7171,klavir,24,24,43,86%,258,39,78%,234,11,39%,20.43,9.53,95%,285.9,846.33,2017,1681
6,55172,trubka,22,24,44,88%,264,50,100%,300,21,75%,39,6.53,65%,195.9,844.9,2017,1681
7,18172,housle,24,24,40,80%,240,42,84%,252,24,86%,44.57,8.6,86%,258,842.57,2017,1681
8,48171,trubka,24,24,41,82%,246,46,92%,276,23,82%,42.71,7.57,76%,227.1,839.81,2017,1681
9,57171,klavir,24,24,35,70%,210,42,84%,252,22,79%,40.86,9.07,91%,272.1,822.96,2017,1681
10,50172,lesni roh,24,24,43,86%,258,37,74%,222,22,79%,40.86,8.4,84%,252,820.86,2017,1681
11,68172,viola,24,24,43,86%,258,37,74%,222,22,79%,40.86,8.07,81%,242.1,810.96,2017,1681
12,61171,housle,24,24,40,80%,240,40,80%,240,22,79%,40.86,7.73,77%,231.9,800.76,2017,1681
13,11171,violoncello,24,24,31,62%,186,38,76%,228,23,82%,42.71,9.64,96%,289.2,793.91,2017,1681
14,5171,zobcova fletna,24,24,40,80%,240,33,66%,198,26,93%,48.29,8.21,82%,246.3,780.59,2017,1681
15,51171,klarinet,24,20,33,66%,198,40,80%,240,25,89%,46.43,8.4,84%,252,780.43,2017,1681
16,60171,violoncello,24,24,36,72%,216,38,76%,228,23,82%,42.71,7.67,77%,230.1,764.81,2017,1681
17,66172,klavir,24,24,31,62%,186,34,68%,204,13,46%,24.14,9.8,98%,294,756.14,2017,1681
18,20171,viola,24,22,28,56%,168,37,74%,222,19,68%,35.29,9.33,93%,279.9,751.19,2017,1681
19,56172,klarinet,20,24,32,64%,192,36,72%,216,16,57%,29.71,8.93,89%,267.9,749.61,2017,1681
20,47171,kytara,20,16,33,66%,198,39,78%,234,15,54%,27.86,8.33,83%,249.9,745.76,2017,1681
21,2171,zobcova fletna,24,24,35,70%,210,33,66%,198,16,57%,29.71,8.57,86%,257.1,742.81,2017,1681
22,49172,zobcova fletna,24,24,40,80%,240,32,64%,192,18,64%,33.43,7.47,75%,224.1,737.53,2017,1681
23,40171,pflona fletna,24,24,36,72%,216,37,74%,222,13,46%,24.14,7.47,75%,224.1,734.24,2017,1681
24,24171,violoncello,24,24,24,48%,144,33,66%,198,26,93%,48.29,9.53,95%,285.9,724.19,2017,1681
25,20171,housle,24,22,28,56%,168,37,74%,222,19,68%,35.29,8.33,83%,249.9,721.19,2017,1681
26,71172,trubka,24,24,27,54%,162,35,70%,210,16,57%,29.71,8.79,88%,263.7,713.41,2017,1681
27,45171,sOlovy zpev,24,24,38,76%,228,41,82%,246,21,75%,39,5.07,51%,152.1,713.1,2017,1681
28,15172,kytara,24,24,35,70%,210,32,64%,192,18,64%,33.43,7.6,76%,228,711.43,2017,1681
29,5171,klavir,24,24,40,80%,240,33,66%,198,26,93%,48.29,5.87,59%,176.1,710.39,2017,1681
30,26172,lesni roh,24,24,31,62%,186,31,62%,186,17,61%,31.57,8.53,85%,255.9,707.47,2017,1681
31,14172,klavir,22,22,33,66%,198,33,66%,198,17,61%,31.57,7.8,78%,234,705.57,2017,1681
32,16172,kytara,20,24,37,74%,222,34,68%,204,18,64%,33.43,6.67,67%,200.1,703.53,2017,1681
33,23171,klavir,24,24,41,82%,246,42,84%,252,23,82%,42.71,3.2,32%,96,684.71,2017,1681
34,70172,pfiena fletna,24,24,42,84%,252,34,68%,204,26,93%,48.29,4.4,44%,132,684.29,2017,1681
35,4171,pfiena fletna,24,24,43,86%,258,37,74%,222,17,61%,31.57,3.87,39%,116.1,675.67,2017,1681
36,52171,trombon,16,20,28,56%,168,30,60%,180,19,68%,35.29,8.53,85%,255.9,675.19,2017,1681
37,33171,housle,24,24,34,68%,204,36,72%,216,21,75%,39,5.6,56%,168,675,2017,1681
38,31172,housle,24,24,23,46%,138,34,68%,204,18,64%,33.43,8.29,83%,248.7,672.13,2017,1681
39,59172,sOlovy zpev,22,22,40,80%,240,28,56%,168,8,29%,14.86,6.67,67%,200.1,666.96,2017,1681
40,43171,housle,24,24,46,92%,276,34,68%,204,24,86%,44.57,3,30%,90,662.57,2017,1681
41,39171,solovy zpev,24,20,28,56%,168,30,60%,180,24,86%,44.57,7.33,73%,219.9,656.47,2017,1681
42,20171,sOlovy zpev,24,22,28,56%,168,37,74%,222,19,68%,35.29,6.14,61%,184.2,655.49,2017,1681
