TODROP,ID,SPECIALIZATION,GRADES,CZECH,CZECH1,CZECHKREDITY,MATH,MATH1,MATHJREDITY,HT,HT1,HTKREDITY,TAL,TAL1,TALKREDITY,SUM,YEAR,SCHOOLCOURSE_ID
0,003/18/1,klavir,48.0,46.0,92,276.0,38.0,76,228.0,22.0,96,49.74,"9,87",99,296.1,897.84,2018,1681
1,055/18/1,housle,48.0,44.0,88,264.0,35.0,70,210.0,18.0,78,40.7,"8,53",85,255.9,818.6,2018,1681
2,001/18/1,zobcova fletna,48.0,43.0,86,258.0,39.0,78,234.0,18.0,78,40.7,"7,67",77,230.1,810.8,2018,1681
3,034/18/1,klavir,48.0,41.0,82,246.0,41.0,82,246.0,17.0,74,38.43,"7,6",76,228.0,806.43,2018,1681
4,014/18/1,hoboj,48.0,43.0,86,258.0,37.0,74,222.0,22.0,96,49.74,"7,5",75,225.0,802.74,2018,1681
5,004/18/2,violoncello,48.0,44.0,88,264.0,42.0,84,252.0,19.0,83,42.96,"6,4",64,192.0,798.96,2018,1681
6,032/18/2,zobcova fletna,44.0,40.0,80,240.0,38.0,76,228.0,14.0,61,31.65,"8,33",83,249.9,793.55,2018,1681
7,023/18/2,trubka,48.0,46.0,92,276.0,35.0,70,210.0,20.0,87,45.22,"6,27",63,188.1,767.32,2018,1681
8,006/18/1,housle,48.0,37.0,74,222.0,30.0,60,180.0,22.0,96,49.74,"8,87",89,266.1,765.84,2018,1681
9,021/18/1,trubka,48.0,38.0,76,228.0,32.0,64,192.0,21.0,91,47.48,"8,21",82,246.3,761.78,2018,1681
10,062/18/1,soloq zpev,46.0,43.0,86,258.0,29.0,58,174.0,13.0,57,29.39,"8,13",81,243.9,751.29,2018,1681
11,064/18/2,housle,42.0,34.0,68,204.0,32.0,64,192.0,19.0,83,42.96,9.0,90,270.0,750.96,2018,1681
12,010/18/1,klavir,48.0,35.0,70,210.0,35.0,70,210.0,14.0,61,31.65,"8,2",82,246.0,745.65,2018,1681
