TODRPOP,ID,SPECIALIZATION,GRADES,MATH,MATH1,MATHKREDITY,CZECH,CZECH1,CZECHKREDITY,HT,HT1,HTKREDITY,TAL,TAL1,TALKREDITY,SUM,YEAR,SCHOOLCOURSE_ID
0,017/19/1,klavir,48.0,46.0,92.0,276.0,48.0,96.0,288.0,28.0,100.0,52.0,10.0,100.0,300.0,964.0,2019,1681
1,019/19/1,klavir,48.0,47.0,94.0,282.0,49.0,98.0,294.0,19.5,69.6,36.21,9.22,92.2,276.6,936.81,2019,1681
2,063/19/1,klavir,48.0,44.0,88.0,264.0,44.0,88.0,264.0,28.0,100.0,52.0,9.33,93.3,279.9,907.9,2019,1681
3,048/19/1,housle,48.0,40.0,80.0,240.0,46.0,92.0,276.0,21.5,76.8,39.93,9.88,98.8,296.4,900.33,2019,1681
4,079/19/2,hoboj,48.0,46.0,92.0,276.0,45.0,90.0,270.0,24.0,85.7,44.57,8.67,86.7,260.1,898.67,2019,1681
5,056/19/1,housle,48.0,35.0,70.0,210.0,42.0,84.0,252.0,19.5,69.6,36.21,10.0,100.0,300.0,846.21,2019,1681
6,075/19/1,trubka,48.0,33.0,66.0,198.0,42.0,84.0,252.0,24.5,87.5,45.5,10.0,100.0,300.0,843.5,2019,1681
7,073/19/1,klavir,48.0,38.0,76.0,228.0,42.0,84.0,252.0,25.0,89.3,46.43,8.78,87.8,263.4,837.83,2019,1681
8,088/19/1,lesniroh,48.0,35.0,70.0,210.0,39.0,78.0,234.0,23.5,83.9,43.64,10.0,100.0,300.0,835.64,2019,1681
9,008/19/1,klavir,48.0,43.0,86.0,258.0,47.0,94.0,282.0,21.5,76.8,39.93,6.78,67.8,203.4,831.33,2019,1681
10,015/19/1,harfa,48.0,42.0,84.0,252.0,34.0,68.0,204.0,22.0,78.6,40.86,9.44,94.4,283.2,828.06,2019,1681
11,038/19/1,klarinet,48.0,37.0,74.0,222.0,36.0,72.0,216.0,24.0,85.7,44.57,9.89,98.9,296.7,827.27,2019,1681
12,014/19/2,trubka,48.0,41.0,82.0,246.0,32.0,64.0,192.0,24.0,85.7,44.57,9.88,98.8,296.4,826.97,2019,1681
13,052/19/2,housle,48.0,27.0,54.0,162.0,44.0,88.0,264.0,26.5,94.6,49.21,10.0,100.0,300.0,823.21,2019,1681
14,005/19/1,sOlovY zpev,48.0,38.0,76.0,228.0,39.0,78.0,234.0,17.0,60.7,31.57,8.78,87.8,263.4,804.97,2019,1681
15,001/19/1,kytara,48.0,34.0,68.0,204.0,42.0,84.0,252.0,15.5,55.4,28.79,8.89,88.9,266.7,799.49,2019,1681
16,042/19/2,pi16nd fletna,48.0,37.0,74.0,222.0,36.0,72.0,216.0,15.5,55.4,28.79,9.44,94.4,283.2,797.99,2019,1681
17,066/19/1,klarinet,48.0,29.0,58.0,174.0,42.0,84.0,252.0,19.0,67.9,35.29,9.33,93.3,279.9,789.19,2019,1681
18,027/19/1,klavir,48.0,31.0,62.0,186.0,39.0,78.0,234.0,15.5,55.4,28.79,9.33,93.3,279.9,776.69,2019,1681
19,091/19/1,viola,48.0,30.0,60.0,180.0,34.0,68.0,204.0,23.0,82.1,42.71,10.0,100.0,300.0,774.71,2019,1681
20,043/19/1,housle,44.0,28.0,56.0,168.0,36.0,72.0,216.0,20.0,71.4,37.14,10.0,100.0,300.0,765.14,2019,1681
21,039/19/1,pfiend fletna,48.0,35.0,70.0,210.0,42.0,84.0,252.0,22.5,80.4,41.79,7.0,70.0,210.0,761.79,2019,1681
22,009/19/1,fagot,48.0,25.0,50.0,150.0,40.0,80.0,240.0,17.5,62.5,32.5,9.44,94.4,283.2,753.7,2019,1681
23,037/19/1,zobcova fletna,42.0,29.0,58.0,174.0,34.0,68.0,204.0,17.0,60.7,31.57,9.88,98.8,296.4,747.97,2019,1681
24,033/19/1,fagot,48.0,27.0,54.0,162.0,30.0,60.0,180.0,28.0,100.0,52.0,10.0,100.0,300.0,742.0,2019,1681
25,067/19/1,trombon,48.0,26.0,52.0,156.0,36.0,72.0,216.0,11.0,39.3,20.43,10.0,100.0,300.0,740.43,2019,1681
26,091/19/1,housle,48.0,30.0,60.0,180.0,34.0,68.0,204.0,23.0,82.1,42.71,8.56,85.6,256.8,731.51,2019,1681
27,080/19/2,klarinet,48.0,30.0,60.0,180.0,37.0,74.0,222.0,16.0,57.1,29.71,8.22,82.2,246.6,726.31,2019,1681
28,059/19/1,solovY zpev,48.0,36.0,72.0,216.0,28.0,56.0,168.0,12.5,44.6,23.21,9.0,90.0,270.0,725.21,2019,1681
29,078/19/1,kontrabas,48.0,28.0,56.0,168.0,34.0,68.0,204.0,17.0,60.7,31.57,9.0,90.0,270.0,721.57,2019,1681
30,022/19/2,solovY zpev,48.0,39.0,78.0,234.0,38.0,76.0,228.0,3.0,10.7,5.57,6.44,64.4,193.2,708.77,2019,1681
31,082/19/2,sOlovY zpev,48.0,29.0,58.0,174.0,39.0,78.0,234.0,27.0,96.4,50.14,6.67,66.7,200.1,706.24,2019,1681
32,083/19/1,lesn iroh,48.0,34.0,68.0,204.0,29.0,58.0,174.0,13.0,46.4,24.14,8.33,83.3,249.9,700.04,2019,1681
33,069/19/2,klavir,48.0,45.0,90.0,270.0,48.0,96.0,288.0,17.5,62.5,32.5,2.0,20.0,60.0,698.5,2019,1681
