TODROP,ID,RANK,SPECIALIZATION,GRADES,MATH,MATH1,MATHKREDITS,CZECH,CZECH1,CZECHKREDITY,HT,HT1,HTKREDITY,TAL,TAL1,TALKREDITY,SUM,17,18,19,20,YEAR,SCHOOLCOURSE_ID
0,1201,44,klavir,44.0,14.0,28.0,84.0,20.0,40.0,120.0,17.0,51.5,26.79,8.6,86.0,258.0,532.79,,,,,2020,1681
1,2201,57,zobcova liana,38.0,2.0,4.0,12.0,9.0,18.0,54.0,0.5,1.52,0.79,1.6,16.0,48.0,152.79,,,,,2020,1681
2,3201,22,viola,48.0,19.0,38.0,114.0,39.0,78.0,234.0,29.0,87.9,45.7,9.0,90.0,270.0,711.7,,,,,2020,1681
3,4201,34,violoncello,46.0,23.0,46.0,138.0,24.0,48.0,144.0,19.0,57.6,29.94,7.6,76.0,228.0,585.94,,,,,2020,1681
4,5201,31,ptitna fletna,48.0,37.0,74.0,222.0,43.0,86.0,258.0,28.0,84.8,44.12,2.0,20.0,60.0,632.12,,,,,2020,1681
5,6201,26,sOlovY zpev,48.0,38.0,76.0,228.0,35.0,70.0,210.0,25.0,75.8,39.39,5.4,54.0,162.0,687.39,,,,,2020,1681
6,7201,33,Ole' na fletna,48.0,11.0,22.0,66.0,27.0,54.0,162.0,23.0,69.7,36.24,9.6,96.0,288.0,600.24,,,,,2020,1681
7,8201,18,housle,48.0,44.0,88.0,264.0,40.0,80.0,240.0,21.0,63.6,33.09,5.4,54.0,162.0,747.09,,,,,2020,1681
8,9201,51,housle,48.0,21.0,42.0,126.0,35.0,70.0,210.0,15.5,47.0,24.42,1.8,18.0,54.0,462.42,,,,,2020,1681
9,10201,52,solovY zpev,44.0,8.0,16.0,48.0,11.0,22.0,66.0,8.5,25.8,13.39,7.8,78.0,234.0,405.39,,,,,2020,1681
10,11201,14,fagot,48.0,37.0,74.0,222.0,40.0,80.0,240.0,23.0,69.7,36.24,8.6,86.0,258.0,804.24,,,,,2020,1681
11,12201,16,klarinet,42.0,43.0,86.0,258.0,41.0,82.0,246.0,24.0,72.7,37.82,6.0,60.0,180.0,763.82,,,,,2020,1681
12,13201,32,trubka,36.0,29.0,58.0,174.0,28.0,56.0,168.0,14.5,43.9,22.85,7.6,76.0,228.0,628.85,,,,,2020,1681
13,14201,45,housle,38.0,36.0,72.0,216.0,30.0,60.0,180.0,20.0,60.6,31.52,1.0,10.0,30.0,495.52,,,,,2020,1681
14,15201,13,housle,48.0,33.0,66.0,198.0,42.0,84.0,252.0,27.0,81.8,42.55,8.8,88.0,264.0,804.55,,,,,2020,1681
15,16201,53,solovY zpev,28.0,13.0,26.0,78.0,16.0,32.0,96.0,12.5,37.9,19.7,5.8,58.0,174.0,395.7,,,,,2020,1681
16,17201,47,housle,48.0,18.0,36.0,108.0,15.0,30.0,90.0,13.5,40.9,21.27,6.8,68.0,204.0,471.27,,,,,2020,1681
