,,,Vysledky pfijimacfho fizenf pro Skolnf rok 202012021,,,,,,,,,,,,,,,,
,,,,,,Poiadf uchazedfi podle registradniho disla,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,OSP -,OSP -,OSP -,
,,,Hudebni,,,,,,,,,,OSP- HI,OSP - Ht,OSP - HI,,,,
Reg.,i.,Poiadi,,zS,M - body,"M-""",M - Kredity,Cj -,uoOy,cl,"-,,",Cj - kretlity,,,,Hudba,Hudba,Hudba,Celkem
,,,obor,,,,,,,,,,body,"""h",Kredity,,,,
,,,,,,,,,,,,,,,,bodv,"""/,",kreditv,
t20,,44.,klavir,"44,00","14,00","28,0","84,00","20,00",,"40,0",,"120,00","r7,00",,)(\7q,8.60,"86,0","258,00",{?? 7A
220,,57.,zobcov6 fl6tna,"38,00","2,00",4.0,"i2,00","9,00",,"18,0",,"54,00","0,50",l5?,0.19,r.60,"r6,0","48,00",ts) 1q
320,,22.,viola,"48,00","19,00",38.0,"114,00","39,00",,"78,0",,"234,00","29,00","87,9",45.70,"9,00",90.0,"210,00",711.70
420,,34.,violoncello,"46,00","23,00",46.0,"I 3 8,00","24,00",,"48,0",,"144,00","19,00",\76,)q qa,7.60,"16,0","228,00","585,94"
520,,31.,piidn6 fldtna,48.00,"37,00","74,0","222,00","43,00",,"86,0",,"25 8,00",28.00,"84,8","44,12","2,00",20.0,60.00,"632,)2"
620,,26,solovli zPEv,"48,00","38,00","76,0","228,00",35.00,,70.0,,"2r0,00",25.00,"75,8",39.39,540,54.0,"162,00","687,39"
720,,33,piidn6 fletna,"48,00","I 1,00",22.0,"66,00","27,00",,"54,0",,"162,00","23,00","69,7",)O.14,"9,60",96.0,"288,00","600,24"
820,,18.,housle,"48,00","44,00","88,0","264,00","40,00",,"80,0",,240.00,"21,00",63.6,"33,09","5,40",54.0,162.00,"74""7,09"
920,,,housle,"48,00","2t,00",l)o,"126,00","3 5,00",,"70,0",,"2 t0,00",15.50,47.0,)4 4),r.80,"r8,0",",s4.00",462^42
020,,52.,s6lovV zpdv,"44,00","8,00",16.0,"48,00","I 1,00",,22.0,,"66,00","8,50",25.8,r3.39,"7,80","78,0",234.00,40-s.39
)20,,"T4,",fagot,48.00,37.00,"74,0","222,00","40,00",,"80,0",,"240,00","23,00",6q.l,36.24,"8,60","86,0","258,00",804.24
220,,,klarinet,42.00,"43,00",86.0,"2s 8,00","41,00",,"82,0",,"246,00",24.00,72.1,"37,82","6,00","60,0","r80,00","763,82"
320,,32.,trubka,"36,00",2e.00,58.0,"174,00","28,00",,56.0,,"r68,00","14,50",43.9,22.85,"7,60",76.0,"228,00","628,85"
420,,45.,housle,"18,00","36,00",72.0,2 16.00,"30,00",,"60,0",,"r80,00","20,00",60.6,lt5?,1.00,"r 0,0","30,00",495.52
520,,,housle,48.00,"33,00","66,0","198,00",42.00,,84.0,,"252,00","21,00","81,8",,"8,80","88,0",t64.00,"804""55"
620,,53.,s6lovV zo6v,"28,00",r3.00,"26,0","78,00",16.00,,32.0,,e6.00,12.50,t7q,"19,70","s,80","58,0",I 74.00,395.70
720,,A-7,housie,"48""00","r8,00","36,0","r08,00","t5,00",,"30,0",,"90,00","13,50","40,9",21.27,6.80,"68,0",20.1.00,411.21
820,,L2.,cembalo,48.00,"33,00","66,0",r98.00,"46,00",,"92,0",,276.00,24.00,12.7,37.82,8.60,"86,0","258,00",817.82
9202,,Lt.,saxofon,48.00,39.00,78.0,234.00,44.00,,88.0,,"264,00",25.00,75.8,19'1c),"7,80",78.0,234.00,8r9.39
20201,,1A,klavir,38.00,33.00,66.0,"r98,00",30.00,,"60,0",,"r80,00",26.00,78.8,"40""97","8,40",84.0,"252,00",708.91
2120,,3.,violoncello,"48,00",45.00,90.0,"270,00",47.00,,"94,0",,"282,00",26.00,"78,8",40.97,"9,00","90,0",270.00,"910,91"
2220,,37.,solovy zp6v,44.00,r0.00,20.0,"60,00","3r,00",,62.0,,"r86,00",1.00,t'l l,"t1,33",9.00,90.0,210.00,
23201,,27.,kytara,48.00,16.00,52.0,"t56,00","43,00",,"86,0",,"258,00",6.50,50.0,r6.00,s.60,56.0,"r68,00","656,00"
2420,,23.,housle,48.00,"42""00",84.0,"252""00","3 t,00",,62.0,,"r86,00",7.00,5l 5,26.1q,"6,60",66.0,r98.00,"110,79"
2520,,40.,housle,"48,00","39,00","78,0",234.00,i6.00,,72.0,,"216,00",6.50,50.0,"26,00",1.00,i0.0,30.00,554.00
2620,,,klarinet,"48,00","41,00","82,0",246.00,"44,00",,"88,0",,"264,00",8.50,56 1,79 15,"4,80","48,0",t44.00,731.1-5
2120,,2L.,klavir,48.00,33.00,"66,0","198,00","3 3,00",,66.0,,"r98,00",23.00,69.t,36.24,"8,00","80,0",t40.00,720.24
2810,,E,violoncello,48.00,42.00,84.0,"2-52""00","3 8,00",,16.0,,"228,00",29.00,87.9,45.10,9.40,"94,0","282,00","85-5,70"
2920,,28.,housle,46.00,t4.00,48.0,144.00,3 7.00,,74.0,,222.00,"28,00",84.8,44.)2,"6,40",64.0,"r92,00","648,)2"
3020,,,trubka,-14.00,4-5.00,e0.0,"270""00",43.00,,86.0,,25 8.00,"23,00",69.1,,"7,20",72.0,"2 r6,00",824.24
3120,,30.,solovy zpdv,48.00,"26,00",5?n,156.00,37.00,,74.0,,222.00,25.00,75.8,"19,39",5.60,56.0,t68.00,633.39

3220t,,,klarinet,"48,00",38.00,"76,0","228,00","35,00","70,0","2r0,00",22^00,"66,7",,34.67,6.80,68.0,204.00,724.67,
33201,,56.,silov!zpdv,46.00,"r8,00",36.0,"r08,00","r4,00",28.0,"84,00",4.50,t16,,"7,09","t,00","t0,0","30,00",275.09,
34201,,,kvtara,"48,00",43.00,86.0,258.00,42.00,"84,0","2s2,00","30,00",90.9,,"47,21","t,60","76,0",228.00,"833,21",
3s20,r,50.,solovV zpdv,"46,00",22.00,"44,0",r32.00,"t4,00","28,0","84,00","17,00",sl 5,,"26,19","5,80","58,0","t14,00","462,79",
3620,,4.,piidn6 fletna,"48,00",44.00,"88,0",264.00,"41,00",82.0,"246,00","28,00","84,8",,"44,12",q?0,"92,0","216,00","878,12",
3720,,L.,klavir,"48,00","47,00","94,0",282.00,"45,00","90,0","270,00","32,00",970,,"50,42","9,20",q?o,"276,00","926,42",
3820,,38.,violoncello,"44,00","2r,00",00,r26.00,"3 8,00","76,0",228.00,"t4,00",A'A,,"22""06","5,00","50,0","r 50,00","570,06",
3920,,2.,harfa,"48,00","47,00","94,0","282,00","4l,00","82,0",246.00,"30,00",90.9,,A1 11,"9,60","96,0","288,00",9t t.27,
4020,,49.,bici ndstroie,"44,00",26.00,5?O,"156,00","28,00","56,0","68,00","7,00",)t ),,"I 1,03","2,80","28,0","84,00",463.03,
4120,,35.,kvtara,"48,00","25,00","s0,0","150,00","3 r,00","62,0","86,00","17,00",,,26.79,"5,80","58,0","174,00","584,79",
4220,,39.,trombon,"48,00","25,00","50,0","r 50,00","22,00","44,0","32,00","r8,00",545,,"28,36","6,80","68,0","204,00","562,36",
1)ZU,,z+ l-.,housle,"46,00",4+J.UU,"86,0","258,00","zJ,vv","50,0","s0,00",,"75,8",,,,,"60,00",551 19,
AA1rl1,,lJ.,trombon,"48,00",43.00,"86,0",258.00,"39,00","78,0","234,00","24,00","72,7",,"37,82","2,20","22,0","66,00","643,82",
4520,,_Ll.,violoncello,"48,00",32.00,64.0,192.00,"37,00","74,0","222,00","24,00","72,7",,"37,82",r0.00,"100,0","300,00","799,82",
4620,,25.,fagot,48.00,27.00,"54,0",r62.00,"3r,00","62,0","186,00","29,00","87,9",,45 70,"8,40","84,0","252,00",693.70,
4720,,36.,kytara,"48,00","34,00","68,0","204,00","40,00","80,0","240,00",21.00,"63,6",,1? Oq,"1,80","18,0",54.00,"579,09",
4820,,46.,"solovy zpdr,",48.00,25.00,"s0,0","150,00","37,00","14,0","222,00","2,00","6,1",,3.15,2.00,"20,0",60.00,"483, I 5",
4920,,48.,s6lovV zpdv,"48,00","21,00",4)O,"126,00","23,00","46,0","r 3 8,00",20.00,"60,6",,1l 5?,"4,00","40,0",120.00,"463,52",
49201-2,,A1,zobcov6 fl6tna,"48,00",21.00,"0,0","126,00","23,00","0,0","138,00","20,00","60,6",,tt5?,6.60,"66,0","r98,00",{dl 5?,
s0202,,J.,bici ndstroie,"48,00","42,00","84,0","252,00","38,00","76,0",228.00,25.00,"75,8",,lq 1q,"8,60","86,0","258,00","82s,39",
5120,,t7.,housle,"48,00","29,00",58.0,"174,00","38,00","76,0","228,00","20,00","60,6",,31.52,o)n,otr},216.00,-7\-7\),
s220,,54.,solovV zpdv,"48,00",r6.00,"32,0","96,00","33,00","66,0","r98,00","I 1,00",,,"17,33","1,00","r0,0",30.00,389.3 3,
s320,,,oloncello,"46,00","34,00","68,0","204,00","46,00",92.0,"276,00","2r,00","63,6",,11 0q,"9,40",q40,"282""00",84 r .09,
5420,,55.,oloncello,44.00,"20,00","40,0","r 20,00","26,00",5? 0,"156,00","r3,00",lq4,,"20,48","1,20","12,0",36.00,"376,48",
5520,,,oloncello,48.00,"44,00","88,0","264,00","42,00","84,0","2s2,00","22,00",66.1,,746-7,8.40,"84,0",252.00,"8_s0,67",
5620,,43.,klavir,"48,00","39,00","78,0","234,00","32,00","64,0","192,00",t4.00,A1,A,"22,06",IrtO,"14,0",42.00,53,"8,06"
,,Vypraveno,dne 17. 6.2020 v Praze,,,,,,,,,,,MgA. Filip Magram,,,,,
,,,,,,,GYMNAZIUM A I{IIDF IiN I 5KCI.'\,,,,,,,ieditel Skoly,,,,,
,,,,,,,HLAVNiHO ]tIiS ;A PT{THY,,,,,,,,,,,,
,,,,,,,,Kome riskel' o ni tn'| sti 9,,,,,,,,,,,
,,,,,,,,13tJ 00 Praha 3,,,,,,,,,,,
,,,,,,,,\1+n/,,,,,,f?w,,,,,
