ID,Termín,GRADES,MATH,CZECH,SUM,RANK,ADMITTED_ID
817001,1,"12,0",26,30,"68,0",203,nepřijat/a
817002,1,"12,0",29,39,"80,0",124,nepřijat/a
817003,1,"12,0",26,22,"60,0",257,nepřijat/a
817005,1,"12,0",46,36,"94,0",30,přijat/a
817006,1,"8,4",19,31,"58,4",267,nepřijat/a
817007,1,"10,6",20,22,"52,6",290,nepřijat/a
817008,1,"12,0",40,32,"84,0",93,nepřijat/a
817009,1,"12,0",23,28,"63,0",231,nepřijat/a
817010,1,"12,0",6,29,"47,0",309,nepřijat/a
817011,1,"6,2",34,31,"71,2",181,nepřijat/a
817012,1,"11,2",29,29,"69,2",194,nepřijat/a
817013,1,"12,0",46,47,"105,0",3,přijat/a
817014,1,"12,0",33,43,"88,0",62,přijat/a
817015,1,"12,0",40,43,"95,0",27,přijat/a
817016,1,"12,0",42,23,"77,0",143,nepřijat/a
817017,1,"10,6",31,23,"64,6",222,nepřijat/a
817018,1,"12,0",27,25,"64,0",226,nepřijat/a
817019,1,"11,4",23,26,"60,4",253,nepřijat/a
817020,1,"10,6",36,22,"68,6",199,nepřijat/a
817021,1,"11,2",30,30,"71,2",181,nepřijat/a
817022,1,"11,4",21,15,"47,4",308,nepřijat/a
817023,1,"12,0",46,32,"90,0",47,přijat/a
817024,1,"12,0",39,39,"90,0",47,přijat/a
817025,1,"11,4",20,23,"54,4",285,nepřijat/a
817026,1,"9,8",17,21,"47,8",307,nepřijat/a
817027,1,"12,0",31,26,"69,0",196,nepřijat/a
817028,1,"10,6",31,16,"57,6",270,nepřijat/a
817029,1,"12,0",26,27,"65,0",219,nepřijat/a
817030,1,"5,8",7,16,"28,8",345,nepřijat/a
817031,1,"12,0",41,42,"95,0",27,přijat/a
817032,1,"12,0",16,15,"43,0",321,nepřijat/a
817033,1,"12,0",38,34,"84,0",93,nepřijat/a
817034,1,"12,0",31,30,"73,0",167,nepřijat/a
817035,1,"12,0",38,50,"100,0",14,přijat/a
817036,1,"12,0",35,42,"89,0",55,přijat/a
817037,1,"12,0",38,30,"80,0",124,nepřijat/a
817038,1,"7,8",43,33,"83,8",102,nepřijat/a
817039,1,"10,0",20,14,"44,0",314,nepřijat/a
817040,1,"12,0",43,33,"88,0",62,přijat/a
817041,1,"8,0",23,27,"58,0",268,nepřijat/a
817042,1,"12,0",41,32,"85,0",83,nepřijat/a
817043,1,"11,4",39,37,"87,4",68,přijat/a
817044,1,"12,0",23,28,"63,0",231,nepřijat/a
817045,1,"7,0",35,30,"72,0",174,nepřijat/a
817046,1,"12,0",40,35,"87,0",71,přijat/a
817047,1,"11,2",25,28,"64,2",225,nepřijat/a
817048,2,"10,6",42,29,"81,6",113,nepřijat/a
817049,1,"8,2",15,17,"40,2",334,nepřijat/a
817050,1,"12,0",39,40,"91,0",43,přijat/a
817051,1,"9,0",44,43,"96,0",23,přijat/a
817052,1,"12,0",43,40,"95,0",27,přijat/a
817053,1,"12,0",34,40,"86,0",78,nepřijat/a
817054,1,"12,0",18,27,"57,0",273,nepřijat/a
817055,1,"8,4",41,35,"84,4",90,nepřijat/a
817056,1,"8,4",35,13,"56,4",275,nepřijat/a
817057,2,"12,0",24,35,"71,0",183,nepřijat/a
817058,2,"12,0",34,39,"85,0",83,nepřijat/a
817059,1,"12,0",36,36,"84,0",93,nepřijat/a
817060,1,"10,6",26,26,"62,6",235,nepřijat/a
817061,1,"12,0",29,38,"79,0",132,nepřijat/a
817062,1,"12,0",43,35,"90,0",47,přijat/a
817063,1,"7,2",32,34,"73,2",166,nepřijat/a
817064,1,"8,6",19,28,"55,6",282,nepřijat/a
817065,1,"9,4",20,21,"50,4",295,nepřijat/a
817066,1,"12,0",35,35,"82,0",108,nepřijat/a
817067,1,"2,0",20,17,"39,0",339,nepřijat/a
817068,1,"12,0",22,22,"56,0",277,nepřijat/a
817069,1,"12,0",23,28,"63,0",231,nepřijat/a
817070,1,"12,0",30,35,"77,0",143,nepřijat/a
817071,1,"12,0",46,49,"107,0",2,přijat/a
817072,1,"9,0",27,23,"59,0",264,nepřijat/a
817073,1,"4,8",11,18,"33,8",343,nepřijat/a
817074,2,"12,0",25,29,"66,0",213,nepřijat/a
817075,1,"12,0",33,32,"77,0",143,nepřijat/a
817076,1,"12,0",29,27,"68,0",203,nepřijat/a
817077,1,"12,0",32,36,"80,0",124,nepřijat/a
817078,1,"12,0",34,42,"88,0",62,přijat/a
817079,1,"12,0",34,43,"89,0",55,přijat/a
817080,1,"10,6",22,35,"67,6",207,nepřijat/a
817081,1,"5,8",33,35,"73,8",164,nepřijat/a
817082,1,"11,4",34,32,"77,4",139,nepřijat/a
817083,1,"7,0",30,23,"60,0",257,nepřijat/a
817084,1,"7,8",29,25,"61,8",244,nepřijat/a
817085,1,"12,0",30,32,"74,0",162,nepřijat/a
817086,1,"12,0",32,26,"70,0",188,nepřijat/a
817087,1,"12,0",19,31,"62,0",242,nepřijat/a
817088,1,"12,0",31,33,"76,0",152,nepřijat/a
817089,1,"12,0",35,30,"77,0",143,nepřijat/a
817090,1,"10,6",39,37,"86,6",76,nepřijat/a
817091,1,"9,8",41,27,"77,8",136,nepřijat/a
817092,1,"11,4",43,32,"86,4",77,nepřijat/a
817093,1,"12,0",46,45,"103,0",7,přijat/a
817094,1,"3,4",34,18,"55,4",283,nepřijat/a
817095,1,"10,8",23,26,"59,8",261,nepřijat/a
817096,1,"9,0",37,27,"73,0",167,nepřijat/a
817097,1,"10,6",17,31,"58,6",266,nepřijat/a
817099,1,"11,2",31,34,"76,2",150,nepřijat/a
817100,1,"12,0",25,24,"61,0",250,nepřijat/a
817101,1,"12,0",37,44,"93,0",35,přijat/a
817102,1,"12,0",42,45,"99,0",18,přijat/a
817103,1,"10,6",14,20,"44,6",311,nepřijat/a
817104,1,"12,0",40,33,"85,0",83,nepřijat/a
817105,1,"8,0",30,22,"60,0",257,nepřijat/a
817106,1,"12,0",36,38,"86,0",78,nepřijat/a
817107,1,"10,6",22,21,"53,6",286,nepřijat/a
817108,1,"8,4",25,17,"50,4",295,nepřijat/a
817109,1,"11,4",27,25,"63,4",229,nepřijat/a
817110,1,"12,0",39,38,"89,0",55,přijat/a
817111,1,"0,0",24,18,"42,0",328,nepřijat/a
817112,1,"11,4",29,20,"60,4",253,nepřijat/a
817113,1,"7,8",29,39,"75,8",156,nepřijat/a
817114,1,"7,4",18,16,"41,4",331,nepřijat/a
817115,1,"12,0",32,40,"84,0",93,nepřijat/a
817116,1,"9,2",19,12,"40,2",334,nepřijat/a
817117,1,"12,0",44,32,"88,0",62,přijat/a
817118,1,"12,0",39,34,"85,0",83,nepřijat/a
817119,1,"6,0",28,24,"58,0",268,nepřijat/a
817120,1,"12,0",29,21,"62,0",242,nepřijat/a
817121,1,"12,0",34,34,"80,0",124,nepřijat/a
817122,1,"11,4",32,33,"76,4",149,nepřijat/a
817123,1,"7,6",24,30,"61,6",247,nepřijat/a
817124,1,"2,2",23,37,"62,2",241,nepřijat/a
817125,1,"12,0",33,37,"82,0",108,nepřijat/a
817126,1,"7,6",25,29,"61,6",247,nepřijat/a
817127,1,"12,0",38,39,"89,0",55,přijat/a
817128,1,"11,4",24,31,"66,4",210,nepřijat/a
817129,1,"7,6",13,21,"41,6",329,nepřijat/a
817130,1,"11,4",26,18,"55,4",283,nepřijat/a
817131,1,"12,0",42,34,"88,0",62,přijat/a
817132,1,"10,6",31,20,"61,6",247,nepřijat/a
817133,1,"12,0",48,45,"105,0",3,přijat/a
817134,1,"12,0",48,45,"105,0",3,přijat/a
817135,1,"11,4",20,20,"51,4",292,nepřijat/a
817136,1,"12,0",33,36,"81,0",116,nepřijat/a
817137,1,"7,0",34,31,"72,0",174,nepřijat/a
817138,1,"11,4",29,26,"66,4",210,nepřijat/a
817139,1,"3,0",25,24,"52,0",291,nepřijat/a
817140,1,"12,0",10,19,"41,0",333,nepřijat/a
817141,1,"9,2",21,26,"56,2",276,nepřijat/a
817142,1,"9,0",10,24,"43,0",321,nepřijat/a
817143,1,"8,2",43,30,"81,2",115,nepřijat/a
817144,1,"9,2",16,20,"45,2",310,nepřijat/a
817145,1,"11,2",18,21,"50,2",297,nepřijat/a
817146,1,"12,0",36,24,"72,0",174,nepřijat/a
817147,1,"10,6",27,32,"69,6",192,nepřijat/a
817148,1,"11,4",27,30,"68,4",202,nepřijat/a
817149,1,"12,0",38,34,"84,0",93,nepřijat/a
817150,1,"8,2",15,14,"37,2",340,nepřijat/a
817151,1,"12,0",29,31,"72,0",174,nepřijat/a
817152,1,"0,2",33,18,"51,2",294,nepřijat/a
817153,1,"11,4",34,33,"78,4",134,nepřijat/a
817154,1,"6,2",24,39,"69,2",194,nepřijat/a
817155,1,"12,0",30,31,"73,0",167,nepřijat/a
817156,1,"4,2",23,32,"59,2",263,nepřijat/a
817157,1,"12,0",39,33,"84,0",93,nepřijat/a
817158,1,"12,0",40,30,"82,0",108,nepřijat/a
817159,1,"12,0",27,28,"67,0",208,nepřijat/a
817160,1,"0,0",23,20,"43,0",321,nepřijat/a
817161,1,"10,6",27,28,"65,6",216,nepřijat/a
817162,1,"12,0",46,45,"103,0",7,přijat/a
817163,1,"7,4",22,20,"49,4",299,nepřijat/a
817164,1,"10,6",20,12,"42,6",325,nepřijat/a
817165,1,"11,4",14,35,"60,4",253,nepřijat/a
817166,1,"12,0",19,17,"48,0",304,nepřijat/a
817167,1,"11,4",10,20,"41,4",331,nepřijat/a
817168,1,"12,0",44,38,"94,0",30,přijat/a
817169,1,"9,2",36,32,"77,2",142,nepřijat/a
817170,1,"12,0",37,27,"76,0",152,nepřijat/a
817171,1,"12,0",31,26,"69,0",196,nepřijat/a
817172,1,"12,0",42,45,"99,0",18,přijat/a
817173,1,"12,0",35,29,"76,0",152,nepřijat/a
817174,1,"12,0",28,31,"71,0",183,nepřijat/a
817175,1,"12,0",44,40,"96,0",23,přijat/a
817176,1,"0,0",30,30,"60,0",257,nepřijat/a
817177,1,"3,8",20,25,"48,8",301,nepřijat/a
817178,1,"12,0",44,27,"83,0",103,nepřijat/a
817179,1,"12,0",35,22,"69,0",196,nepřijat/a
817180,1,"12,0",42,30,"84,0",93,nepřijat/a
817181,1,"6,8",35,21,"62,8",234,nepřijat/a
817182,1,"9,4",28,25,"62,4",237,nepřijat/a
817183,1,"12,0",43,32,"87,0",70,přijat/a
817184,1,"12,0",11,21,"44,0",314,nepřijat/a
817185,1,"8,4",30,33,"71,4",179,nepřijat/a
817186,1,"10,6",26,38,"74,6",161,nepřijat/a
817187,1,"11,2",36,35,"82,2",106,nepřijat/a
817188,1,"12,0",44,34,"90,0",47,přijat/a
817189,1,"11,4",32,21,"64,4",223,nepřijat/a
817190,1,"6,6",20,23,"49,6",298,nepřijat/a
817191,1,"9,2",44,31,"84,2",91,nepřijat/a
817192,1,"10,6",39,39,"88,6",61,přijat/a
817193,1,"9,0",23,24,"56,0",277,nepřijat/a
817194,1,"9,2",27,17,"53,2",287,nepřijat/a
817195,1,"2,6",15,24,"41,6",329,nepřijat/a
817196,1,"6,0",26,29,"61,0",250,nepřijat/a
817197,2,"12,0",32,20,"64,0",226,nepřijat/a
817198,2,"11,2",35,38,"84,2",91,nepřijat/a
817199,2,"10,6",32,26,"68,6",199,nepřijat/a
817200,2,"12,0",25,40,"77,0",143,nepřijat/a
817201,2,"2,0",21,30,"53,0",288,nepřijat/a
817202,2,"12,0",45,41,"98,0",21,přijat/a
817203,2,"12,0",34,34,"80,0",124,nepřijat/a
817204,2,"12,0",43,36,"91,0",43,přijat/a
817205,2,"12,0",25,33,"70,0",188,nepřijat/a
817206,2,"12,0",42,39,"93,0",35,přijat/a
817207,2,"12,0",18,18,"48,0",304,nepřijat/a
817208,2,"12,0",43,39,"94,0",30,přijat/a
817209,2,"12,0",46,31,"89,0",55,přijat/a
817210,2,"8,4",15,20,"43,4",317,nepřijat/a
817211,2,"12,0",26,30,"68,0",203,nepřijat/a
817212,2,"12,0",16,20,"48,0",304,nepřijat/a
