ID,RANK,GRADES,,MATH,CZECH,VR,SUM
818002,104,"12,0",,26,41,32,"111,0"
818003,302,"12,0",,10,28,32,"82,0"
818004,301,"12,0",,9,27,34,"82,0"
818005,330,"12,0",,17,31,17,"77,0"
818006,390,"12,0",,3,20,29,"64,0"
818007,16,"12,0",,48,40,35,"135,0"
818008,148,"12,0",,30,35,28,"105,0"
818009,384,"8,4",,13,22,23,"66,4"
818010,332,"10,6",,13,26,27,"76,6"
818011,351,"12,0",,9,25,28,"74,0"
818012,100,"11,2",,34,32,34,"111,2"
818013,349,"11,2",,16,25,22,"74,2"
818014,21,"12,0",,36,43,41,"132,0"
818015,111,"12,0",,29,40,29,"110,0"
818016,11,"12,0",,41,46,38,"137,0"
818017,258,"12,0",,15,30,32,"89,0"
818018,194,"12,0",,25,32,30,"99,0"
818019,59,"12,0",,30,43,35,"120,0"
818020,14,"12,0",,39,46,38,"135,0"
818021,216,"12,0",,24,35,25,"96,0"
818022,350,"12,0",,15,18,29,"74,0"
818023,81,"12,0",,27,40,37,"116,0"
818024,344,"9,8",,11,28,26,"74,8"
818025,142,"10,6",,29,36,30,"105,6"
818026,75,"10,6",,30,38,39,"117,6"
818027,54,"12,0",,33,40,37,"122,0"
818028,20,"12,0",,31,43,46,"132,0"
818029,341,"10,6",,20,20,25,"75,6"
818030,291,"12,0",,20,30,22,"84,0"
818031,310,"11,2",,16,25,28,"80,2"
818032,284,"11,2",,19,27,27,"84,2"
818033,17,"12,0",,40,43,39,"134,0"
818034,283,"11,4",,14,27,32,"84,4"
818035,10,"12,0",,41,48,37,"138,0"
818036,129,"12,0",,24,32,39,"107,0"
818037,408,"6,8",,17,9,22,"54,8"
818038,78,"12,0",,30,38,37,"117,0"
818039,312,"12,0",,15,26,27,"80,0"
818040,117,"12,0",,30,33,33,"108,0"
818041,57,"12,0",,37,37,35,"121,0"
818042,36,"12,0",,40,41,35,"128,0"
818043,67,"12,0",,34,39,34,"119,0"
818044,73,"12,0",,38,38,30,"118,0"
818045,126,"11,4",,30,36,30,"107,4"
818046,295,"11,4",,16,32,24,"83,4"
818047,172,"12,0",,29,27,34,"102,0"
818048,71,"11,4",,39,44,24,"118,4"
818049,248,"12,0",,28,17,33,"90,0"
818050,237,"10,6",,20,31,31,"92,6"
818051,35,"12,0",,46,35,35,"128,0"
818052,411,"7,8",,13,14,19,"53,8"
818053,146,"12,0",,27,34,32,"105,0"
818054,64,"12,0",,34,34,39,"119,0"
818055,105,"12,0",,29,42,28,"111,0"
818056,60,"12,0",,43,31,34,"120,0"
818057,28,"12,0",,42,36,39,"129,0"
818058,257,"12,0",,17,27,33,"89,0"
818059,49,"12,0",,34,39,39,"124,0"
818060,29,"12,0",,32,46,39,"129,0"
818061,161,"11,2",,21,34,37,"103,2"
818062,125,"9,4",,28,31,39,"107,4"
818063,245,"11,2",,28,26,26,"91,2"
818064,179,"12,0",,22,27,40,"101,0"
818065,270,"12,0",,16,28,31,"87,0"
818066,212,"12,0",,27,23,34,"96,0"
818067,107,"12,0",,21,35,42,"110,0"
818068,381,"10,8",,15,16,25,"66,8"
818069,359,"10,6",,17,17,27,"71,6"
818070,365,"5,4",,27,16,22,"70,4"
818071,51,"12,0",,40,45,27,"124,0"
818072,167,"12,0",,30,31,30,"103,0"
818073,68,"12,0",,32,43,32,"119,0"
818074,199,"12,0",,23,30,33,"98,0"
818075,4,"12,0",,47,45,41,"145,0"
818076,215,"12,0",,27,31,26,"96,0"
818077,232,"11,4",,28,26,28,"93,4"
818078,157,"12,0",,26,39,27,"104,0"
818079,52,"12,0",,37,41,33,"123,0"
818080,322,"8,8",,12,26,31,"77,8"
818081,158,"10,6",,32,29,32,"103,6"
818082,45,"12,0",,35,41,37,"125,0"
818083,187,"12,0",,28,28,32,"100,0"
818084,168,"12,0",,29,32,30,"103,0"
818085,392,"6,2",,20,19,18,"63,2"
818086,221,"12,0",,19,33,31,"95,0"
818087,77,"12,0",,30,36,39,"117,0"
818088,293,"10,6",,18,23,32,"83,6"
818089,315,"8,4",,20,20,31,"79,4"
818090,38,"12,0",,41,44,31,"128,0"
818091,40,"12,0",,35,43,37,"127,0"
818092,364,"9,4",,16,20,25,"70,4"
818093,115,"5,6",,33,39,31,"108,6"
818094,130,"12,0",,23,36,36,"107,0"
818095,162,"11,2",,28,28,36,"103,2"
818096,87,"12,0",,31,39,33,"115,0"
