TODROP,ID,RANK,GRADES,MATH,CZECH,VR,SUM,YEAR,SCHOOLCOURSE_ID
0,820001,73,11.4,34.0,44.0,35.0,124.4,2020,1981
1,820002,183,12.0,34.0,32.0,32.0,110.0,2020,1981
2,820003,6,12.0,39.0,50.0,41.0,142.0,2020,1981
3,820004,53,6.0,34.0,48.0,41.0,129.0,2020,1981
4,820005,16,10.0,35.0,50.0,42.0,137.0,2020,1981
5,820006,15,10.6,39.0,48.0,40.0,137.6,2020,1981
6,820007,12,11.2,36.0,50.0,41.0,138.2,2020,1981
7,820009,137,12.0,35.0,35.0,34.0,116.0,2020,1981
8,820010,250,8.6,32.0,25.0,31.0,96.6,2020,1981
9,820011,222,12.0,35.0,30.0,26.0,103.0,2020,1981
10,820012,97,12.0,39.0,41.0,30.0,122.0,2020,1981
11,820013,185,12.0,41.0,32.0,25.0,110.0,2020,1981
12,820014,36,12.0,42.0,42.0,37.0,133.0,2020,1981
13,820015,2,12.0,46.0,49.0,38.0,145.0,2020,1981
14,820016,124,12.0,33.0,39.0,34.0,118.0,2020,1981
15,820017,337,12.0,13.0,26.0,25.0,76.0,2020,1981
16,820018,427,3.6,4.0,11.0,,18.6,2020,1981
17,820019,174,12.0,31.0,37.0,31.0,111.0,2020,1981
18,820020,306,12.0,16.0,25.0,30.0,83.0,2020,1981
19,820021,87,12.0,32.0,43.0,36.0,123.0,2020,1981
20,820022,37,12.0,45.0,43.0,33.0,133.0,2020,1981
21,820023,74,12.0,36.0,37.0,39.0,124.0,2020,1981
22,820024,54,12.0,43.0,35.0,39.0,129.0,2020,1981
23,820025,296,11.2,21.0,27.0,27.0,86.2,2020,1981
24,820026,19,12.0,48.0,45.0,32.0,137.0,2020,1981
25,820027,232,9.8,32.0,32.0,27.0,100.8,2020,1981
26,820028,80,12.0,39.0,43.0,30.0,124.0,2020,1981
27,820029,345,12.0,18.0,17.0,26.0,73.0,2020,1981
28,820030,55,12.0,36.0,45.0,36.0,129.0,2020,1981
29,820031,85,12.0,33.0,37.0,41.0,123.0,2020,1981
30,820032,245,11.4,30.0,25.0,31.0,97.4,2020,1981
31,820033,125,12.0,32.0,40.0,34.0,118.0,2020,1981
32,820034,239,12.0,34.0,29.0,24.0,99.0,2020,1981
33,820035,422,2.4,13.0,8.0,21.0,44.4,2020,1981
34,820036,395,6.8,16.0,14.0,23.0,59.8,2020,1981
35,820037,317,6.8,18.0,29.0,27.0,80.8,2020,1981
36,820038,229,12.0,17.0,33.0,39.0,101.0,2020,1981
37,820039,371,7.4,17.0,19.0,23.0,66.4,2020,1981
38,820040,380,12.0,10.0,17.0,26.0,65.0,2020,1981
39,820041,94,12.0,32.0,44.0,34.0,122.0,2020,1981
40,820042,108,12.0,39.0,30.0,39.0,120.0,2020,1981
41,820043,192,10.6,29.0,34.0,35.0,108.6,2020,1981
42,820044,285,12.0,26.0,29.0,23.0,90.0,2020,1981
43,820045,72,12.0,35.0,41.0,37.0,125.0,2020,1981
44,820046,112,12.0,39.0,39.0,30.0,120.0,2020,1981
45,820047,23,12.0,42.0,44.0,38.0,136.0,2020,1981
46,820048,43,12.0,40.0,47.0,33.0,132.0,2020,1981
47,820049,135,12.0,34.0,40.0,31.0,117.0,2020,1981
48,820050,315,12.0,20.0,20.0,29.0,81.0,2020,1981
49,820051,233,12.0,26.0,29.0,33.0,100.0,2020,1981
50,820052,113,11.4,40.0,32.0,36.0,119.4,2020,1981
51,820054,153,12.0,34.0,34.0,34.0,114.0,2020,1981
52,820055,38,12.0,41.0,48.0,32.0,133.0,2020,1981
53,820056,339,11.4,16.0,20.0,28.0,75.4,2020,1981
54,820057,336,7.0,24.0,14.0,31.0,76.0,2020,1981
55,820058,268,9.6,35.0,14.0,35.0,93.6,2020,1981
56,820059,147,12.0,36.0,40.0,27.0,115.0,2020,1981
57,820060,386,8.8,13.0,22.0,20.0,63.8,2020,1981
58,820061,312,10.0,24.0,28.0,20.0,82.0,2020,1981
59,820062,102,12.0,32.0,43.0,34.0,121.0,2020,1981
60,820063,404,10.6,6.0,21.0,19.0,56.6,2020,1981
61,820064,75,12.0,40.0,35.0,37.0,124.0,2020,1981
62,820065,98,12.0,38.0,42.0,30.0,122.0,2020,1981
63,820066,177,10.0,41.0,32.0,28.0,111.0,2020,1981
64,820067,83,12.0,42.0,42.0,28.0,124.0,2020,1981
65,820068,50,6.4,33.0,49.0,42.0,130.4,2020,1981
66,820070,258,12.0,19.0,27.0,37.0,95.0,2020,1981
67,820071,189,12.0,30.0,34.0,33.0,109.0,2020,1981
68,820072,335,5.4,24.0,19.0,28.0,76.4,2020,1981
69,820073,11,12.0,43.0,46.0,38.0,139.0,2020,1981
70,820074,26,10.6,36.0,49.0,39.0,134.6,2020,1981
71,820075,58,12.0,37.0,43.0,36.0,128.0,2020,1981
72,820076,180,9.2,40.0,31.0,30.0,110.2,2020,1981
73,820077,96,12.0,31.0,47.0,32.0,122.0,2020,1981
74,820078,41,12.0,44.0,42.0,34.0,132.0,2020,1981
75,820079,100,12.0,26.0,43.0,40.0,121.0,2020,1981
76,820080,40,12.0,41.0,43.0,36.0,132.0,2020,1981
77,820081,160,12.0,25.0,40.0,36.0,113.0,2020,1981
78,820082,369,6.0,10.0,27.0,24.0,67.0,2020,1981
79,820083,186,12.0,38.0,36.0,24.0,110.0,2020,1981
80,820084,414,4.0,15.0,9.0,25.0,53.0,2020,1981
81,820085,388,7.8,18.0,9.0,28.0,62.8,2020,1981
82,820086,78,12.0,40.0,42.0,30.0,124.0,2020,1981
83,820087,123,12.0,31.0,40.0,35.0,118.0,2020,1981
84,820088,195,9.8,24.0,38.0,36.0,107.8,2020,1981
85,820089,412,6.4,18.0,13.0,17.0,54.4,2020,1981
86,820090,301,10.0,19.0,31.0,25.0,85.0,2020,1981
87,820091,194,12.0,29.0,33.0,34.0,108.0,2020,1981
88,820092,169,10.6,33.0,33.0,35.0,111.6,2020,1981
89,820093,140,12.0,28.0,33.0,42.0,115.0,2020,1981
90,820094,378,4.6,24.0,15.0,22.0,65.6,2020,1981
91,820095,56,12.0,42.0,35.0,39.0,128.0,2020,1981
92,820096,331,12.0,14.0,25.0,27.0,78.0,2020,1981
93,820097,14,12.0,37.0,47.0,42.0,138.0,2020,1981
94,820098,313,8.4,15.0,27.0,31.0,81.4,2020,1981
95,820099,325,4.0,30.0,14.0,31.0,79.0,2020,1981
96,820100,105,6.4,37.0,37.0,40.0,120.4,2020,1981
97,820101,8,12.0,45.0,45.0,39.0,141.0,2020,1981
98,820102,163,11.2,32.0,39.0,30.0,112.2,2020,1981
99,820103,413,12.0,7.0,35.0,,54.0,2020,1981
100,820105,380,12.0,10.0,17.0,26.0,65.0,2020,1981
101,820106,267,9.8,31.0,25.0,28.0,93.8,2020,1981
102,820107,262,12.0,20.0,32.0,31.0,95.0,2020,1981
103,820108,410,10.0,6.0,9.0,30.0,55.0,2020,1981
104,820109,242,12.0,31.0,31.0,24.0,98.0,2020,1981
105,820110,248,12.0,29.0,35.0,21.0,97.0,2020,1981
106,820111,67,12.0,34.0,39.0,41.0,126.0,2020,1981
107,820112,148,12.0,36.0,41.0,26.0,115.0,2020,1981
108,820113,150,11.4,41.0,38.0,24.0,114.4,2020,1981
109,820114,182,12.0,23.0,40.0,35.0,110.0,2020,1981
110,820115,196,10.6,33.0,30.0,34.0,107.6,2020,1981
111,820116,321,11.4,24.0,24.0,21.0,80.4,2020,1981
112,820117,25,9.8,41.0,45.0,39.0,134.8,2020,1981
113,820118,57,12.0,43.0,36.0,37.0,128.0,2020,1981
114,820119,225,12.0,22.0,34.0,34.0,102.0,2020,1981
115,820120,237,12.0,29.0,26.0,32.0,99.0,2020,1981
116,820121,344,9.2,7.0,28.0,29.0,73.2,2020,1981
117,820122,365,6.2,17.0,25.0,20.0,68.2,2020,1981
118,820123,254,6.4,32.0,31.0,26.0,95.4,2020,1981
119,820124,3,12.0,43.0,49.0,40.0,144.0,2020,1981
120,820125,109,12.0,35.0,38.0,35.0,120.0,2020,1981
121,820126,22,12.0,42.0,41.0,41.0,136.0,2020,1981
122,820127,411,6.4,10.0,14.0,24.0,54.4,2020,1981
123,820128,101,12.0,32.0,41.0,36.0,121.0,2020,1981
124,820129,292,11.2,23.0,27.0,27.0,88.2,2020,1981
125,820130,343,4.6,23.0,19.0,27.0,73.6,2020,1981
126,820131,423,4.8,8.0,6.0,23.0,41.8,2020,1981
127,820132,360,12.0,16.0,18.0,24.0,70.0,2020,1981
128,820133,111,12.0,29.0,46.0,33.0,120.0,2020,1981
129,820135,384,9.2,13.0,13.0,29.0,64.2,2020,1981
130,820136,20,11.2,41.0,43.0,41.0,136.2,2020,1981
131,820137,28,12.0,38.0,47.0,37.0,134.0,2020,1981
132,820138,197,4.0,28.0,36.0,39.0,107.0,2020,1981
133,820139,202,10.6,38.0,32.0,26.0,106.6,2020,1981
134,820140,340,10.4,17.0,22.0,25.0,74.4,2020,1981
135,820141,240,10.6,27.0,30.0,31.0,98.6,2020,1981
136,820142,92,12.0,36.0,37.0,37.0,122.0,2020,1981
137,820143,224,7.6,29.0,33.0,33.0,102.6,2020,1981
138,820144,357,9.4,8.0,24.0,30.0,71.4,2020,1981
139,820145,145,12.0,36.0,35.0,32.0,115.0,2020,1981
140,820146,165,12.0,37.0,28.0,35.0,112.0,2020,1981
141,820147,308,11.4,18.0,23.0,30.0,82.4,2020,1981
142,820148,78,12.0,40.0,42.0,30.0,124.0,2020,1981
143,820149,418,12.0,,,37.0,49.0,2020,1981
144,820150,99,10.6,37.0,41.0,33.0,121.6,2020,1981
145,820151,33,11.4,46.0,41.0,35.0,133.4,2020,1981
146,820152,66,11.4,38.0,44.0,33.0,126.4,2020,1981
147,820153,128,12.0,38.0,37.0,31.0,118.0,2020,1981
148,820154,208,12.0,27.0,39.0,28.0,106.0,2020,1981
149,820155,48,12.0,43.0,43.0,33.0,131.0,2020,1981
150,820156,4,12.0,44.0,49.0,39.0,144.0,2020,1981
151,820157,64,12.0,43.0,40.0,32.0,127.0,2020,1981
152,820158,176,12.0,31.0,39.0,29.0,111.0,2020,1981
153,820159,303,8.6,16.0,30.0,29.0,83.6,2020,1981
154,820160,209,9.8,39.0,27.0,30.0,105.8,2020,1981
155,820161,390,9.0,8.0,21.0,24.0,62.0,2020,1981
156,820163,304,11.4,31.0,20.0,21.0,83.4,2020,1981
157,820164,247,12.0,21.0,29.0,35.0,97.0,2020,1981
158,820165,361,12.0,21.0,19.0,18.0,70.0,2020,1981
159,820166,401,10.6,10.0,16.0,21.0,57.6,2020,1981
160,820167,290,10.6,21.0,27.0,30.0,88.6,2020,1981
161,820168,149,11.4,29.0,39.0,35.0,114.4,2020,1981
162,820169,13,12.0,38.0,46.0,42.0,138.0,2020,1981
163,820170,407,7.6,16.0,14.0,18.0,55.6,2020,1981
164,820171,309,11.4,21.0,27.0,23.0,82.4,2020,1981
165,820172,44,10.6,46.0,34.0,41.0,131.6,2020,1981
166,820173,142,12.0,38.0,30.0,35.0,115.0,2020,1981
167,820174,24,12.0,45.0,39.0,39.0,135.0,2020,1981
168,820175,51,11.4,34.0,47.0,38.0,130.4,2020,1981
169,820176,188,11.2,30.0,33.0,35.0,109.2,2020,1981
170,820177,119,10.6,38.0,38.0,32.0,118.6,2020,1981
171,820178,363,12.0,17.0,14.0,26.0,69.0,2020,1981
172,820179,354,10.8,20.0,23.0,18.0,71.8,2020,1981
173,820180,332,12.0,14.0,31.0,21.0,78.0,2020,1981
174,820181,257,11.2,35.0,21.0,28.0,95.2,2020,1981
175,820182,359,8.4,30.0,13.0,19.0,70.4,2020,1981
176,820183,52,12.0,37.0,44.0,37.0,130.0,2020,1981
177,820184,179,10.4,39.0,26.0,35.0,110.4,2020,1981
178,820185,311,8.0,24.0,22.0,28.0,82.0,2020,1981
