TODROP,RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,86,28623,1.7690000000000001,14.0,20.0,34.0,29,42,106.76899999999999,0,2017,2081
1,87,79791,1.568,14.0,12.0,26.0,43,36,106.568,0,2017,2081
2,88,17061,1.0,16.0,20.0,36.0,38,31,106.0,0,2017,2081
3,89,44367,2.0,17.0,18.0,35.0,36,33,106.0,0,2017,2081
4,89,41661,2.0,21.0,18.0,39.0,38,27,106.0,0,2017,2081
5,91,45843,2.0,12.0,17.0,29.0,41,34,106.0,0,2017,2081
6,92,98241,2.0,14.0,15.0,29.0,31,44,106.0,0,2017,2081
7,93,12633,1.868,19.0,20.0,39.0,33,32,105.868,0,2017,2081
8,94,73887,1.868,16.0,12.0,28.0,40,36,105.868,0,2017,2081
9,95,58635,1.568,13.0,18.0,31.0,34,39,105.568,0,2017,2081
10,96,83481,1.531,10.0,18.0,28.0,35,41,105.531,0,2017,2081
11,97,50025,2.0,17.0,20.0,37.0,36,30,105.0,0,2017,2081
12,98,73149,2.0,13.0,17.0,30.0,40,33,105.0,0,2017,2081
13,99,65769,2.0,16.0,15.0,31.0,36,36,105.0,0,2017,2081
14,100,22965,2.0,18.0,22.0,40.0,38,24,104.0,0,2017,2081
15,101,45597,2.0,19.0,21.0,40.0,32,30,104.0,0,2017,2081
16,102,90123,2.0,12.0,18.0,30.0,36,36,104.0,0,2017,2081
17,103,47073,2.0,18.0,16.0,34.0,34,34,104.0,0,2017,2081
18,104,80037,2.0,13.0,15.0,28.0,40,34,104.0,0,2017,2081
19,104,57897,2.0,16.0,15.0,31.0,38,33,104.0,0,2017,2081
20,106,70197,1.67,11.0,19.0,30.0,35,37,103.67,0,2017,2081
21,107,25179,2.0,14.0,20.0,34.0,33,34,103.0,0,2017,2081
22,108,21735,2.0,14.0,19.0,33.0,34,34,103.0,0,2017,2081
23,109,89631,2.0,10.0,16.0,26.0,31,44,103.0,0,2017,2081
24,110,20259,1.901,16.0,21.0,37.0,36,28,102.90100000000001,0,2017,2081
25,111,42645,1.901,13.0,20.0,33.0,39,29,102.90100000000001,0,2017,2081
26,112,31821,1.7990000000000002,15.0,18.0,33.0,35,33,102.79899999999999,0,2017,2081
27,113,85203,1.7690000000000001,17.0,19.0,36.0,36,29,102.76899999999999,0,2017,2081
