RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID
86,28623,"1,769","14,00","20,00","34,00",29,42,"106,769",0
87,79791,"1,568","14,00","12,00","26,00",43,36,"106,568",0
88,17061,1,"16,00","20,00","36,00",38,31,"106,000",0
89,44367,2,"17,00","18,00","35,00",36,33,"106,000",0
89,41661,2,"21,00","18,00","39,00",38,27,"106,000",0
91,45843,2,"12,00","17,00","29,00",41,34,"106,000",0
92,98241,2,"14,00","15,00","29,00",31,44,"106,000",0
93,12633,"1,868","19,00","20,00","39,00",33,32,"105,868",0
94,73887,"1,868","16,00","12,00","28,00",40,36,"105,868",0
95,58635,"1,568","13,00","18,00","31,00",34,39,"105,568",0
96,83481,"1,531","10,00","18,00","28,00",35,41,"105,531",0
97,50025,2,"17,00","20,00","37,00",36,30,"105,000",0
98,73149,2,"13,00","17,00","30,00",40,33,"105,000",0
99,65769,2,"16,00","15,00","31,00",36,36,"105,000",0
100,22965,2,"18,00","22,00","40,00",38,24,"104,000",0
101,45597,2,"19,00","21,00","40,00",32,30,"104,000",0
102,90123,2,"12,00","18,00","30,00",36,36,"104,000",0
103,47073,2,"18,00","16,00","34,00",34,34,"104,000",0
104,80037,2,"13,00","15,00","28,00",40,34,"104,000",0
104,57897,2,"16,00","15,00","31,00",38,33,"104,000",0
106,70197,"1,67","11,00","19,00","30,00",35,37,"103,670",0
107,25179,2,"14,00","20,00","34,00",33,34,"103,000",0
108,21735,2,"14,00","19,00","33,00",34,34,"103,000",0
109,89631,2,"10,00","16,00","26,00",31,44,"103,000",0
110,20259,"1,901","16,00","21,00","37,00",36,28,"102,901",0
111,42645,"1,901","13,00","20,00","33,00",39,29,"102,901",0
112,31821,"1,799","15,00","18,00","33,00",35,33,"102,799",0
113,85203,"1,769","17,00","19,00","36,00",36,29,"102,769",0
114,23211,2,"20,00","22,00","42,00",34,24,"102,000",0
115,33297,2,"17,00","20,00","37,00",36,27,"102,000",0
116,72411,2,"16,00","18,00","34,00",28,38,"102,000",0
117,32313,"1,802","18,00","15,00","33,00",29,38,"101,802",0
118,82251,"1,531","14,00","18,00","32,00",35,33,"101,531",0
119,56175,2,"17,00","20,00","37,00",35,27,"101,000",0
120,89139,2,"13,00","18,00","31,00",36,32,"101,000",0
121,56421,2,"13,00","15,00","28,00",36,35,"101,000",0
122,54945,"1,901","17,00","17,00","34,00",33,32,"100,901",0
123,65277,"1,901","14,00","19,00","33,00",42,24,"100,901",0
123,22719,"1,901","18,00","19,00","37,00",26,36,"100,901",0
125,42153,"1,534","15,00","20,00","35,00",29,35,"100,534",0
126,37479,2,"16,00","21,00","37,00",31,30,"100,000",0
127,95535,2,"7,00","19,00","26,00",28,44,"100,000",0
128,57159,2,"15,00","18,00","33,00",35,30,"100,000",0
129,69213,"1,802","10,00","17,00","27,00",34,37,"99,802",0
130,31329,"1,67","20,00","21,00","41,00",29,28,"99,670",0
131,32805,"1,667","13,00","17,00","30,00",33,35,"99,667",0
132,71427,2,"10,00","18,00","28,00",34,35,"99,000",0
132,77085,2,"14,00","18,00","32,00",30,35,"99,000",0
134,22473,2,"15,00","17,00","32,00",32,33,"99,000",0
135,63801,2,"14,00","16,00","30,00",37,30,"99,000",0
136,37971,"1,901","12,00","21,00","33,00",36,28,"98,901",0
137,58143,"1,901","14,00","18,00","32,00",35,30,"98,901",0
138,95289,2,"14,00","19,00","33,00",28,35,"98,000",0
138,19275,2,"17,00","19,00","36,00",33,27,"98,000",0
140,79299,2,"13,00","16,00","29,00",32,35,"98,000",0
141,39693,"1,901","12,00","19,00","31,00",38,27,"97,901",0
142,29607,"1,901","15,00","19,00","34,00",30,32,"97,901",0
143,71919,1,"15,00","21,00","36,00",37,23,"97,000",0
144,74133,2,"9,00","20,00","29,00",37,29,"97,000",0
144,49287,2,"16,00","20,00","36,00",35,24,"97,000",0
146,46089,2,"15,00","19,00","34,00",35,26,"97,000",0
146,81513,2,"13,00","19,00","32,00",31,32,"97,000",0
148,20997,2,"14,00","18,00","32,00",25,38,"97,000",0
149,96765,2,"8,00","15,00","23,00",36,36,"97,000",0
150,26409,"1,901","15,00","19,00","34,00",32,29,"96,901",0
151,17553,"1,6","16,00","17,00","33,00",25,37,"96,600",0
152,30837,"1,531","16,00","19,00","35,00",21,39,"96,531",0
153,66261,"1,531","15,00","16,00","31,00",35,29,"96,531",0
154,21981,2,"11,00","17,00","28,00",40,26,"96,000",0
154,10665,2,"15,00","17,00","32,00",32,30,"96,000",0
156,10419,2,"17,00","16,00","33,00",35,26,"96,000",0
157,94797,2,"14,00","14,00","28,00",39,27,"96,000",0
157,17799,2,"17,00","14,00","31,00",31,32,"96,000",0
159,16077,"1,901","14,00","19,00","33,00",31,30,"95,901",0
160,37725,"1,868","20,00","21,00","41,00",29,24,"95,868",0
161,12879,"1,802","11,00","19,00","30,00",29,35,"95,802",0
162,75363,"1,432","14,00","16,00","30,00",30,34,"95,432",0
163,41907,2,"13,00","22,00","35,00",33,25,"95,000",0
164,22227,2,"18,00","21,00","39,00",33,21,"95,000",0
165,62571,2,"11,00","16,00","27,00",32,34,"95,000",0
165,19029,2,"13,00","16,00","29,00",28,36,"95,000",0
165,64539,2,"13,00","16,00","29,00",29,35,"95,000",0
168,75609,"1,099","14,00","10,00","24,00",30,39,"94,099",0
169,61341,2,"13,00","18,00","31,00",30,31,"94,000",0
169,49779,2,"14,00","18,00","32,00",34,26,"94,000",0
171,66507,2,"11,00","17,00","28,00",41,23,"94,000",0
172,43875,"1,901","16,00","15,00","31,00",24,37,"93,901",0
173,29361,"1,802","17,00","16,00","33,00",28,31,"93,802",0
174,25425,"1,769","15,00","22,00","37,00",18,37,"93,769",0
175,70935,"1,769","13,00","15,00","28,00",38,26,"93,769",0
176,36249,"1,367","18,00","16,00","34,00",27,31,"93,367",0
177,86433,2,"10,00","19,00","29,00",32,30,"93,000",0
177,73641,2,"10,00","19,00","29,00",34,28,"93,000",0
179,64785,2,"17,00","17,00","34,00",22,35,"93,000",0
180,23703,2,"19,00","14,00","33,00",27,31,"93,000",0
180,87417,2,"9,00","14,00","23,00",30,38,"93,000",0
180,35265,2,"16,00","14,00","30,00",32,29,"93,000",0
183,75117,"1,799","14,00","14,00","28,00",36,27,"92,799",0
184,24687,"1,568","14,00","20,00","34,00",21,36,"92,568",0
185,31083,"1,531","14,00","20,00","34,00",34,23,"92,531",0
186,11157,2,"15,00","18,00","33,00",29,28,"92,000",0
187,82005,2,"9,00","16,00","25,00",35,30,"92,000",0
188,82743,2,"15,00","15,00","30,00",24,36,"92,000",0
189,97011,"1,868","14,00","14,00","28,00",32,30,"91,868",0
190,41169,"1,802","12,00","16,00","28,00",30,32,"91,802",0
191,99225,"1,7","12,00","18,00","30,00",29,31,"91,700",0
192,84711,"1,67","12,00","18,00","30,00",29,31,"91,670",0
193,92337,"1,534","11,00","17,00","28,00",22,40,"91,534",0
194,17307,"1,432","19,00","21,00","40,00",31,19,"91,432",0
195,54207,2,"16,00","18,00","34,00",35,20,"91,000",0
196,68967,2,"14,00","17,00","31,00",32,26,"91,000",0
197,97503,2,"9,00","16,00","25,00",34,30,"91,000",0
197,75855,2,"12,00","16,00","28,00",31,30,"91,000",0
199,50517,2,"16,00","20,00","36,00",27,25,"90,000",0
200,50763,2,"10,00","18,00","28,00",24,36,"90,000",0
201,99717,2,"8,00","17,00","25,00",34,29,"90,000",0
202,72903,2,"13,00","16,00","29,00",28,31,"90,000",0
203,42399,"1,901","14,00","14,00","28,00",26,34,"89,901",0
204,91845,"1,469","8,00","14,00","22,00",33,33,"89,469",0
205,45351,"1,367","17,00","21,00","38,00",23,27,"89,367",0
206,40677,"1,069","10,00","19,00","29,00",24,35,"89,069",0
207,34281,2,"15,00","18,00","33,00",29,25,"89,000",0
207,95781,2,"12,00","18,00","30,00",27,30,"89,000",0
209,77331,2,"11,00","15,00","26,00",26,35,"89,000",0
210,47811,"1,802","12,00","15,00","27,00",35,25,"88,802",0
211,87909,"1,568","12,00","11,00","23,00",27,37,"88,568",0
212,15339,2,"12,00","15,00","27,00",35,24,"88,000",0
212,20505,2,"14,00","15,00","29,00",29,28,"88,000",0
214,64293,2,"11,00","13,00","24,00",36,26,"88,000",0
