RANK,ID,SUM,GRADES,VR,SP,VR+SP,CZECH,MATH,ADMITTED_ID
1,38921,"139,000","2,000",20,23,43,48,46,1
2,60391,"132,000","2,000",16,20,36,44,50,1
3,67397,"130,000","2,000",17,23,40,48,40,1
4,19937,"129,000","2,000",20,23,43,46,38,1
5,61747,"129,000","2,000",14,21,35,45,47,1
6,82087,"129,000","2,000",20,19,39,40,48,1
7,80053,"128,000","2,000",17,16,33,47,46,1
8,48639,"127,000","2,000",18,23,41,49,35,1
9,85251,"127,000","2,000",16,20,36,45,44,1
10,46605,"126,000","2,000",11,19,30,44,50,1
11,59939,"125,890","1,890",19,21,40,45,39,1
12,18129,"123,890","1,890",15,22,37,40,45,1
13,67849,"123,000","2,000",12,21,33,47,41,1
14,51577,"123,000","2,000",19,20,39,43,39,1
15,11123,"122,000","2,000",12,23,35,46,39,1
16,68979,"122,000","2,000",14,21,35,45,40,1
17,88415,"119,000","2,000",18,20,38,45,34,1
18,73725,"119,000","2,000",11,20,31,38,48,1
19,41407,"118,000","2,000",16,22,38,46,32,1
20,72821,"117,000","2,000",12,18,30,39,46,1
21,22197,"116,000","2,000",12,21,33,40,41,1
22,23553,"116,000","2,000",15,20,35,45,34,1
23,53611,"116,000","2,000",13,19,32,44,38,1
24,81861,"115,890","1,890",14,20,34,39,41,1
25,71465,"115,333","1,333",15,21,36,36,42,1
26,88867,"115,330","1,330",14,21,35,41,38,1
27,16773,"115,000","2,000",14,22,36,37,40,1
28,83443,"115,000","2,000",18,18,36,39,38,1
29,75307,"114,000","2,000",15,19,34,36,42,1
30,78923,"113,000","2,000",12,20,32,40,39,1
31,39147,"112,000","2,000",14,23,37,32,41,1
32,76211,"112,000","2,000",13,17,30,45,35,1
33,61069,"111,000","2,000",13,22,35,45,29,1
34,36209,"111,000","2,000",15,21,36,35,38,1
35,17451,"111,000","2,000",12,21,33,40,36,1
36,69657,"111,000","2,000",16,19,35,37,37,1
37,24683,"111,000","2,000",11,18,29,41,39,1
38,51125,"111,000","2,000",17,15,32,38,39,1
39,26039,"110,780","1,780",11,22,33,35,41,1
40,67623,"110,000","2,000",13,20,33,46,29,1
41,52481,"109,890","1,890",13,18,31,42,35,1
42,50673,"109,780","1,780",15,21,36,36,36,1
43,54741,"109,000","2,000",8,20,28,38,41,1
44,18581,"108,000","2,000",11,20,31,42,33,1
45,54289,"108,000","2,000",13,18,31,33,42,1
46,84799,"108,000","2,000",16,17,33,39,34,1
47,43893,"107,000","2,000",9,24,33,38,34,1
48,18807,"107,000","2,000",11,23,34,37,34,1
49,64007,"107,000","2,000",11,21,32,39,34,1
50,55419,"107,000","2,000",15,19,34,35,36,1
51,30107,"107,000","2,000",15,18,33,37,35,1
52,63329,"107,000","2,000",13,17,30,43,32,1
53,94065,"106,890","1,890",11,19,30,34,41,1
54,73047,"106,780","1,780",20,19,39,32,34,1
55,73499,"106,000","2,000",15,21,36,38,30,1
56,71239,"106,000","2,000",18,19,37,35,32,1
57,11801,"106,000","2,000",13,19,32,36,36,1
58,71013,"106,000","2,000",9,18,27,45,32,0
59,59035,"105,890","1,890",16,17,33,34,37,0
60,87059,"105,777","1,777",12,19,31,41,32,0
61,66267,"105,000","2,000",12,19,31,41,31,0
62,48187,"104,000","2,000",12,20,32,35,35,0
63,26491,"104,000","2,000",12,19,31,41,30,0
64,76889,"104,000","2,000",20,18,38,36,28,0
65,37339,"104,000","2,000",9,17,26,42,34,0
66,32819,"104,000","2,000",16,16,32,32,38,0
67,87963,"103,000","2,000",14,21,35,36,30,0
68,25587,"103,000","2,000",15,19,34,39,28,0
69,41181,"103,000","2,000",14,19,33,36,32,0
70,64685,"103,000","2,000",11,14,25,38,38,0
71,81409,"102,890","1,890",13,15,28,40,33,0
72,50221,"102,000","2,000",13,21,34,37,29,0
73,32141,"102,000","2,000",14,18,32,38,30,0
74,51803,"102,000","2,000",12,17,29,45,26,0
75,21067,"101,780","1,780",16,19,35,29,36,0
76,27169,"101,557","1,557",8,20,28,38,34,0
77,39825,"101,000","2,000",11,22,33,38,28,0
78,63103,"101,000","2,000",14,19,33,40,26,0
79,48413,"101,000","2,000",13,17,30,36,33,0
80,57679,"100,000","2,000",11,19,30,39,29,0
81,87511,"100,000","2,000",9,19,28,39,31,0
82,85929,"100,000","2,000",11,18,29,40,29,0
83,21519,"99,000","2,000",14,21,35,27,35,0
84,43667,"99,000","2,000",9,18,27,36,34,0
85,10219,"99,000","2,000",10,17,27,40,30,0
86,84121,"99,000","2,000",10,16,26,38,33,0
87,78245,"99,000","2,000",11,15,26,31,40,0
88,58131,"99,000","2,000",17,12,29,34,34,0
89,36435,"98,890","1,890",8,18,26,38,33,0
90,93613,"98,667","1,667",10,16,26,27,44,0
91,70109,"98,447","1,447",9,20,29,34,34,0
92,31011,"98,000","2,000",14,21,35,32,29,0
93,42537,"98,000","2,000",10,17,27,38,31,0
94,47735,"97,557","1,557",10,20,30,35,31,0
95,62877,"97,000","2,000",9,17,26,39,30,0
96,59261,"96,890","1,890",12,17,29,36,30,0
97,31237,"96,000","2,000",9,21,30,38,26,0
98,15643,"96,000","2,000",15,20,35,27,32,0
99,21293,"96,000","2,000",13,20,33,36,25,0
100,42311,"96,000","2,000",9,19,28,37,29,0
101,47509,"96,000","2,000",13,17,30,29,35,0
102,93161,"96,000","2,000",12,17,29,34,31,0
103,74855,"96,000","2,000",9,17,26,35,33,0
104,46831,"95,000","2,000",14,20,34,35,24,0
105,52933,"95,000","2,000",15,17,32,32,29,0
106,41859,"95,000","2,000",12,17,29,39,25,0
107,92483,"94,110","1,110",9,16,25,28,40,0
108,60617,"94,000","2,000",8,17,25,36,31,0
109,45249,"94,000","2,000",11,13,24,36,32,0
110,54063,"93,890","1,890",12,21,33,36,23,0
111,88641,"93,000","2,000",16,19,35,32,24,0
112,38243,"93,000","2,000",16,17,33,36,22,0
113,19259,"92,780","1,780",13,18,31,36,24,0
114,70335,"92,780","1,780",13,16,29,37,25,0
115,10445,"92,000","2,000",11,19,30,29,31,0
116,34627,"92,000","2,000",10,19,29,34,27,0
117,87737,"92,000","2,000",16,17,33,40,17,0
118,20389,"92,000","2,000",11,17,28,29,33,0
119,14061,"92,000","2,000",7,17,24,38,28,0
120,54967,"91,890","1,890",10,17,27,39,24,0
121,12705,"91,443","1,443",12,20,32,35,23,0
122,14287,"90,890","1,890",10,19,29,31,29,0
123,93387,"90,670","1,670",13,19,32,26,31,0
124,31463,"90,670","1,670",15,17,32,34,23,0
125,13609,"90,667","1,667",9,18,27,31,31,0
126,46153,"90,000","2,000",8,19,27,28,33,0
127,16999,"90,000","2,000",9,15,24,38,26,0
128,79149,"90,000","2,000",12,14,26,39,23,0
129,55871,"89,890","1,890",11,18,29,38,21,0
130,24909,"89,780","1,780",11,16,27,35,26,0
131,34401,"89,557","1,557",11,18,29,29,30,0
132,25813,"89,000","2,000",8,19,27,38,22,0
133,77567,"89,000","2,000",13,17,30,32,25,0
134,66493,"88,890","1,890",15,19,34,23,30,0
135,62199,"88,780","1,780",8,20,28,31,28,0
136,82313,"88,780","1,780",11,16,27,39,21,0
137,49543,"88,443","1,443",7,21,28,24,35,0
138,65589,"88,330","1,330",10,16,26,28,33,0
139,61521,"88,000","2,000",13,20,33,30,23,0
140,86381,"88,000","2,000",11,17,28,31,27,0
141,76663,"87,890","1,890",14,19,33,31,22,0
142,45475,"87,890","1,890",15,16,31,32,23,0
143,63555,"87,670","1,670",11,18,29,37,20,0
144,23327,"87,447","1,447",8,19,27,33,26,0
145,16095,"87,443","1,443",6,20,26,31,29,0
146,85477,"87,220","1,220",9,16,25,26,35,0
147,19485,"87,000","2,000",9,21,30,28,27,0
148,82765,"87,000","2,000",6,18,24,31,30,0
149,24231,"87,000","2,000",14,17,31,32,22,0
150,80731,"87,000","2,000",12,15,27,37,21,0
151,85703,"87,000","2,000",15,13,28,30,27,0
152,27621,"86,890","1,890",10,20,30,32,23,0
153,12931,"86,780","1,780",11,17,28,33,24,0
154,58809,"86,667","1,667",9,19,28,30,27,0
155,17903,"86,000","2,000",8,19,27,31,26,0
156,70787,"86,000","2,000",7,17,24,31,29,0
157,18355,"86,000","2,000",16,16,32,31,21,0
158,48865,"85,890","1,890",12,20,32,32,20,0
159,29881,"85,333","1,333",12,19,31,28,25,0
160,20163,"85,000","2,000",12,17,29,34,20,0
161,59487,"85,000","2,000",8,17,25,31,27,0
162,11349,"85,000","2,000",13,16,29,37,17,0
163,33271,"85,000","2,000",8,16,24,37,22,0
164,43215,"84,780","1,780",13,16,29,23,31,0
165,28525,"84,557","1,557",9,16,25,34,24,0
166,45927,"84,110","1,110",9,19,28,22,33,0
167,75985,"84,000","2,000",4,17,21,34,27,0
168,82991,"84,000","1,000",9,13,22,32,29,0
169,81183,"83,890","1,890",7,14,21,32,29,0
170,83895,"83,890","1,890",10,11,21,29,32,0
171,68753,"83,780","1,780",13,18,31,31,20,0
172,40503,"83,443","1,443",11,15,26,28,28,0
173,26717,"83,000","2,000",13,20,33,26,22,0
174,79375,"83,000","2,000",12,19,31,23,27,0
175,37113,"83,000","2,000",8,17,25,25,31,0
176,44571,"83,000","2,000",11,16,27,34,20,0
177,69431,"83,000","2,000",13,15,28,32,21,0
178,59713,"83,000","2,000",10,15,25,34,22,0
179,56097,"83,000","2,000",10,14,24,31,26,0
180,22649,"82,890","1,890",10,17,27,27,27,0
181,31689,"82,557","1,557",12,18,30,25,26,0
182,68075,"82,000","2,000",4,19,23,36,21,0
183,29429,"82,000","2,000",7,18,25,34,21,0
184,86607,"82,000","2,000",10,17,27,29,24,0
185,84573,"82,000","2,000",10,12,22,30,28,0
186,28751,"81,890","1,890",14,18,32,31,17,0
187,66945,"81,890","1,890",7,13,20,35,25,0
188,19033,"81,000","2,000",12,18,30,33,16,0
189,64233,"81,000","2,000",10,17,27,26,26,0
190,89771,"81,000","2,000",8,16,24,34,21,0
191,17225,"80,890","1,890",12,19,31,28,20,0
192,56775,"80,890","1,890",11,18,29,27,23,0
193,23101,"80,890","1,890",9,16,25,33,21,0
194,57227,"80,667","1,667",7,14,21,28,30,0
195,14513,"80,330","1,330",6,18,24,29,26,0
196,27847,"80,000","2,000",15,17,32,30,16,0
197,11575,"80,000","2,000",13,16,29,29,20,0
198,89093,"80,000","2,000",8,15,23,27,28,0
199,31915,"79,890","1,890",11,20,31,27,20,0
200,28073,"79,890","1,890",7,19,26,38,14,0
201,33949,"79,890","1,890",8,10,18,34,26,0
202,74403,"79,557","1,557",10,18,28,30,20,0
203,78019,"79,557","1,557",10,13,23,34,21,0
204,69883,"79,000","2,000",5,16,21,28,28,0
205,40729,"78,890","1,890",9,19,28,21,28,0
206,57001,"78,890","1,890",12,12,24,25,28,0
207,20841,"78,780","1,780",7,20,27,29,21,0
208,26265,"78,780","1,780",6,17,23,28,26,0
209,81635,"78,780","1,780",9,12,21,28,28,0
210,52255,"78,670","1,670",8,17,25,27,25,0
211,53385,"78,000","2,000",9,18,27,27,22,0
212,80279,"78,000","2,000",12,17,29,28,19,0
213,76437,"78,000","2,000",15,15,30,22,24,0
214,38469,"78,000","2,000",8,15,23,33,20,0
215,43441,"77,110","1,110",9,19,28,25,23,0
216,92031,"77,000","2,000",13,18,31,28,16,0
217,24457,"77,000","2,000",6,16,22,33,20,0
218,62651,"76,890","1,890",11,15,26,27,22,0
219,42085,"76,780","1,780",9,18,27,20,28,0
220,83669,"76,667","1,667",9,17,26,30,19,0
221,54515,"76,667","1,667",9,16,25,35,15,0
222,82539,"76,443","1,443",6,17,23,23,29,0
223,46379,"76,110","1,110",13,17,30,31,14,0
224,34175,"76,000","2,000",9,19,28,27,19,0
225,66041,"76,000","2,000",7,16,23,32,19,0
226,44797,"76,000","2,000",10,15,25,27,22,0
227,70561,"76,000","2,000",11,13,24,27,23,0
228,22423,"75,890","1,890",1,18,19,23,32,0
229,40277,"75,890","1,890",9,17,26,29,19,0
230,72143,"75,667","1,667",9,17,26,26,22,0
231,85025,"75,557","1,557",11,12,23,33,18,0
232,41633,"75,000","2,000",9,20,29,23,21,0
233,21745,"75,000","2,000",9,16,25,28,20,0
234,75759,"75,000","2,000",11,15,26,25,22,0
235,49769,"74,890","1,890",9,15,24,30,19,0
236,64911,"74,890","1,890",7,15,22,25,26,0
237,86833,"74,443","1,443",12,14,26,33,14,0
238,36661,"74,000","1,000",14,15,29,23,21,0
239,87285,"73,890","1,890",13,15,28,25,19,0
240,89319,"73,667","1,667",7,18,25,17,30,0
241,14739,"72,890","1,890",10,15,25,26,20,0
242,28977,"72,000","2,000",15,16,31,27,12,0
243,67171,"72,000","2,000",4,12,16,35,19,0
244,61295,"71,780","1,780",7,18,25,25,20,0
245,90901,"71,667","1,667",7,17,24,25,21,0
246,39373,"71,000","2,000",9,17,26,26,17,0
247,35305,"71,000","2,000",11,16,27,25,17,0
248,89545,"71,000","2,000",7,13,20,29,20,0
248,90675,"71,000","2,000",7,13,20,27,22,0
250,26943,"70,890","1,890",5,16,21,29,19,0
251,10897,"70,890","1,890",9,13,22,27,20,0
252,60843,"70,557","1,557",8,13,21,32,16,0
253,79827,"70,443","1,443",8,17,25,26,18,0
254,90223,"70,000","2,000",8,19,27,26,15,0
255,52029,"70,000","2,000",12,18,30,25,13,0
256,22875,"70,000","2,000",10,18,28,27,13,0
257,88189,"70,000","2,000",7,17,24,27,17,0
258,64459,"70,000","2,000",11,16,27,26,15,0
259,40955,"70,000","2,000",9,16,25,17,26,0
260,25361,"70,000","2,000",6,14,20,29,19,0
261,15869,"69,780","1,780",4,0,4,33,31,0
262,17677,"69,670","1,670",13,18,31,27,10,0
263,49091,"69,557","1,557",6,17,23,27,18,0
264,14965,"69,000","2,000",11,15,26,31,10,0
265,51351,"69,000","2,000",7,12,19,31,17,0
266,45023,"68,890","1,890",11,13,24,29,14,0
267,50447,"68,780","1,780",9,17,26,24,17,0
268,33045,"68,780","1,780",8,13,21,27,19,0
269,53837,"68,333","1,333",10,15,25,21,21,0
270,52707,"68,110","1,110",11,12,23,27,17,0
271,19711,"68,000","2,000",14,18,32,21,13,0
272,77793,"68,000","1,000",10,14,24,19,24,0
273,55193,"67,670","1,670",10,11,21,28,17,0
274,90449,"67,110","1,110",7,15,22,23,21,0
275,44345,"67,000","2,000",9,17,26,25,14,0
276,30785,"67,000","2,000",8,15,23,30,12,0
277,63781,"66,890","1,890",11,16,27,22,16,0
278,71917,"66,670","1,670",8,17,25,23,17,0
279,10671,"66,330","1,330",10,14,24,19,22,0
280,36887,"66,220","1,220",9,14,23,25,17,0
281,35531,"66,000","2,000",9,16,25,21,18,0
282,35757,"65,890","1,890",7,15,22,26,16,0
283,57905,"65,890","1,890",11,13,24,26,14,0
284,62425,"65,777","1,777",10,15,25,26,13,0
285,35983,"65,443","1,443",10,16,26,24,14,0
286,15417,"65,333","1,333",8,15,23,29,12,0
287,33497,"65,000","2,000",9,19,28,21,14,0
288,32593,"65,000","2,000",10,16,26,24,13,0
289,29203,"65,000","1,000",9,13,22,25,17,0
290,92257,"64,890","1,890",12,11,23,26,14,0
291,79601,"64,777","1,777",8,14,22,23,18,0
292,49317,"64,223","1,223",10,11,21,25,17,0
293,56323,"63,890","1,890",12,16,28,17,17,0
294,42763,"63,780","1,780",10,16,26,16,20,0
295,57453,"63,780","0,780",5,14,19,25,19,0
296,60165,"63,780","1,780",5,10,15,30,17,0
297,65137,"63,777","1,777",10,14,24,21,17,0
298,77341,"63,443","1,443",6,14,20,20,22,0
299,30559,"62,890","1,890",8,17,25,20,16,0
300,47057,"62,890","1,890",12,15,27,21,13,0
301,92935,"62,780","1,780",8,14,22,23,16,0
302,39599,"62,667","1,667",18,16,34,14,13,0
303,78697,"62,557","1,557",10,15,25,24,12,0
304,13383,"62,220","1,220",10,13,23,21,17,0
305,16547,"62,000","1,000",9,18,27,16,18,0
306,66719,"62,000","2,000",9,13,22,25,13,0
307,61973,"61,780","1,780",5,15,20,18,22,0
308,37791,"61,000","2,000",8,18,26,22,11,0
309,91127,"60,890","1,890",5,14,19,20,20,0
310,78471,"60,557","1,557",8,16,24,18,17,0
311,12027,"60,000","2,000",8,17,25,24,9,0
312,34853,"60,000","2,000",6,17,23,26,9,0
313,89997,"59,890","1,890",8,15,23,23,12,0
314,72595,"59,670","1,670",8,10,18,26,14,0
315,28299,"59,667","1,667",4,14,18,22,18,0
316,65363,"59,333","1,333",7,13,20,27,11,0
317,38017,"59,223","1,223",7,17,24,22,12,0
