TODROP,RANK,ID,SUM,GRADES,VR,SP,VR+SP,CZECH,MATH,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,1,38921,139.0,2.0,20,23,43,48,46,1,2018,2081
1,2,60391,132.0,2.0,16,20,36,44,50,1,2018,2081
2,3,67397,130.0,2.0,17,23,40,48,40,1,2018,2081
3,4,19937,129.0,2.0,20,23,43,46,38,1,2018,2081
4,5,61747,129.0,2.0,14,21,35,45,47,1,2018,2081
5,6,82087,129.0,2.0,20,19,39,40,48,1,2018,2081
6,7,80053,128.0,2.0,17,16,33,47,46,1,2018,2081
7,8,48639,127.0,2.0,18,23,41,49,35,1,2018,2081
8,9,85251,127.0,2.0,16,20,36,45,44,1,2018,2081
9,10,46605,126.0,2.0,11,19,30,44,50,1,2018,2081
10,11,59939,125.89,1.89,19,21,40,45,39,1,2018,2081
11,12,18129,123.89,1.89,15,22,37,40,45,1,2018,2081
12,13,67849,123.0,2.0,12,21,33,47,41,1,2018,2081
13,14,51577,123.0,2.0,19,20,39,43,39,1,2018,2081
14,15,11123,122.0,2.0,12,23,35,46,39,1,2018,2081
15,16,68979,122.0,2.0,14,21,35,45,40,1,2018,2081
16,17,88415,119.0,2.0,18,20,38,45,34,1,2018,2081
17,18,73725,119.0,2.0,11,20,31,38,48,1,2018,2081
18,19,41407,118.0,2.0,16,22,38,46,32,1,2018,2081
19,20,72821,117.0,2.0,12,18,30,39,46,1,2018,2081
20,21,22197,116.0,2.0,12,21,33,40,41,1,2018,2081
21,22,23553,116.0,2.0,15,20,35,45,34,1,2018,2081
22,23,53611,116.0,2.0,13,19,32,44,38,1,2018,2081
23,24,81861,115.89,1.89,14,20,34,39,41,1,2018,2081
24,25,71465,115.333,1.3330000000000002,15,21,36,36,42,1,2018,2081
25,26,88867,115.33,1.33,14,21,35,41,38,1,2018,2081
26,27,16773,115.0,2.0,14,22,36,37,40,1,2018,2081
27,28,83443,115.0,2.0,18,18,36,39,38,1,2018,2081
28,29,75307,114.0,2.0,15,19,34,36,42,1,2018,2081
29,30,78923,113.0,2.0,12,20,32,40,39,1,2018,2081
30,31,39147,112.0,2.0,14,23,37,32,41,1,2018,2081
31,32,76211,112.0,2.0,13,17,30,45,35,1,2018,2081
32,33,61069,111.0,2.0,13,22,35,45,29,1,2018,2081
33,34,36209,111.0,2.0,15,21,36,35,38,1,2018,2081
34,35,17451,111.0,2.0,12,21,33,40,36,1,2018,2081
35,36,69657,111.0,2.0,16,19,35,37,37,1,2018,2081
36,37,24683,111.0,2.0,11,18,29,41,39,1,2018,2081
37,38,51125,111.0,2.0,17,15,32,38,39,1,2018,2081
38,39,26039,110.78,1.78,11,22,33,35,41,1,2018,2081
39,40,67623,110.0,2.0,13,20,33,46,29,1,2018,2081
40,41,52481,109.89,1.89,13,18,31,42,35,1,2018,2081
41,42,50673,109.78,1.78,15,21,36,36,36,1,2018,2081
42,43,54741,109.0,2.0,8,20,28,38,41,1,2018,2081
43,44,18581,108.0,2.0,11,20,31,42,33,1,2018,2081
44,45,54289,108.0,2.0,13,18,31,33,42,1,2018,2081
45,46,84799,108.0,2.0,16,17,33,39,34,1,2018,2081
46,47,43893,107.0,2.0,9,24,33,38,34,1,2018,2081
47,48,18807,107.0,2.0,11,23,34,37,34,1,2018,2081
48,49,64007,107.0,2.0,11,21,32,39,34,1,2018,2081
49,50,55419,107.0,2.0,15,19,34,35,36,1,2018,2081
50,51,30107,107.0,2.0,15,18,33,37,35,1,2018,2081
51,52,63329,107.0,2.0,13,17,30,43,32,1,2018,2081
52,53,94065,106.89,1.89,11,19,30,34,41,1,2018,2081
53,54,73047,106.78,1.78,20,19,39,32,34,1,2018,2081
54,55,73499,106.0,2.0,15,21,36,38,30,1,2018,2081
55,56,71239,106.0,2.0,18,19,37,35,32,1,2018,2081
56,57,11801,106.0,2.0,13,19,32,36,36,1,2018,2081
57,58,71013,106.0,2.0,9,18,27,45,32,0,2018,2081
58,59,59035,105.89,1.89,16,17,33,34,37,0,2018,2081
59,60,87059,105.777,1.777,12,19,31,41,32,0,2018,2081
60,61,66267,105.0,2.0,12,19,31,41,31,0,2018,2081
61,62,48187,104.0,2.0,12,20,32,35,35,0,2018,2081
62,63,26491,104.0,2.0,12,19,31,41,30,0,2018,2081
63,64,76889,104.0,2.0,20,18,38,36,28,0,2018,2081
64,65,37339,104.0,2.0,9,17,26,42,34,0,2018,2081
65,66,32819,104.0,2.0,16,16,32,32,38,0,2018,2081
66,67,87963,103.0,2.0,14,21,35,36,30,0,2018,2081
67,68,25587,103.0,2.0,15,19,34,39,28,0,2018,2081
68,69,41181,103.0,2.0,14,19,33,36,32,0,2018,2081
69,70,64685,103.0,2.0,11,14,25,38,38,0,2018,2081
70,71,81409,102.89,1.89,13,15,28,40,33,0,2018,2081
71,72,50221,102.0,2.0,13,21,34,37,29,0,2018,2081
72,73,32141,102.0,2.0,14,18,32,38,30,0,2018,2081
73,74,51803,102.0,2.0,12,17,29,45,26,0,2018,2081
74,75,21067,101.78,1.78,16,19,35,29,36,0,2018,2081
75,76,27169,101.557,1.557,8,20,28,38,34,0,2018,2081
76,77,39825,101.0,2.0,11,22,33,38,28,0,2018,2081
77,78,63103,101.0,2.0,14,19,33,40,26,0,2018,2081
78,79,48413,101.0,2.0,13,17,30,36,33,0,2018,2081
79,80,57679,100.0,2.0,11,19,30,39,29,0,2018,2081
80,81,87511,100.0,2.0,9,19,28,39,31,0,2018,2081
81,82,85929,100.0,2.0,11,18,29,40,29,0,2018,2081
82,83,21519,99.0,2.0,14,21,35,27,35,0,2018,2081
83,84,43667,99.0,2.0,9,18,27,36,34,0,2018,2081
84,85,10219,99.0,2.0,10,17,27,40,30,0,2018,2081
85,86,84121,99.0,2.0,10,16,26,38,33,0,2018,2081
86,87,78245,99.0,2.0,11,15,26,31,40,0,2018,2081
87,88,58131,99.0,2.0,17,12,29,34,34,0,2018,2081
88,89,36435,98.89,1.89,8,18,26,38,33,0,2018,2081
89,90,93613,98.667,1.6669999999999998,10,16,26,27,44,0,2018,2081
90,91,70109,98.447,1.4469999999999998,9,20,29,34,34,0,2018,2081
