"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
13.04.2018, 17.04.2018
Přijatí uchazeči
zveřejněno dne 2. 5. 2018
""Výsledky přijímacích zkoušek pro školní rok 2018/2019, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
v+s","Body
č.j.","Body
mat."
1.,38921,"139,000","2,000",20,23,43,48,46
2.,60391,"132,000","2,000",16,20,36,44,50
3.,67397,"130,000","2,000",17,23,40,48,40
4.,19937,"129,000","2,000",20,23,43,46,38
5.,61747,"129,000","2,000",14,21,35,45,47
6.,82087,"129,000","2,000",20,19,39,40,48
7.,80053,"128,000","2,000",17,16,33,47,46
8.,48639,"127,000","2,000",18,23,41,49,35
9.,85251,"127,000","2,000",16,20,36,45,44
10.,46605,"126,000","2,000",11,19,30,44,50
11.,59939,"125,890","1,890",19,21,40,45,39
12.,18129,"123,890","1,890",15,22,37,40,45
13.,67849,"123,000","2,000",12,21,33,47,41
14.,51577,"123,000","2,000",19,20,39,43,39
15.,11123,"122,000","2,000",12,23,35,46,39
16.,68979,"122,000","2,000",14,21,35,45,40
17.,88415,"119,000","2,000",18,20,38,45,34
18.,73725,"119,000","2,000",11,20,31,38,48
19.,41407,"118,000","2,000",16,22,38,46,32
20.,72821,"117,000","2,000",12,18,30,39,46
21.,22197,"116,000","2,000",12,21,33,40,41
22.,23553,"116,000","2,000",15,20,35,45,34
23.,53611,"116,000","2,000",13,19,32,44,38
24.,81861,"115,890","1,890",14,20,34,39,41
25.,71465,"115,333","1,333",15,21,36,36,42
26.,88867,"115,330","1,330",14,21,35,41,38
27.,16773,"115,000","2,000",14,22,36,37,40
Stránka 1 z 2,,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
v+s","Body
č.j.","Body
mat."
28.,83443,"115,000","2,000",18,18,36,39,38
29.,75307,"114,000","2,000",15,19,34,36,42
30.,78923,"113,000","2,000",12,20,32,40,39
31.,39147,"112,000","2,000",14,23,37,32,41
32.,76211,"112,000","2,000",13,17,30,45,35
33.,61069,"111,000","2,000",13,22,35,45,29
34.,36209,"111,000","2,000",15,21,36,35,38
35.,17451,"111,000","2,000",12,21,33,40,36
36.,69657,"111,000","2,000",16,19,35,37,37
37.,24683,"111,000","2,000",11,18,29,41,39
38.,51125,"111,000","2,000",17,15,32,38,39
39.,26039,"110,780","1,780",11,22,33,35,41
40.,67623,"110,000","2,000",13,20,33,46,29
41.,52481,"109,890","1,890",13,18,31,42,35
42.,50673,"109,780","1,780",15,21,36,36,36
43.,54741,"109,000","2,000",8,20,28,38,41
44.,18581,"108,000","2,000",11,20,31,42,33
45.,54289,"108,000","2,000",13,18,31,33,42
46.,84799,"108,000","2,000",16,17,33,39,34
47.,43893,"107,000","2,000",9,24,33,38,34
48.,18807,"107,000","2,000",11,23,34,37,34
49.,64007,"107,000","2,000",11,21,32,39,34
50.,55419,"107,000","2,000",15,19,34,35,36
51.,30107,"107,000","2,000",15,18,33,37,35
52.,63329,"107,000","2,000",13,17,30,43,32
53.,94065,"106,890","1,890",11,19,30,34,41
54.,73047,"106,780","1,780",20,19,39,32,34
55.,73499,"106,000","2,000",15,21,36,38,30
56.,71239,"106,000","2,000",18,19,37,35,32
57.,11801,"106,000","2,000",13,19,32,36,36
Celkem počet:,57,,,,,,,
Stránka 2 z 2,,,,,,,,
