RANK,ID,SUM,GRADES,VR,SP,CZECH,MATH,ADMITTED_ID
57,20841,"111,000","2,000",20,16,40,33,0
58,46153,"111,000","2,000",18,14,38,39,0
58,69883,"111,000","2,000",18,14,42,35,0
60,43215,"110,000","2,000",18,18,35,37,0
61,17451,"110,000","2,000",16,16,41,35,0
62,39599,"110,000","2,000",20,12,40,36,0
63,87737,"109,000","2,000",16,18,36,37,0
64,36435,"108,443","1,443",16,14,38,39,0
65,25813,"108,000","2,000",14,18,42,32,0
66,91805,"108,000","2,000",12,16,38,40,0
67,66719,"108,000","2,000",24,14,35,33,0
68,28073,"108,000","2,000",12,14,45,35,0
68,42537,"108,000","2,000",12,14,44,36,0
70,85703,"108,000","2,000",14,12,35,45,0
71,55871,"107,777","1,777",24,14,40,28,0
72,73951,"107,000","2,000",14,18,41,32,0
73,79149,"107,000","2,000",12,18,33,42,0
74,31915,"107,000","2,000",14,14,38,39,0
75,41407,"106,670","1,670",18,14,41,32,0
76,87285,"106,000","2,000",12,16,44,32,0
76,65363,"106,000","2,000",12,16,38,38,0
78,68301,"106,000","2,000",10,14,35,45,0
79,74855,"106,000","2,000",14,10,42,38,0
80,25587,"106,000","2,000",26,8,35,35,0
81,51351,"105,000","2,000",22,10,36,35,0
82,69205,"104,443","1,443",18,12,33,40,0
83,29881,"104,000","2,000",16,18,43,25,0
84,88867,"104,000","2,000",16,16,41,29,0
85,90901,"104,000","2,000",8,14,36,44,0
86,47057,"103,000","2,000",18,20,38,25,0
87,66493,"103,000","2,000",16,18,33,34,0
88,54063,"103,000","2,000",20,14,39,28,0
89,85477,"103,000","2,000",14,14,38,35,0
90,85929,"103,000","2,000",12,14,41,34,0
90,14739,"103,000","2,000",12,14,34,41,0
92,16773,"103,000","2,000",14,12,37,38,0
93,96325,"102,890","1,890",16,16,36,33,0
94,15191,"102,780","1,780",18,14,33,36,0
95,79601,"102,000","2,000",20,16,34,30,0
96,43441,"102,000","2,000",10,14,42,34,0
97,13157,"102,000","2,000",24,12,29,35,0
98,77567,"102,000","2,000",16,10,38,36,0
99,98359,"101,890","1,890",20,14,31,35,0
100,55419,"101,000","2,000",22,12,32,33,0
101,41633,"101,000","2,000",18,12,37,32,0
102,21519,"100,553","1,553",18,16,37,28,0
103,75307,"100,000","2,000",12,14,41,31,0
104,29655,"100,000","2,000",16,12,33,37,0
105,35983,"100,000","2,000",12,10,40,36,0
106,48639,"99,000","2,000",18,18,33,28,0
107,72595,"99,000","2,000",16,16,37,28,0
107,95647,"99,000","2,000",16,16,36,29,0
109,38921,"99,000","2,000",18,14,35,30,0
110,65589,"99,000","2,000",14,14,38,31,0
111,52481,"99,000","2,000",16,10,38,33,0
112,81861,"98,667","1,667",20,12,37,28,0
113,17903,"98,000","2,000",18,18,25,35,0
114,38017,"98,000","2,000",16,18,34,28,0
