"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
16.04.2019, 17.04.2019
Nepřijatí uchazeči
zveřejněno dne 30.04.2019
""Výsledky přijímacích zkoušek pro školní rok 2019/2020, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
57.,20841,"111,000","2,000",20,16,40,33
58.,46153,"111,000","2,000",18,14,38,39
58.,69883,"111,000","2,000",18,14,42,35
60.,43215,"110,000","2,000",18,18,35,37
61.,17451,"110,000","2,000",16,16,41,35
62.,39599,"110,000","2,000",20,12,40,36
63.,87737,"109,000","2,000",16,18,36,37
64.,36435,"108,443","1,443",16,14,38,39
65.,25813,"108,000","2,000",14,18,42,32
66.,91805,"108,000","2,000",12,16,38,40
67.,66719,"108,000","2,000",24,14,35,33
68.,28073,"108,000","2,000",12,14,45,35
68.,42537,"108,000","2,000",12,14,44,36
70.,85703,"108,000","2,000",14,12,35,45
71.,55871,"107,777","1,777",24,14,40,28
72.,73951,"107,000","2,000",14,18,41,32
73.,79149,"107,000","2,000",12,18,33,42
74.,31915,"107,000","2,000",14,14,38,39
75.,41407,"106,670","1,670",18,14,41,32
76.,87285,"106,000","2,000",12,16,44,32
76.,65363,"106,000","2,000",12,16,38,38
78.,68301,"106,000","2,000",10,14,35,45
79.,74855,"106,000","2,000",14,10,42,38
80.,25587,"106,000","2,000",26,8,35,35
81.,51351,"105,000","2,000",22,10,36,35
82.,69205,"104,443","1,443",18,12,33,40
83.,29881,"104,000","2,000",16,18,43,25
Stránka 1 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
84.,88867,"104,000","2,000",16,16,41,29
85.,90901,"104,000","2,000",8,14,36,44
86.,47057,"103,000","2,000",18,20,38,25
87.,66493,"103,000","2,000",16,18,33,34
88.,54063,"103,000","2,000",20,14,39,28
89.,85477,"103,000","2,000",14,14,38,35
90.,85929,"103,000","2,000",12,14,41,34
90.,14739,"103,000","2,000",12,14,34,41
92.,16773,"103,000","2,000",14,12,37,38
93.,96325,"102,890","1,890",16,16,36,33
94.,15191,"102,780","1,780",18,14,33,36
95.,79601,"102,000","2,000",20,16,34,30
96.,43441,"102,000","2,000",10,14,42,34
97.,13157,"102,000","2,000",24,12,29,35
98.,77567,"102,000","2,000",16,10,38,36
99.,98359,"101,890","1,890",20,14,31,35
100.,55419,"101,000","2,000",22,12,32,33
101.,41633,"101,000","2,000",18,12,37,32
