"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
16.04.2019, 17.04.2019
Přijatí uchazeči
zveřejněno dne 30.04.2019
""Výsledky přijímacích zkoušek pro školní rok 2019/2020, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
1.,57905,"138,000","2,000",24,18,49,45
2.,46605,"136,000","2,000",26,16,49,43
3.,27847,"136,000","2,000",22,16,49,47
4.,35757,"133,000","2,000",20,20,48,43
5.,17677,"133,000","2,000",22,18,47,44
6.,49769,"133,000","2,000",24,16,45,46
7.,39373,"132,000","2,000",28,16,46,40
8.,48187,"131,000","2,000",24,16,44,45
8.,87511,"131,000","2,000",24,16,42,47
8.,44797,"131,000","2,000",24,16,42,47
11.,70787,"131,000","2,000",22,16,50,41
12.,26943,"128,780","1,780",20,16,44,47
13.,47961,"128,000","2,000",20,20,45,41
14.,63781,"128,000","2,000",14,16,48,48
15.,32593,"128,000","2,000",26,14,42,44
16.,35531,"127,000","2,000",26,16,44,39
17.,19937,"127,000","2,000",24,16,45,40
18.,98133,"127,000","2,000",22,14,48,41
19.,10897,"126,443","1,443",22,16,41,46
20.,76663,"126,000","2,000",24,18,44,38
21.,86833,"126,000","2,000",22,14,48,40
22.,13835,"125,000","2,000",22,18,46,37
23.,95873,"124,000","2,000",14,12,48,48
24.,77115,"122,000","2,000",24,16,42,38
25.,59713,"122,000","2,000",20,14,47,39
26.,55193,"121,000","2,000",24,18,48,29
27.,31463,"121,000","2,000",18,18,46,37
Stránka 1 z 2,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
28.,31689,"121,000","2,000",20,16,44,39
29.,85025,"121,000","2,000",16,16,43,44
30.,40729,"121,000","2,000",22,14,45,38
31.,11801,"121,000","2,000",16,12,44,47
32.,73047,"120,000","2,000",16,16,43,43
33.,56549,"120,000","2,000",22,14,40,42
34.,75533,"120,000","2,000",20,14,43,41
35.,61295,"119,000","2,000",18,14,45,40
36.,52707,"119,000","2,000",20,12,44,41
37.,64233,"118,000","2,000",20,16,37,43
38.,48413,"118,000","2,000",20,14,46,36
39.,41181,"118,000","2,000",14,14,40,48
40.,46831,"116,000","2,000",12,20,47,35
41.,24457,"116,000","2,000",14,18,41,41
42.,23553,"115,667","1,667",24,20,40,30
43.,18129,"115,000","2,000",22,16,42,33
44.,21745,"115,000","2,000",20,16,45,32
45.,33723,"115,000","2,000",16,16,38,43
46.,67623,"114,000","2,000",20,16,38,38
47.,74403,"113,557","1,557",18,16,36,42
48.,12479,"113,000","2,000",20,16,41,34
49.,26717,"113,000","2,000",16,16,47,32
50.,18807,"113,000","2,000",20,14,42,35
51.,93613,"113,000","2,000",18,14,43,36
52.,73499,"113,000","2,000",12,14,42,43
53.,80053,"113,000","2,000",14,12,41,44
54.,40277,"112,000","2,000",22,16,38,34
55.,68979,"112,000","2,000",16,14,35,45
56.,69657,"112,000","2,000",14,14,40,42
Celkem počet:,56,,,,,,
Stránka 2 z 2,,,,,,,
