TODROP,RANK,ID,SUM,GRADES,VR,SP,CZECH,MATH,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,1,16709,142.0,2.0,24,20,46,50,1,2020,2081
1,2,91525,139.0,2.0,26,16,45,50,1,2020,2081
2,3,91077,138.0,2.0,22,20,46,48,1,2020,2081
3,4,37989,135.0,2.0,22,20,47,44,1,2020,2081
4,5,75173,134.0,2.0,18,18,47,49,1,2020,2081
5,6,56581,132.0,2.0,20,20,42,48,1,2020,2081
6,6,27013,132.0,2.0,20,20,46,44,1,2020,2081
7,8,65765,131.0,2.0,18,18,45,48,1,2020,2081
8,9,55909,129.0,2.0,18,20,44,45,1,2020,2081
9,10,70245,129.0,2.0,14,20,47,46,1,2020,2081
10,11,43365,128.0,2.0,12,20,47,47,1,2020,2081
11,12,39557,127.33,1.33,16,20,44,46,1,2020,2081
12,13,13797,127.0,2.0,22,20,41,42,1,2020,2081
13,14,40677,127.0,2.0,18,20,44,43,1,2020,2081
14,15,66661,127.0,2.0,22,18,43,42,1,2020,2081
15,16,67781,127.0,2.0,18,18,41,48,1,2020,2081
16,17,19845,126.553,1.5530000000000002,20,16,44,45,1,2020,2081
17,18,90853,126.0,2.0,16,20,46,42,1,2020,2081
18,19,76293,125.89,1.89,24,18,44,38,1,2020,2081
19,20,81445,124.0,2.0,20,16,44,42,1,2020,2081
20,21,61285,123.89,1.89,18,20,43,41,1,2020,2081
21,22,91301,123.0,2.0,18,16,47,40,1,2020,2081
22,23,25221,122.0,2.0,20,20,30,50,1,2020,2081
23,24,42021,122.0,2.0,18,20,39,43,1,2020,2081
24,25,33509,122.0,2.0,16,18,47,39,1,2020,2081
25,26,62629,122.0,2.0,20,16,44,40,1,2020,2081
26,27,68677,121.667,1.6669999999999998,14,16,44,46,1,2020,2081
27,28,82789,121.0,2.0,14,16,48,41,1,2020,2081
28,29,29701,120.89,1.89,14,18,46,41,1,2020,2081
29,30,57701,120.67,1.67,14,20,39,46,1,2020,2081
30,31,24773,120.667,1.6669999999999998,14,16,45,44,1,2020,2081
31,32,47621,120.0,2.0,18,20,40,40,1,2020,2081
32,33,12229,120.0,2.0,12,20,46,40,1,2020,2081
33,34,84133,120.0,2.0,14,18,50,36,1,2020,2081
34,35,32165,119.0,2.0,16,20,42,39,1,2020,2081
35,36,40005,119.0,2.0,18,16,41,42,1,2020,2081
36,37,83909,118.89,1.89,18,18,40,41,1,2020,2081
37,38,75397,118.0,2.0,14,18,44,40,1,2020,2081
38,39,91749,117.89,1.89,14,20,44,38,1,2020,2081
39,40,18949,117.78,1.78,16,18,44,38,1,2020,2081
40,41,29477,117.0,2.0,16,20,45,34,1,2020,2081
41,42,84581,117.0,2.0,12,20,41,42,1,2020,2081
42,43,26117,117.0,2.0,14,18,46,37,1,2020,2081
43,44,63749,117.0,2.0,12,18,47,38,1,2020,2081
44,45,61733,116.0,2.0,20,18,45,31,1,2020,2081
45,46,90181,116.0,2.0,22,16,41,35,1,2020,2081
46,47,72933,116.0,2.0,20,16,41,37,1,2020,2081
47,48,85253,115.89,1.89,12,16,45,41,1,2020,2081
48,49,53445,115.0,2.0,16,20,41,36,1,2020,2081
49,50,23653,115.0,2.0,14,20,43,36,1,2020,2081
50,51,85477,115.0,2.0,18,18,38,39,1,2020,2081
51,52,89285,115.0,2.0,18,14,45,36,1,2020,2081
52,53,93989,114.89,1.89,14,14,49,36,1,2020,2081
53,54,65989,114.78,1.78,10,18,41,44,0,2020,2081
54,55,97349,114.777,1.777,12,14,48,39,0,2020,2081
55,56,23205,114.0,2.0,24,20,38,30,0,2020,2081
56,57,76069,114.0,2.0,14,20,39,39,0,2020,2081
57,58,54117,114.0,2.0,18,16,35,43,0,2020,2081
58,59,47397,113.89,1.89,22,18,39,33,0,2020,2081
59,60,31045,113.0,2.0,22,20,35,34,0,2020,2081
60,61,99141,113.0,2.0,22,18,45,26,0,2020,2081
61,62,86149,113.0,2.0,20,18,41,32,0,2020,2081
62,63,21413,113.0,2.0,16,18,41,36,0,2020,2081
63,64,30373,113.0,2.0,18,16,35,42,0,2020,2081
64,65,20069,113.0,2.0,20,12,41,38,0,2020,2081
65,66,53221,112.11,1.11,18,20,33,40,0,2020,2081
66,67,74053,112.0,2.0,16,18,33,43,0,2020,2081
67,68,74949,112.0,2.0,10,18,42,40,0,2020,2081
68,69,10437,112.0,2.0,22,16,38,34,0,2020,2081
69,70,69797,111.557,1.557,12,14,44,40,0,2020,2081
70,71,29029,111.0,2.0,18,20,36,35,0,2020,2081
71,72,11557,111.0,2.0,14,18,42,35,0,2020,2081
72,73,82341,111.0,2.0,12,18,41,38,0,2020,2081
73,74,36421,111.0,2.0,18,16,36,39,0,2020,2081
74,75,99589,111.0,2.0,16,16,42,35,0,2020,2081
75,75,42693,111.0,2.0,16,16,36,41,0,2020,2081
76,75,30597,111.0,2.0,16,16,40,37,0,2020,2081
77,78,54341,111.0,2.0,20,14,43,32,0,2020,2081
78,78,55013,111.0,2.0,20,14,35,40,0,2020,2081
79,80,96677,110.78,1.78,14,20,40,35,0,2020,2081
80,81,63973,110.0,2.0,16,20,39,33,0,2020,2081
81,82,78757,110.0,2.0,10,20,38,40,0,2020,2081
82,83,34629,110.0,2.0,12,14,39,43,0,2020,2081
83,84,96901,109.89,1.89,12,18,44,34,0,2020,2081
84,85,59269,109.89,1.89,18,16,37,37,0,2020,2081
85,86,63301,109.89,1.89,10,12,46,40,0,2020,2081
86,87,56805,109.33,1.33,14,20,36,38,0,2020,2081
87,88,62853,109.0,2.0,16,14,45,32,0,2020,2081
88,89,48293,108.89,1.89,16,18,34,39,0,2020,2081
89,90,90629,108.78,1.78,14,20,42,31,0,2020,2081
90,91,43141,108.0,2.0,20,18,35,33,0,2020,2081
