"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
3.06.2020, 5.06.2020, 9.06.2020
Nepřijatí uchazeči
zveřejněno dne 17.06.2020
""Výsledky přijímacích zkoušek pro školní rok 2020/2021, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
54.,65989,"114,780","1,780",10,18,41,44
55.,97349,"114,777","1,777",12,14,48,39
56.,23205,"114,000","2,000",24,20,38,30
57.,76069,"114,000","2,000",14,20,39,39
58.,54117,"114,000","2,000",18,16,35,43
59.,47397,"113,890","1,890",22,18,39,33
60.,31045,"113,000","2,000",22,20,35,34
61.,99141,"113,000","2,000",22,18,45,26
62.,86149,"113,000","2,000",20,18,41,32
63.,21413,"113,000","2,000",16,18,41,36
64.,30373,"113,000","2,000",18,16,35,42
65.,20069,"113,000","2,000",20,12,41,38
66.,53221,"112,110","1,110",18,20,33,40
67.,74053,"112,000","2,000",16,18,33,43
68.,74949,"112,000","2,000",10,18,42,40
69.,10437,"112,000","2,000",22,16,38,34
70.,69797,"111,557","1,557",12,14,44,40
71.,29029,"111,000","2,000",18,20,36,35
72.,11557,"111,000","2,000",14,18,42,35
73.,82341,"111,000","2,000",12,18,41,38
74.,36421,"111,000","2,000",18,16,36,39
75.,99589,"111,000","2,000",16,16,42,35
75.,42693,"111,000","2,000",16,16,36,41
75.,30597,"111,000","2,000",16,16,40,37
78.,54341,"111,000","2,000",20,14,43,32
78.,55013,"111,000","2,000",20,14,35,40
80.,96677,"110,780","1,780",14,20,40,35
Stránka 1 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
81.,63973,"110,000","2,000",16,20,39,33
82.,78757,"110,000","2,000",10,20,38,40
83.,34629,"110,000","2,000",12,14,39,43
84.,96901,"109,890","1,890",12,18,44,34
85.,59269,"109,890","1,890",18,16,37,37
86.,63301,"109,890","1,890",10,12,46,40
87.,56805,"109,330","1,330",14,20,36,38
88.,62853,"109,000","2,000",16,14,45,32
89.,48293,"108,890","1,890",16,18,34,39
90.,90629,"108,780","1,780",14,20,42,31
91.,43141,"108,000","2,000",20,18,35,33
92.,27237,"108,000","2,000",16,18,30,42
92.,41125,"108,000","2,000",16,18,33,39
92.,20965,"108,000","2,000",16,18,28,44
95.,60165,"108,000","2,000",12,18,39,37
96.,67109,"108,000","2,000",14,16,35,41
97.,21861,"107,890","1,890",10,18,38,40
98.,22533,"107,000","2,000",18,20,32,35
99.,12453,"107,000","2,000",14,20,32,39
100.,35749,"106,000","2,000",16,18,29,41
101.,57477,"106,000","2,000",12,16,45,31
102.,84805,"106,000","2,000",16,14,32,42
103.,70021,"106,000","2,000",14,14,37,39
104.,96453,"106,000","2,000",10,14,43,37
105.,50757,"105,890","1,890",14,12,41,37
106.,13573,"105,000","2,000",10,20,42,31
107.,48965,"105,000","2,000",16,18,35,34
108.,49637,"105,000","2,000",12,12,36,43
109.,92197,"104,890","1,890",12,20,39,32
110.,93765,"104,000","2,000",8,18,39,37
111.,40901,"104,000","2,000",16,16,36,34
112.,83685,"104,000","2,000",10,14,47,31
Stránka 2 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
