"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
3.06.2020, 5.06.2020, 9.06.2020
Přijatí uchazeči
zveřejněno dne 17.06.2020
""Výsledky přijímacích zkoušek pro školní rok 2020/2021, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
1.,16709,"142,000","2,000",24,20,46,50
2.,91525,"139,000","2,000",26,16,45,50
3.,91077,"138,000","2,000",22,20,46,48
4.,37989,"135,000","2,000",22,20,47,44
5.,75173,"134,000","2,000",18,18,47,49
6.,56581,"132,000","2,000",20,20,42,48
6.,27013,"132,000","2,000",20,20,46,44
8.,65765,"131,000","2,000",18,18,45,48
9.,55909,"129,000","2,000",18,20,44,45
10.,70245,"129,000","2,000",14,20,47,46
11.,43365,"128,000","2,000",12,20,47,47
12.,39557,"127,330","1,330",16,20,44,46
13.,13797,"127,000","2,000",22,20,41,42
14.,40677,"127,000","2,000",18,20,44,43
15.,66661,"127,000","2,000",22,18,43,42
16.,67781,"127,000","2,000",18,18,41,48
17.,19845,"126,553","1,553",20,16,44,45
18.,90853,"126,000","2,000",16,20,46,42
19.,76293,"125,890","1,890",24,18,44,38
20.,81445,"124,000","2,000",20,16,44,42
21.,61285,"123,890","1,890",18,20,43,41
22.,91301,"123,000","2,000",18,16,47,40
23.,25221,"122,000","2,000",20,20,30,50
24.,42021,"122,000","2,000",18,20,39,43
25.,33509,"122,000","2,000",16,18,47,39
26.,62629,"122,000","2,000",20,16,44,40
27.,68677,"121,667","1,667",14,16,44,46
Stránka 1 z 2,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
28.,82789,"121,000","2,000",14,16,48,41
29.,29701,"120,890","1,890",14,18,46,41
30.,57701,"120,670","1,670",14,20,39,46
31.,24773,"120,667","1,667",14,16,45,44
32.,47621,"120,000","2,000",18,20,40,40
33.,12229,"120,000","2,000",12,20,46,40
34.,84133,"120,000","2,000",14,18,50,36
35.,32165,"119,000","2,000",16,20,42,39
36.,40005,"119,000","2,000",18,16,41,42
37.,83909,"118,890","1,890",18,18,40,41
38.,75397,"118,000","2,000",14,18,44,40
39.,91749,"117,890","1,890",14,20,44,38
40.,18949,"117,780","1,780",16,18,44,38
41.,29477,"117,000","2,000",16,20,45,34
42.,84581,"117,000","2,000",12,20,41,42
43.,26117,"117,000","2,000",14,18,46,37
44.,63749,"117,000","2,000",12,18,47,38
45.,61733,"116,000","2,000",20,18,45,31
46.,90181,"116,000","2,000",22,16,41,35
47.,72933,"116,000","2,000",20,16,41,37
48.,85253,"115,890","1,890",12,16,45,41
49.,53445,"115,000","2,000",16,20,41,36
50.,23653,"115,000","2,000",14,20,43,36
51.,85477,"115,000","2,000",18,18,38,39
52.,89285,"115,000","2,000",18,14,45,36
53.,93989,"114,890","1,890",14,14,49,36
Celkem počet:,53,,,,,,
Stránka 2 z 2,,,,,,,
