Výsledky přijímacího řízení do 8 letého studia - dle pořadí uchazeče,,,,,,,,
Pořadí,Ev. číslo žáka,Olympiády,OSP,Vysvědčení,ČJL,Mat,Celkem,Přijat
1.,2017028,1,"40,50","10,00","49,00","50,00","150,50",Ano
2.,20170150,2,"41,50","10,00","49,00","46,00","148,50",Ano
3.,20170284,0,"36,00","10,00","49,00","48,00","143,00",Ano
4.,20170108,0,"39,50","10,00","49,00","44,00","142,50",Ano
5. - 6.,2017016,0,"38,00","10,00","50,00","44,00","142,00",Ano
5. - 6.,2017074,0,"36,00","10,00","50,00","46,00","142,00",Ano
7.,20170199,0,"39,00","10,00","46,00","46,00","141,00",Ano
8.,2017033,0,"39,50","10,00","43,00","48,00","140,50",Ano
9.,20170392,0,"36,50","10,00","49,00","44,00","139,50",Ano
10.,20170380,0,"39,00","10,00","42,00","48,00","139,00",Ano
11. - 14.,20170275,0,"37,00","10,00","45,00","46,00","138,00",Ano
11. - 14.,20170280,0,"38,00","10,00","47,00","43,00","138,00",Ano
11. - 14.,20170286,0,"40,00","10,00","44,00","44,00","138,00",Ano
11. - 14.,20170300,0,"37,00","10,00","49,00","42,00","138,00",Ano
15. - 16.,20170228,1,"35,50","10,00","44,00","47,00","137,50",Ano
15. - 16.,20170148,0,"38,50","10,00","45,00","44,00","137,50",Ano
17.,20170306,0,"38,00","10,00","45,00","44,00","137,00",Ano
18.,20170437,0,"37,00","10,00","45,00","44,00","136,00",Ano
19.,2017007,0,"42,50","10,00","41,00","42,00","135,50",Ano
20.,20170141,0,"28,00","10,00","48,00","48,00","134,00",Ano
21. - 22.,20170136,1,"31,50","10,00","43,00","48,00","133,50",Ano
21. - 22.,20170303,1,"32,50","10,00","46,00","44,00","133,50",Ano
23.,20170224,0,"31,00","10,00","46,00","46,00","133,00",Ano
24.,20170361,1,"32,00","10,00","41,00","48,00","132,00",Ano
25.,20170444,0,"32,00","9,94","44,00","46,00","131,94",Ano
26. - 27.,2017083,0,"28,50","10,00","45,00","48,00","131,50",Ano
26. - 27.,2017018,0,"33,50","10,00","46,00","42,00","131,50",Ano
28. - 29.,2017005,0,"33,00","10,00","44,00","44,00","131,00",Ano
28. - 29.,20170277,0,"39,00","10,00","42,00","40,00","131,00",Ano
30.,20170294,0,"31,50","10,00","45,00","44,00","130,50",Ano
31.,2017057,1,"36,00","9,14","42,00","42,00","130,14",Ano
32. - 34.,2017038,0,"30,00","10,00","44,00","46,00","130,00",Ne
32. - 34.,20170366,0,"35,00","10,00","44,00","41,00","130,00",Ne
32. - 34.,20170197,0,"28,00","10,00","46,00","46,00","130,00",Ne
35. - 37.,2017077,0,"30,50","10,00","47,00","42,00","129,50",Ne
35. - 37.,20170282,0,"35,50","10,00","44,00","40,00","129,50",Ne
35. - 37.,2017080,0,"29,50","10,00","46,00","44,00","129,50",Ne
38. - 39.,20170388,1,"28,00","10,00","42,00","48,00","129,00",Ne
38. - 39.,20170438,0,"32,00","10,00","43,00","44,00","129,00",Ne
40.,20170365,0,"34,50","10,00","42,00","42,00","128,50",Ne
41.,20170143,0,"32,00","10,00","40,00","46,00","128,00",Ne
42.,2017054,0,"33,00","10,00","43,00","41,00","127,00",Ne
43. - 47.,20170191,0,"34,50","10,00","38,00","44,00","126,50",Ne
43. - 47.,20170466,0,"36,50","10,00","42,00","38,00","126,50",Ne
43. - 47.,20170376,0,"36,50","10,00","41,00","39,00","126,50",Ne
43. - 47.,20170101,1,"29,50","10,00","38,00","48,00","126,50",Ne
43. - 47.,20170211,0,"37,50","10,00","41,00","38,00","126,50",Ne

48.,20170457,0,"33,00","10,00","41,00","42,00","126,00",Ne
49. - 50.,20170432,0,"34,00","10,00","35,00","46,00","125,00",Ne
49. - 50.,20170371,0,"33,00","10,00","42,00","40,00","125,00",Ne
51.,20170467,0,"31,50","9,87","38,00","45,00","124,37",Ne
52.,20170368,1,"28,50","9,79","41,00","44,00","124,29",Ne
53.,2017040,0,"34,00","9,18","35,00","46,00","124,18",Ne
54.,2017055,0,"29,50","10,00","44,00","40,00","123,50",Ne
55.,20170292,1,"34,50","9,88","37,00","41,00","123,38",Ne
56. - 57.,20170202,0,"32,00","10,00","41,00","40,00","123,00",Ne
56. - 57.,2017013,0,"27,00","10,00","42,00","44,00","123,00",Ne
58. - 59.,2017082,0,"32,50","10,00","42,00","38,00","122,50",Ne
58. - 59.,20170200,0,"28,50","10,00","45,00","39,00","122,50",Ne
60. - 63.,20170290,0,"27,00","10,00","37,00","48,00","122,00",Ne
60. - 63.,20170375,1,"26,00","10,00","39,00","46,00","122,00",Ne
60. - 63.,20170363,1,"34,00","10,00","38,00","39,00","122,00",Ne
60. - 63.,20170296,0,"24,00","10,00","44,00","44,00","122,00",Ne
64.,20170451,0,"27,50","10,00","40,00","44,00","121,50",Ne
65.,20170442,0,"26,00","9,87","46,00","39,00","120,87",Ne
66.,2017039,0,"24,50","10,00","41,00","44,00","119,50",Ne
67.,2017020,0,"25,00","9,87","40,00","44,00","118,87",Ne
68. - 69.,20170357,0,"33,50","10,00","39,00","36,00","118,50",Ne
68. - 69.,20170431,0,"36,50","10,00","37,00","35,00","118,50",Ne
70.,20170293,0,"26,50","9,79","42,00","40,00","118,29",Ne
71. - 72.,20170390,0,"32,00","10,00","35,00","41,00","118,00",Ne
71. - 72.,20170276,0,"31,00","10,00","42,00","35,00","118,00",Ne
73.,20170453,0,"24,00","9,92","44,00","40,00","117,92",Ne
74. - 75.,20170434,0,"33,50","10,00","34,00","40,00","117,50",Ne
74. - 75.,20170474,0,"24,50","10,00","35,00","48,00","117,50",Ne
76.,2017019,0,"28,00","10,00","39,00","40,00","117,00",Ne
77.,2017084,0,"34,00","9,87","37,00","36,00","116,87",Ne
78. - 80.,2017088,0,"26,50","10,00","44,00","36,00","116,50",Ne
78. - 80.,2017085,0,"25,50","10,00","44,00","37,00","116,50",Ne
78. - 80.,20170198,0,"29,50","10,00","42,00","35,00","116,50",Ne
81. - 82.,20170299,0,"27,00","10,00","39,00","40,00","116,00",Ne
81. - 82.,20170214,0,"28,00","10,00","33,00","45,00","116,00",Ne
83.,2017089,0,"28,50","10,00","40,00","37,00","115,50",Ne
84.,20170440,0,"27,50","9,58","30,00","48,00","115,08",Ne
85.,20170471,1,"26,00","9,71","39,00","39,00","114,71",Ne
86. - 87.,20170192,0,"27,50","10,00","36,00","41,00","114,50",Ne
86. - 87.,20170372,0,"29,50","10,00","40,00","35,00","114,50",Ne
88.,20170473,0,"27,00","10,00","44,00","33,00","114,00",Ne
89.,20170203,0,"23,00","9,79","42,00","39,00","113,79",Ne
90.,20170288,0,"31,50","10,00","33,00","39,00","113,50",Ne
91. - 92.,20170100,0,"27,00","10,00","41,00","35,00","113,00",Ne
91. - 92.,20170204,0,"24,00","10,00","35,00","44,00","113,00",Ne
93.,2017058,0,"23,50","9,46","34,00","46,00","112,96",Ne
94.,20170295,0,"21,50","10,19","43,00","38,00","112,69",Ne
95. - 96.,2017021,0,"19,00","10,00","43,00","40,00","112,00",Ne
95. - 96.,20170298,0,"26,00","10,00","32,00","44,00","112,00",Ne
97.,20170356,0,"28,00","9,79","37,00","37,00","111,79",Ne

98.,20170450,0,"20,50","10,00","35,00","46,00","111,50",Ne
99.,20170274,0,"25,00","9,46","39,00","38,00","111,46",Ne
100.,20170445,0,"27,50","9,79","38,00","36,00","111,29",Ne
101. - 102.,20170151,0,"24,00","10,00","43,00","34,00","111,00",Ne
101. - 102.,20170106,0,"24,00","10,00","31,00","46,00","111,00",Ne
103. - 105.,20170382,0,"18,00","10,00","38,00","44,00","110,00",Ne
103. - 105.,20170206,0,"24,00","10,00","36,00","40,00","110,00",Ne
103. - 105.,20170118,0,"34,00","10,00","36,00","30,00","110,00",Ne
106. - 107.,20170381,0,"30,00","9,94","32,00","38,00","109,94",Ne
106. - 107.,20170147,0,"28,00","9,94","26,00","46,00","109,94",Ne
108.,20170362,0,"28,50","10,00","27,00","44,00","109,50",Ne
109. - 110.,20170379,0,"24,00","10,00","39,00","36,00","109,00",Ne
109. - 110.,20170359,0,"28,00","10,00","43,00","28,00","109,00",Ne
111.,2017078,0,"30,50","10,00","30,00","38,00","108,50",Ne
112.,20170456,0,"26,50","9,51","36,00","36,00","108,01",Ne
113.,20170355,0,"26,00","8,96","29,00","44,00","107,96",Ne
114. - 115.,20170213,0,"19,50","10,00","35,00","43,00","107,50",Ne
114. - 115.,20170304,0,"23,50","10,00","34,00","40,00","107,50",Ne
116. - 117.,20170137,0,"22,50","10,00","40,00","34,00","106,50",Ne
116. - 117.,20170278,0,"29,50","10,00","37,00","30,00","106,50",Ne
118. - 120.,2017012,0,"22,00","10,00","32,00","42,00","106,00",Ne
118. - 120.,20170297,0,"21,00","10,00","34,00","41,00","106,00",Ne
118. - 120.,20170145,0,"29,00","10,00","39,00","28,00","106,00",Ne
121.,2017015,0,"19,50","10,00","34,00","42,00","105,50",Ne
122. - 125.,20170158,0,"18,00","10,00","40,00","37,00","105,00",Ne
122. - 125.,2017061,0,"28,00","10,00","33,00","34,00","105,00",Ne
122. - 125.,20170383,0,"24,00","10,00","41,00","30,00","105,00",Ne
122. - 125.,2017087,0,"25,00","10,00","34,00","36,00","105,00",Ne
126.,20170439,0,"29,00","9,16","33,00","33,00","104,16",Ne
127. - 130.,20170134,0,"24,00","10,00","34,00","36,00","104,00",Ne
127. - 130.,2017041,0,"24,00","10,00","36,00","34,00","104,00",Ne
127. - 130.,20170369,0,"22,00","10,00","37,00","35,00","104,00",Ne
