,Výsledky přijímacího řízení do 8 letého studia - dle pořadí uchazeče,,,,,,,,
Ev. číslo,Vysvědčení,Olympiády,M Cermat,Čj Cermat,OSP,Body ZPS,Celkem,Pořadí,Přijat
20180161,"10,00","1,00","44,00","46,00","44,50","0,00","145,50",1.,Ano
20180263,"10,00","1,00","48,00","48,00","38,00","0,00","145,00",2. - 3.,Ano
20180077,"10,00","0,00","50,00","47,00","38,00","0,00","145,00",2. - 3.,Ano
20180078,"10,00","1,00","50,00","45,00","36,50","0,00","142,50",4. - 5.,Ano
20180025,"10,00","0,00","50,00","47,00","35,50","0,00","142,50",4. - 5.,Ano
20180188,"10,00","0,00","47,00","48,00","36,50","0,00","141,50",6.,Ano
20180205,"10,00","1,00","48,00","48,00","31,00","0,00","138,00",7.,Ano
20180045,"10,00","0,00","50,00","46,00","30,50","0,00","136,50",8.,Ano
20180145,"10,00","0,00","41,00","48,00","36,50","0,00","135,50",9.,Ano
20180122,"10,00","0,00","48,00","45,00","31,00","0,00","134,00",10. - 11.,Ano
20180087,"10,00","0,00","43,00","48,00","33,00","0,00","134,00",10. - 11.,Ano
20180231,"10,00","0,00","48,00","49,00","26,00","0,00","133,00",12. - 13.,Ano
20180233,"10,00","0,00","46,00","43,00","34,00","0,00","133,00",12. - 13.,Ano
20180322,"10,00","1,00","50,00","44,00","27,50","0,00","132,50",14.,Ano
20180369,"10,00","0,00","46,00","47,00","29,00","0,00","132,00",15.,Ano
20180029,"10,00","0,00","42,00","44,00","35,50","0,00","131,50",16. - 17.,Ano
20180261,"10,00","0,00","43,00","43,00","35,50","0,00","131,50",16. - 17.,Ano
20180118,"10,00","0,00","40,00","42,00","38,50","0,00","130,50",18. - 20.,Ano
20180061,"10,00","0,00","45,00","40,00","35,50","0,00","130,50",18. - 20.,Ano
20180096,"10,00","1,00","44,00","47,00","28,50","0,00","130,50",18. - 20.,Ano
20180340,"10,00","2,00","44,00","43,00","31,00","0,00","130,00",21.,Ano
20180240,"10,00","0,00","38,00","47,00","34,50","0,00","129,50",22. - 23.,Ano
20180114,"10,00","0,00","40,00","45,00","34,50","0,00","129,50",22. - 23.,Ano
20180386,"10,00","0,00","43,00","46,00","30,00","0,00","129,00",24.,Ano
20180362,"10,00","0,00","42,00","46,00","30,50","0,00","128,50",25.,Ano
20180063,"10,00","0,00","39,00","46,00","33,00","0,00","128,00",26.,Ano
20180150,"10,00","0,00","44,00","43,00","30,00","0,00","127,00",27.,Ano
