Výsledek 1.kola přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4L-Rl81 Gymnázia, Praha 6, Nad Alejí L952",,,,,,,,
l.term ín t8.4.2oL7 a 2.termín 20.4.2oL7,,,,,,,,
V souladu s 5 609 školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl,,,,,,,,
"vzdělávat se v Gymn ázlu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli",,,,,,,,
"školy, a to nejpozději do L0 pracovních dnů ode dne zveřejnění seznamu (17.5.2017\.",,,,,,,,
NepotvrdĹli uchazeč/uchazečka nebo zákonný zástupce nezletilého uchazeče/nezletilé,,,,,,,,
"uchazečky odevzdáním zápisového lístku úmysl vzdělávat Se Ve středníškole, zanĺl<ají",,,,,,,,
posledním dnem lhůty právní účinkyrozhodnutí o přijetítohoto uchazeče ke vzdělávánív,,,,,,,,
dané středníškole. Nezletilého uchazeče/nezletĺlouuchazečku zastupuje zákonný zástupce,,,,,,,,
"V rozsahu, v jakém nemá nezletilý/nezletilá procesnízpůsobilost.",,,,,,,,
ěíslo,,Či,,Body,Body Zš,Celkem,Umĺstění,Výsledek
zkoušky,Termín,,M,zkouška,,,,př.řízení
47,1,41.,22,63,1.1.,74,277,nepřijat/a
49,I,30,36,66,10,76,257,nepřijat/a
50,I,35,36,71.,1.2,83,201,nepřijat/a
51,2,41.,4I,8Ż,L2,94,"92,",nepřijat/a
53,2,38,24,62,12,74,282,nepřiiat/a
54,7,44,44,88,12,100,"41,.-42",přiiat/a
55,2,33,36,69,12,81,"Ltr,-21,2",nepřiiat/a
56,"1,",43,48,91,12,103,17,přijat/a
57,2,3Ż,40,72,12,84,1.84,nepřijat/a
60,2,41,42,83,72,95,79.-8L.,nepřijat/a
61,I,43,46,89,12,101,30.-31.,přijat/a
62,2,28,44,72,12,84,180.-181,nepřĺiat/a
63,1,38,35,73,T2,85,174,nepřiiat/a
66,t,40,39,79,12,91,"1,17",nepřiĺat/a
67,2,44,46,90,"1,2",1'0Ż,26,přijat/a
68,I,32,32,64,12,76,263,nepřijat/a
69,"1,",32,33,65,12,77,249,nepřijat/a
70,2,29,38,67,12,79,232,nepřijat/a
71.,2,33,33,66,12,78,243.,nepřĺjat/a
76,Ż,38,37,75,9,8Ą,177,nepřiiat/a
77,z,40,40,80,"1,r",91,"1,L1,",nepřiiat/a
t8,2,32,42,74,LŻ,86,166.,ne přiĺat/a
79,2,36,29,65,tz,77,253.-255,nepřijat/a
80,2,tŻ,24,36,4,40,442.,nepřijat/a
92,Ż,35,44,79,12,9I,"1,1,4.-1,1,5.",nepřiiat/a
93,I,36,Ż8,64,t2,76,"266,",nepřiiat/a
94,1.,2I,z5,46,10,56,403,nepřiiat/a
95,2,34,39,73,T2,85,t72,nepřijat/a
96,1.,28,z4,52,1.2,64,362,nepřijat/a
97,7,35,43,78,TZ,90,IŻL-1'22',nepřijat/a
98,t,42,42,84,12,96,72.-73,nepřiiat/a
99,2,34,34,68,Ľ',79,23r,nepřiiat/a
100,2,26,27,53,12,65,35s,nepřiiat/a
101,1.,49,50,99,1.2,1.1.1,1.,přijat/a
103,L,33,28,61,Ľ',72,297,nepřijat/a
ro4,1,42,29,7t,1.1,82,204,nepřijat/a
t07,2,42,41.,83,12,95,"82,-83",nepřijat/a
108,I,4I,35,76,12,88,1.47,nepřijat/a
109,I,32,30,62,Ľ',73,285.,nepřijat/a

110,t,30,t4,44,"u,",55,408,nepřiĺat/a
1.1.1.,2,18,I4,32,TZ,44,436.,nepřijat/a
t12,L,40,4Ż,82,10,92,toz.,nepřijat/a
1r.3,2,39,39,78,T2,90,126.-127,nepřijat/a
rt4,I,46,42,88,12,100,43.-44.,přijat/a
