Výsledky přijímacího řízenív 1.kole přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4t-Kĺ81 Gymnázia, Praha 6, Nad Atejí L952",,,,,,,,
l.termín 13.4.2oL8 a 2.termín L7 .4.2oL8,,,,,,,,
V souladu s 5 60g školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl vzdělávat se v,,,,,,,,
"Gymnáziu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli školy, a to nejpozději",,,,,,,,
do L0 pracovních dnů ode dne zveřejněníseznamu (16.5.2018).NepotvrdĹli uchazeč/uchazečka,,,,,,,,
nebo zákonný zástupce nezletilého uchazeče/nezletiléuchazečky odevzdáním zápisového lístku,,,,,,,,
"úmysl vzdělávat se Ve střední škole, zanikají posledním dnem lhůty právní účinkyrozhodnutío",,,,,,,,
přijetítohoto uchazeče ke vzdělávánív dané středníškole. Nezletilého uchazeče/nezletĺlou,,,,,,,,
"uchazečku zastupuje zákonný zástupce v rozsahu, v jakém nemá nezletilý/nezletĺlá procesní",,,,,,,,
způsobilost.,,,,,,,,
číslo,,,,Body,,,,
,,,,,,,,Výsledek
,Terrnĺn,,,zkouška,,,Umístění,př.řízení
7I,"1,",48,,96,"u,",707,7,přiiat/a
83,T,4T,27,68,12,80,"1,42",nepřijaVa
86,2,39,34,73,I2,85,100.-101,nepřijat/a
87,2,33,16,49,10,59,310.,nepřijaVa
88,2,38,Ż4,62,"1,2",74,r92.,nepřijaUa
89,2,49,39,88,12,100,2I,přijaUa
90,1,38,39,77,12,89,77.-78,nepřijaVa
93,2,41.,31,7Ż,12,84,106.-ro7,nepřijaVa
94,L,33,26,59,7L,70,224.,nepřijat/a
96,T,30,24,54,12,66,260.,nepřijat/a
97,2,27,30,57,12,69,23Ż'-233,nepřijaUa
98,2,24,18,42,1.r,53,345,nepřiiat/a
100,2,34,30,64,"1,1",75,"1,82",nepřiiaUa
10i.,"1,","1,4",8,22,"1,",Ż3,430.,nepřijat/a
"1,02",t,33,25,58,12,70,"227,",nepřijaUa
103,1,30,19,49,t2,61,300.,nepřijaUa
104,2,43,38,81,12,93,52.-54.,přijat/a
105,2,19,L2,31,5,36,412,nepřiiaUa
707,1.,46,45,91,12,103,"1,4.-1,5.",přijat/a
108,2,43,29,72,t2,84,110.,nepřijaťa
rtl,2,32,30,62,T2,74,191.,nepřijaUa
1.12,t,47,4t,88,IZ,100,20,přijaUa
113,L,30,29,59,12,71.,2r5.,nepřijat/a
1L4,"1,",34,32,66,l_0,76,169,nepřijat/a
115,2,Ż0,19,39,5,44,390,nepřiiaUa
"1,1,6",1.,39,36,75,12,87,90.,nepřijaVa
I77,"1,",32,39,71,t2,83,115,nepřijaUa
118,2,45,34,79,72,91,64.-65,nepřijaVa
1.19,2,24,27,51,10,67,29s.,nepřiiaVa
r20,2,39,28,67,12,79,"1,48.",nepřĺjaUa
12I,2,I4,16,30,10,40,402,nepřijat/a
724,2,48,44,92,72,ro4,13,přijat/a
126,"1,",32,42,74,IZ,86,93,nepřijaVa
r27,2,33,74,47,12,59,"31,4.",nepřijat/a
128,2,29,36,65,72,77,1.62.-163.,nepřiiaVa
r29,2,29,2I,50,IZ,62,287.-288.,nepřĺiaUa
