ID,termin,czech,math,school,"Body
ZÅ grades",Celkem,Poradi
75,1,49,50,99,12,111,1
76,1,30,25,55,12,67,234
77,1,30,21,51,12,63,259
78,2,40,44,84,12,96,42
79,2,46,34,80,12,92,77
80,2,21,6,27,5,32,415
81,1,39,26,65,12,77,174
84,2,18,11,29,11,40,396
85,2,44,45,89,12,101,28.-30.
86,2,48,45,93,12,105,11
89,2,35,41,76,12,88,100
91,1,28,28,56,12,68,228
92,2,18,29,47,11,58,293
93,2,31,14,45,12,57,302
94,1,44,32,76,12,88,107
95,2,41,38,79,12,91,80.-81.
97,2,41,38,79,12,91,80.-81.
99,2,20,19,39,12,51,350
100,1,19,17,36,12,48,363
101,2,42,29,71,12,83,134.-135.
102,2,46,49,95,12,107,6
103,1,19,15,34,11,45,376
104,2,36,27,63,11,74,189
105,2,22,22,44,10,54,325
106,2,49,47,96,12,108,5
107,1,46,31,77,12,89,96.-97.
110,1,36,23,59,12,71,210.-211.
114,2,41,18,59,12,71,212
119,1,28,19,47,12,59,288.-290.
122,1,44,40,84,12,96,43.-44.
123,2,30,16,46,12,58,297
125,2,48,44,92,12,104,13
127,1,30,27,57,12,69,220
128,1,45,46,91,12,103,17.-18.
129,1,39,44,83,12,95,47
130,2,45,26,71,12,83,140
131,2,40,36,76,12,88,102.-103.
132,2,30,20,50,12,62,270.-271.
133,2,29,24,53,12,65,244
134,2,32,15,47,12,59,291
135,2,45,46,91,12,103,17.-18.
136,2,37,26,63,11,74,190
139,1,44,42,86,12,98,36
141,1,47,34,81,12,93,66
142,1,32,36,68,12,80,156
144,2,43,48,91,12,103,15
149,2,45,29,74,12,86,120
,,,,,,,
150,1,30,31,61,9,70,213
151,2,24,19,43,12,55,322
152,2,0,0,0,12,12,probÃ­hÃ¡ PÅ˜
153,1,27,19,46,12,58,295
154,1,43,46,89,12,101,26.-27.
155,1,35,42,77,12,89,93.-94.
156,2,39,30,69,7,76,175
157,2,29,29,58,12,70,215.-216.
158,2,44,37,81,12,93,65
159,2,32,22,54,12,66,239
160,1,46,40,86,12,98,38.-39.
161,2,22,14,36,12,48,365
162,2,44,27,71,12,83,136.-139.
164,2,21,28,49,11,60,278
165,2,42,47,89,12,101,25
166,1,37,33,70,12,82,146.-147.
168,2,27,48,75,12,87,110
169,2,32,33,65,11,76,176
170,2,33,21,54,8,62,263
171,2,30,33,63,12,75,183
172,2,48,31,79,12,91,84
174,2,38,22,60,12,72,206
175,2,44,30,74,12,86,119
176,1,12,15,27,5,32,414
177,2,49,37,86,12,98,40
178,1,30,32,62,12,74,191
179,2,38,33,71,12,83,133
180,1,24,6,30,12,42,391
181,2,23,18,41,2,43,382
182,2,16,7,23,6,29,426
183,2,16,25,41,12,53,331
184,1,44,45,89,12,101,28.-30.
186,1,42,39,81,12,93,64
187,2,41,34,75,12,87,114
188,2,37,38,75,12,87,111
189,1,36,42,78,10,88,98
190,2,17,39,56,11,67,232
191,2,35,33,68,12,80,157.-159.
192,1,13,8,21,10,31,421
196,1,24,17,41,12,53,334
197,1,22,32,54,12,66,238
198,1,46,30,76,12,88,108
199,2,39,25,64,12,76,180
200,2,44,27,71,12,83,136.-139.
201,1,17,24,41,12,53,332.-333.
202,2,27,15,42,11,53,330
203,1,37,21,58,12,70,218
204,1,21,27,48,8,56,304
205,2,42,36,78,12,90,90
206,1,37,24,61,12,73,200
212,1,48,48,96,12,108,3.-4.
213,2,35,32,67,8,75,182
,,,,,,,
214,1,35,23,58,12,70,217
217,1,34,36,70,12,82,144
218,1,35,38,73,12,85,122
219,1,47,44,91,12,103,19
220,1,20,14,34,7,41,393
221,1,25,37,62,9,71,207
222,1,34,37,71,12,83,129.-130.
223,1,22,17,39,8,47,367
224,2,49,45,94,12,106,10
230,1,33,11,44,12,56,316
231,1,34,19,53,11,64,250
232,2,21,17,38,7,45,374
233,2,30,24,54,11,65,242
234,2,36,35,71,12,83,131.-132.
235,2,43,37,80,12,92,73
236,2,28,24,52,6,58,292
237,2,27,21,48,12,60,281
238,2,31,12,43,12,55,323
239,2,46,37,83,12,95,55.-56.
240,2,29,21,50,12,62,268.-269.
241,2,45,35,80,12,92,75.-76.
242,2,27,9,36,9,45,375
245,1,40,39,79,12,91,78.-79.
246,2,8,22,30,4,34,411
247,1,34,37,71,12,83,129.-130.
248,1,42,29,71,12,83,134.-135.
249,1,13,25,38,9,47,368
