,"Seznam nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Rozhodnutí
,,za ZŠ,MAT ČJ VŠP,,,,
75.,8210,8,47,41,18,114,Nepřijat
76.,8108,13,46,42,13,114,Nepřijat
77.,8390,10,38,44,22,114,Nepřijat
78.,8029,15,42,39,18,114,Nepřijat
79.,8415,15,36,44,19,114,Nepřijat
80.,8367,15,34,45,20,114,Nepřijat
81.,8281,15,35,41,23,114,Nepřijat
82.,8086,11,38,47,17,113,Nepřijat
83.,8003,15,40,42,16,113,Nepřijat
84.,8181,14,44,35,20,113,Nepřijat
85.,8371,15,37,42,19,113,Nepřijat
86.,8359,15,30,46,22,113,Nepřijat
87.,8120,15,41,34,23,113,Nepřijat
88.,8207,14,45,36,17,112,Nepřijat
89.,8203,15,38,42,17,112,Nepřijat
90.,8202,15,35,43,19,112,Nepřijat
91.,8214,15,32,45,20,112,Nepřijat
92.,8037,15,41,38,17,111,Nepřijat
93.,8109,15,38,41,17,111,Nepřijat
94.,8407,12,37,41,21,111,Nepřijat
95.,8054,14,42,35,20,111,Nepřijat
96.,8116,15,37,38,21,111,Nepřijat
97.,8069,15,38,43,14,110,Nepřijat
98.–99.,8161,15,43,36,16,110,Nepřijat
98.–99.,8187,14,43,36,17,110,Nepřijat
100.,8346,15,37,40,18,110,Nepřijat
101.,8341,15,33,44,18,110,Nepřijat
102.,8137,15,35,41,19,110,Nepřijat
103.,8382,15,33,43,19,110,Nepřijat
104.,8206,15,36,37,22,110,Nepřijat
105.,8028,12,36,42,19,109,Nepřijat
106.,8146,14,38,38,19,109,Nepřijat
107.,8110,13,35,40,21,109,Nepřijat
108.,8347,15,33,39,22,109,Nepřijat
109.,8251,15,23,48,23,109,Nepřijat
110.,8238,15,35,40,18,108,Nepřijat
111.,8303,15,40,34,19,108,Nepřijat
112.,8041,15,32,42,19,108,Nepřijat
113.,8309,12,33,43,19,107,Nepřijat
114.,8011,15,37,35,20,107,Nepřijat
115.,8201,15,35,36,21,107,Nepřijat
116.,8107,15,32,43,16,106,Nepřijat
117.,8246,15,31,41,19,106,Nepřijat
118.,8062,15,30,41,20,106,Nepřijat
119.,8290,15,36,39,15,105,Nepřijat
120.,8173,15,30,43,17,105,Nepřijat
121.,8196,15,33,39,18,105,Nepřijat

,"Seznam nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Rozhodnutí
,,za ZŠ,MAT ČJ VŠP,,,,
122.,8200,15,43,28,19,105,Nepřijat
123.,8030,15,40,31,19,105,Nepřijat
124.,8337,14,36,33,22,105,Nepřijat
125.,8147,14,35,39,16,104,Nepřijat
126.,8199,14,39,34,17,104,Nepřijat
127.,8179,14,31,41,18,104,Nepřijat
128.,8036,15,39,30,20,104,Nepřijat
129.,8194,15,38,40,10,103,Nepřijat
130.,8077,15,36,39,13,103,Nepřijat
131.,8282,15,32,38,18,103,Nepřijat
132.,8167,13,28,42,20,103,Nepřijat
133.,8072,15,38,30,20,103,Nepřijat
